isbsg_project_id,external_eef_data_quality_rating,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_group,project_prf_application_type,project_prf_development_type,tech_tf_development_platform,tech_tf_language_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,project_prf_case_tool_used,process_pmf_development_methodologies,process_pmf_prototyping_used,process_pmf_docs,tech_tf_architecture,tech_tf_client_server,tech_tf_client_roles,tech_tf_server_roles,tech_tf_type_of_server,tech_tf_type_of_server.1,tech_tf_client/server_description,tech_tf_web_development,tech_tf_dbms_used,tech_tf_tools_used,people_prf_project_user_involvement,people_prf_ba_team_experience_less_than_1_yr,people_prf_ba_team_experience_1_to_3_yr,people_prf_ba_team_experience_great_than_3_yr,people_prf_it_experience_less_than_1_yr,people_prf_it_experience_1_to_3_yr,people_prf_it_experience_great_than_3_yr,people_prf_it_experience_less_than_3_yr,people_prf_it_experience_3_to_9_yr,people_prf_it_experience_great_than_9_yr,people_prf_project_manage_experience,people_prf_project_manage_changes,people_prf_personnel_changes,project_prf_total_project_cost,project_prf_cost_currency,project_prf_currency_multiple
11738,b,2012,service industry,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,infrastructure software,content management system;dynamic website,enhancement,,3gl,proprietary agile platform,364.0,xs,758,356,1.3,1.7,4.0,93.1,,3.8,,6.0,,agile development,,20,,yes,,,,,,,yes,0,,,,,,,,,,,,,,,"european, euro",
31166,b,2013,banking,government,business application,surveillance and security,enhancement,pc,3gl,c#,181.0,xs,30446,15829,79.1,80.6,0.5,7.1,,12.3,3-4,6.0,,agile development,,1,stand alone,,web/html browser,,,,,,yes,0,,8.0,,7.0,,,,0.0,,,,0.0,,,,
18118,a,2010,medical & health care,high tech,real-time application,online analysis and reporting,new development,pc,3gl,c#,1662.0,m2,20864,11088,3.5,4.1,,349.8,,9.5,2,6.0,yes,agile development;scrum,yes,19,multi-tier with web public interface,,,,,,,web,yes,0,,,,,,,,,,,14.0,1.0,0.0,,"european, euro",no
27333,a,2014,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,business application,enhancement,pc,3gl,oracle,9.0,xs,10,12,7.4,8.5,,17.8,,4.1,1,2.0,,agile development,,19,client server,yes,,html/web server;security/authentication,,,,,yes,0,,,,,,,,,,0.0,,0.0,1.0,,"european, euro","yes 10,000"
27281,b,2011,service industry,government,business application,surveillance and security,enhancement,proprietary,4gl,oracle,53.0,xs,2521,999,16.5,17.0,2.1,23.8,1.7,4.6,,13.0,,agile development,,14,client server,,web/html browser,,,,,,,0,,,0.0,,,,,0.0,,,,,,56484.0,,
21837,b,2008,service industry,consumer goods,business application,data or database management,re-development,multi,5gl,.net,454.0,m2,6222,4638,1.0,1.2,25.8,34.7,,13.3,,9.0,,agile development,,1,,,,,,,,web,yes,0,,5.0,1.0,,,,,,7.0,,,0.0,,,,
28393,b,2010,education,medical and health care,business application,content management system;dynamic website,new development,multi,4gl,javascript,155.0,m1,2614,1700,17.6,18.9,6.2,32.9,8.4,8.3,,17.0,,agile development,,16,multi-tier with web public interface,,,,,,,web,yes,0,,,,,,,,,,,,,,66321.0,,
26034,b,2011,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,infrastructure software,surveillance and security,enhancement,pc,3gl,.net,132.0,xs,5195,3519,10.6,11.0,,8.7,13.6,7.0,,3.0,,agile development,,1,multi-tier with web public interface,,,,,,,,yes,0,,,,,,,,,,,19.0,,,,,no
11801,a,2013,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,content management system;dynamic website,enhancement,pc,3gl,c#,61.0,m1,200,262,3.1,4.1,,4.1,0.6,17.3,5-8,,no,agile development,yes,20,stand alone,yes,data entry & validation;data retrieval & presentation;device/equipment interface,database server;html/web server,,,,,yes,3,,1.0,8.0,,,,,2.0,,1.0,,2.0,12.0,,,
27970,b,2009,education,public sector,business application,catalogue/register of things or events,enhancement,,3gl,java,462.0,m1,15480,10660,18.2,19.7,6.0,385.6,228.3,1.1,5-8,,,agile development;joint application development jad;multifunctional teams,,1,multi-tier with web public interface,yes,,database server,,,,web,yes,0,,,,6.0,,,,,,,,0.0,0.0,,"european, euro",
18820,a,2015,government,government,business application,financial transaction process/accounting;customer billing,enhancement,pc,4gl,c#,4.0,xs,9,9,4.3,4.9,,2.8,,1.0,,,,agile development,,20,client server,,,,,,,,,0,,,,,,,,,3.0,,,,,,,
31103,b,2012,education,surveillance & security,business application,surveillance and security,new development,pc,3gl,.net,205.0,m1,102,147,0.6,0.7,,28.1,,6.4,,3.0,yes,agile development,,9,client server,,web/html browser,,,,,,yes,0,,,4.0,7.0,,,,,5.0,,,0.0,,,"canada, dollar",
28393,b,2011,banking,education institution,infrastructure software,content management system;dynamic website,enhancement,pc,3gl,.net,587.0,s,5835,2715,3.2,3.9,10.1,31.7,185.9,14.1,1,3.0,yes,agile development,,17,multi-tier with web public interface,,,,,,,web,yes,0,,,,,,,,,,,,,,250270.0,,
18328,b,2015,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,c#,13.0,xxs,12,12,0.8,1.0,,69.2,,1.2,1,2.0,,agile development,,11,stand alone,,,,,,,,yes,0,,,,,,,,,,,,,,,,
32725,b,2013,government,government,business application,content management system;dynamic website,enhancement,pc,4gl,java,48.0,s,904,758,5.7,6.8,,90.4,,1.4,41-50,5.0,,agile development,,1,multi-tier with web public interface,,run a computer-human interface;data entry & validation;data retrieval & presentation;web/html browser;security,,,,,,yes,0,,,,,,,,,,,,,,,"canada, dollar",
14345,b,2011,government,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,4gl,oracle,4.0,xs,20,39,24.3,24.4,18.9,1.0,,6.0,,5.0,,agile development,,1,stand alone,,,,,,,,yes,0,,,,,,,,,,,,,,,,
20465,a,2011,government,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,catalogue/register of things or events;logistic or supply planning & control,enhancement,,3gl,.net,544.0,m1,5850,4191,3.6,4.8,,151.0,71.3,10.6,3-4,,yes,agile development;iterative,,20,,no,run a computer-human interface;business logic or rule processing;data entry & validation;data retrieval & presentation,database server,,,,web,yes,1,,,,,,,,5.0,3.0,1.0,,2.0,1.0,,"canada, dollar",no
32692,a,2011,banking,government,business application,hospital information system,enhancement,proprietary,5gl,c#,451.0,s,147,129,0.8,1.0,,35.0,,17.8,,2.0,no,agile development,,20,client server,yes,web public interface,,,,,web,,0,,,,,,,,22.0,,1.0,18.0,0.0,1.0,,,
17293,b,2012,banking,government,infrastructure software,workflow support & management;complex process control,new development,,3gl,c#,274.0,s,27971,17733,80.4,81.2,,37.1,,8.5,21-30,15.0,,agile development,,1,client server,,,html/web server;security/authentication,,,,,yes,0,,,,,,,,,12.0,4.0,,,,,,
27970,b,2013,electronics & computers,surveillance & security,business application,promotions,enhancement,,4gl,c#,116.0,m2,170,211,1.3,1.6,0.6,68.7,,,5-8,,,agile development,,1,,,,,,,,web,,0,,,,,,,,,,,31.0,,,,"european, euro",
30029,a,2007,education,government,business application,online analysis and reporting,new development,pc,3gl,java,402.0,s,10818,6588,6.7,8.2,,23.4,,17.5,61-70,8.0,yes,agile development;joint application development jad;multifunctional teams,yes,20,multi-tier with web public interface,yes,run a computer-human interface;data entry & validation;data retrieval & presentation;web/html browser,database server;ftp server;html/web server;messaging server;object/component server;security/authentication;business logic + integration to 30 other systems,,,,web,yes,4,,11.0,,,,,,17.0,,1.0,,2.0,12.0,,"european, euro",no
29310,b,2014,government,transport & storage,business application,surveillance and security,new development,pc,3gl,proprietary agile platform,3.0,s,9,9,2.0,2.3,,1.0,,9.4,,2.0,,agile development,yes,1,stand alone,,,,,,,,yes,0,,,,,,,,,,4.0,,,,188207.0,,
30658,a,2008,government,education institution,mathematically-intensive application,surveillance and security,new development,pc,3gl,.net,544.0,m1,29351,17842,33.6,35.4,,65.5,,16.3,41-50,,no,agile development,,3,stand alone,no,web/html browser,security/authentication,,,,web,yes,2,,6.0,2.0,,,,,4.0,,2.0,7.0,2.0,12.0,203815.0,,
21837,b,2012,government,transport & storage,business application,catalogue/register of things or events,enhancement,pc,4gl,oracle,36.0,xs,180,275,1.7,2.1,,28.1,20.1,2.9,,,,agile development,,1,multi-tier with web public interface,,,,,,,,yes,0,,,,,,,,,,,,,,,,
28393,b,2014,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,4gl,c#,129.0,s,12,11,0.5,0.5,,25.1,,9.5,1,2.0,,agile development,,20,stand alone,,,,,,,,,0,,,0.0,3.0,,,,,,,,,,,,
10572,b,2013,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,c#,34.0,s,6890,4430,90.3,91.1,,6.2,2.7,5.1,9-14,3.0,no,agile development;extreme programming xp;iterative;rapid application development rad;scrum;timeboxing;unified process;imes oom,,10,stand alone,,,,,,,,yes,1,,,,,,,,,4.0,4.0,,0.0,2.0,,,
