Model,Feature,Importance
serviceindustry 2_BayesianRidge,project_prf_relative_size_l,357.23807681135713
serviceindustry 3_Lasso,project_prf_relative_size_l,356.56797862581544
serviceindustry 2_BayesianRidge,project_prf_normalised_work_effort,336.14445872007275
serviceindustry 3_Lasso,project_prf_normalised_work_effort,335.30448340346294
medical 1_LGBMRegressor,project_prf_application_group_business_application,335.0
serviceindustry 2_BayesianRidge,project_prf_application_group_real_time_application,334.3479984004538
serviceindustry 2_BayesianRidge,project_prf_team_size_group_missing,326.11176894344953
medical 3_LassoLars,tech_tf_development_platform_proprietary,324.27339645870296
serviceindustry 2_BayesianRidge,project_prf_relative_size_s,324.0528882734018
serviceindustry 3_Lasso,project_prf_application_group_real_time_application,322.4971389042431
serviceindustry 3_Lasso,project_prf_team_size_group_missing,318.5797626017154
serviceindustry 3_Lasso,project_prf_relative_size_s,314.49693470772775
serviceindustry 2_BayesianRidge,project_prf_development_type_enhancement,286.1978762640208
serviceindustry 2_BayesianRidge,tech_tf_language_type_2gl,283.72295765503776
serviceindustry 2_BayesianRidge,tech_tf_architecture_multi_tier,282.21434432923496
serviceindustry 3_Lasso,tech_tf_architecture_multi_tier,281.0483217422582
serviceindustry 3_Lasso,project_prf_development_type_enhancement,278.96401539728487
serviceindustry 3_Lasso,tech_tf_language_type_2gl,277.8383599731807
government 2_LinearRegression,functional_size_group_s_100,275.236328125
serviceindustry 2_BayesianRidge,tech_tf_client_server_missing,274.99926476654025
serviceindustry 3_Lasso,tech_tf_client_server_missing,273.6966369207567
medical 3_LassoLars,project_prf_application_group_infrastructure_software,272.54208423139414
government 2_LinearRegression,project_prf_relative_size_xl,270.09349060058594
government 3_Lasso,project_prf_relative_size_xl,263.8461910402673
serviceindustry 3_Lasso,process_pmf_development_methodologies_waterfall_incl_linear_processing_and_ssadm,260.6466930862423
serviceindustry 2_BayesianRidge,process_pmf_development_methodologies_waterfall_incl_linear_processing_and_ssadm,257.1105031028681
government 3_Lasso,functional_size_group_s_100,255.34422696126705
government 2_LinearRegression,tech_tf_dbms_used_missing,240.23782348632812
government 3_Lasso,tech_tf_dbms_used_missing,231.2484131079254
serviceindustry 2_BayesianRidge,tech_tf_tools_used,228.9864566982221
medical 3_LassoLars,tech_tf_development_platform_multi,222.55808273230915
government 2_LinearRegression,project_prf_relative_size_s,222.11514282226562
government 2_LinearRegression,external_eef_data_quality_rating_a,220.1318359375
serviceindustry 2_BayesianRidge,tech_tf_client_roles_missing,219.85864854493295
serviceindustry 2_BayesianRidge,project_prf_team_size_group_3_4,219.26619223168768
insurance 3_LassoLars,project_prf_development_type_new_development,219.2567716853928
serviceindustry 3_Lasso,tech_tf_client_roles_missing,218.0421284446324
government 3_Lasso,project_prf_relative_size_s,217.93706464498013
insurance 2_Lasso,project_prf_development_type_new_development,214.138620768031
government 3_Lasso,external_eef_data_quality_rating_a,213.46873217910135
serviceindustry 3_Lasso,project_prf_team_size_group_3_4,212.131307189024
government 2_LinearRegression,project_prf_cost_currency_european_euro,210.0762939453125
serviceindustry 3_Lasso,tech_tf_tools_used,209.6435633125565
government 3_Lasso,project_prf_cost_currency_european_euro,208.57466425197376
serviceindustry 2_BayesianRidge,project_prf_team_size_group_9_14,208.16931066953276
serviceindustry 3_Lasso,people_prf_personnel_changes,205.11165921302535
serviceindustry 3_Lasso,project_prf_team_size_group_9_14,202.69950890398303
serviceindustry 3_Lasso,tech_tf_dbms_used_missing,201.2349130626702
serviceindustry 2_BayesianRidge,tech_tf_dbms_used_missing,198.9971865529443
serviceindustry 2_BayesianRidge,process_pmf_development_methodologies_multifunctional_teams,192.08433320494507
medical 3_LassoLars,project_prf_case_tool_used_missing,190.86823817994443
serviceindustry 2_BayesianRidge,people_prf_personnel_changes,190.34193038093989
medical 3_LassoLars,project_prf_team_size_group_31_40,187.3411390250454
medical 3_LassoLars,project_prf_application_group_real_time_application,184.07326814429874
communication 2_BayesianRidge,project_prf_year_of_project,176.5151974883095
serviceindustry 2_BayesianRidge,tech_tf_language_type_missing,175.62660902742553
communication 3_Lasso,project_prf_year_of_project,174.28868378492334
medical 3_LassoLars,project_prf_relative_size_missing,174.17978386808153
government 2_LinearRegression,project_prf_cost_currency_new_zealand_dollar,174.064208984375
medical 3_LassoLars,tech_tf_development_platform_mf,173.87455577423538
medical 3_LassoLars,tech_tf_language_type_3gl,172.75897925706644
serviceindustry 3_Lasso,process_pmf_development_methodologies_multifunctional_teams,172.34207379446218
government 2_LinearRegression,tech_tf_client_server_no,172.0102996826172
government 2_LinearRegression,tech_tf_client_server_missing,167.14254760742188
serviceindustry 3_Lasso,tech_tf_language_type_missing,166.26980487025781
serviceindustry 2_BayesianRidge,project_prf_team_size_group_21_30,165.06910563054785
government 2_LinearRegression,project_prf_development_type_new_development,164.44830513000488
serviceindustry 2_BayesianRidge,tech_tf_client_roles_business_logic_or_rule_processing,164.40582351214587
government 3_Lasso,tech_tf_client_server_no,163.87829239598332
government 3_Lasso,project_prf_cost_currency_new_zealand_dollar,163.29529711876265
government 2_LinearRegression,tech_tf_development_platform_proprietary,162.546875
serviceindustry 2_BayesianRidge,tech_tf_client_server_don_t_know,160.90323864692482
medical 3_LassoLars,functional_size_group_xxl_9000_17999,160.02943469919046
government 3_Lasso,tech_tf_client_server_missing,158.81164942806583
medical 1_LGBMRegressor,functional_size_group_m_100_999,158.0
medical 3_LassoLars,project_prf_application_group_business_application,156.80436088830626
government 3_Lasso,project_prf_development_type_new_development,156.59355114435957
serviceindustry 3_Lasso,project_prf_team_size_group_21_30,153.74998569211564
government 3_Lasso,tech_tf_development_platform_proprietary,152.7649357861343
serviceindustry 3_Lasso,process_pmf_development_methodologies_missing,151.69476103584202
medical 3_LassoLars,project_prf_normalised_work_effort,150.76753326997164
serviceindustry 2_BayesianRidge,process_pmf_development_methodologies_missing,150.3927181270725
insurance 3_LassoLars,project_prf_development_type_enhancement,149.93389413310086
serviceindustry 2_BayesianRidge,process_pmf_development_methodologies_unified_process,149.15927809183142
serviceindustry 3_Lasso,process_pmf_development_methodologies_unified_process,148.20631897967647
insurance 2_Lasso,project_prf_development_type_enhancement,146.50888202411997
serviceindustry 3_Lasso,tech_tf_client_roles_business_logic_or_rule_processing,145.93331267657294
government 2_LinearRegression,project_prf_case_tool_used_yes,145.697265625
communication 2_BayesianRidge,project_prf_relative_size_s,144.01268842435232
medical 1_LGBMRegressor,project_prf_team_size_group_15_20,144.0
serviceindustry 3_Lasso,tech_tf_client_server_don_t_know,140.76288349377552
government 3_Lasso,project_prf_case_tool_used_yes,138.57088192374536
government 2_LinearRegression,tech_tf_client_server_yes,138.2265625
serviceindustry 2_BayesianRidge,project_prf_case_tool_used_missing,137.80217392723355
serviceindustry 2_BayesianRidge,process_pmf_development_methodologies_scrum,137.19743185026118
communication 2_BayesianRidge,project_prf_relative_size_m1,136.7482496551694
insurance 3_LassoLars,tech_tf_architecture_missing,136.6558658977999
communication 3_Lasso,project_prf_relative_size_m1,135.6774494092879
insurance 3_LassoLars,tech_tf_language_type_missing,134.67922518306048
communication 2_BayesianRidge,tech_tf_architecture_multi_tier,134.02715984469648
serviceindustry 2_BayesianRidge,project_prf_relative_size_m1,133.98473320980364
insurance 2_Lasso,tech_tf_architecture_missing,133.48460281498495
communication 3_Lasso,project_prf_relative_size_s,133.01650449248834
medical 1_LGBMRegressor,functional_size_group_s_100,132.0
communication 3_Lasso,tech_tf_architecture_multi_tier,131.0645311659397
government 2_LinearRegression,project_prf_team_size_group_15_20,130.5594482421875
serviceindustry 3_Lasso,project_prf_case_tool_used_missing,130.06372390319632
government 3_Lasso,tech_tf_client_server_yes,128.47853954517743
insurance 2_Lasso,tech_tf_language_type_missing,127.73023252056575
serviceindustry 2_BayesianRidge,tech_tf_development_platform_multi,124.60843885868645
serviceindustry 2_BayesianRidge,project_prf_relative_size_xs,123.76416262266218
government 2_LinearRegression,project_prf_relative_size_m2,123.515869140625
serviceindustry 3_Lasso,tech_tf_development_platform_multi,120.98792723219769
government 2_LinearRegression,project_prf_year_of_project,120.8531530379994
insurance 3_LassoLars,tech_tf_language_type_3gl,120.43882307410689
communication 2_BayesianRidge,tech_tf_primary_programming_language,120.19265000334032
medical 3_LassoLars,tech_tf_development_platform_mr,120.03628796585005
government 2_LinearRegression,project_prf_development_type_enhancement,119.56536841392517
government 3_Lasso,project_prf_team_size_group_15_20,119.37974624772693
communication 3_Lasso,tech_tf_architecture_missing,119.1988254512406
medical 3_LassoLars,project_prf_relative_size_xxs,118.6786860223363
serviceindustry 2_BayesianRidge,tech_tf_client_roles_data_retrieval_and_presentation,118.65642280802221
communication 2_BayesianRidge,tech_tf_architecture_missing,117.9005932182499
insurance 2_Lasso,tech_tf_language_type_3gl,117.80556967010851
serviceindustry 3_Lasso,project_prf_relative_size_m1,117.53446276858037
serviceindustry 3_Lasso,project_prf_relative_size_xs,116.96028547469845
medical 1_LGBMRegressor,project_prf_application_type,116.0
communication 3_Lasso,tech_tf_primary_programming_language,114.70026829168242
serviceindustry 3_Lasso,process_pmf_development_methodologies_scrum,114.32911306790946
government 3_Lasso,project_prf_relative_size_m2,114.30509796775958
government 3_Lasso,project_prf_development_type_enhancement,114.13404908114931
insurance 3_LassoLars,process_pmf_prototyping_used_yes,114.12802056730166
insurance 3_LassoLars,tech_tf_development_platform_missing,113.48943440979974
government 2_LinearRegression,project_prf_case_tool_used_missing,112.8524169921875
serviceindustry 2_BayesianRidge,tech_tf_client_roles_web_html_browser,112.77507687949208
insurance 2_Lasso,process_pmf_prototyping_used_yes,111.67752359982902
government 2_LinearRegression,project_prf_cost_currency_united_kingdom_pound_sterling,111.5098876953125
insurance 2_Lasso,tech_tf_development_platform_missing,110.54562222107015
serviceindustry 3_Lasso,tech_tf_client_roles_web_html_browser,110.44615475398702
medical 3_LassoLars,tech_tf_dbms_used_missing,110.23572701746559
medical 3_LassoLars,project_prf_relative_size_s,110.06240694490977
communication 2_BayesianRidge,tech_tf_architecture_multi_tier_with_web_public_interface,109.03970846721607
communication 2_BayesianRidge,tech_tf_language_type_4gl,108.95864040898434
communication 3_Lasso,tech_tf_language_type_4gl,107.1062870048887
medical 1_LGBMRegressor,project_prf_relative_size_xl,107.0
medical 1_LGBMRegressor,project_prf_team_size_group_2,107.0
serviceindustry 3_Lasso,process_pmf_development_methodologies_spiral,106.20743452324275
communication 3_Lasso,tech_tf_architecture_multi_tier_with_web_public_interface,105.90430201291724
serviceindustry 2_BayesianRidge,process_pmf_development_methodologies_spiral,105.71894358208236
serviceindustry 3_Lasso,tech_tf_client_roles_data_retrieval_and_presentation,103.89636544039931
government 3_Lasso,project_prf_cost_currency_united_kingdom_pound_sterling,102.19615692327297
medical 1_LGBMRegressor,tech_tf_dbms_used_yes,102.0
government 2_LinearRegression,tech_tf_development_platform_mr,101.9141845703125
communication 2_BayesianRidge,project_prf_application_type,101.89960705217133
insurance 3_LassoLars,tech_tf_architecture_multi_tier,101.18252778783024
government 2_LinearRegression,project_prf_team_size_group_2,99.07470703125
government 2_LinearRegression,tech_tf_dbms_used_no,98.0755615234375
communication 3_Lasso,project_prf_application_type,97.49960187667516
medical 1_LGBMRegressor,project_prf_case_tool_used_missing,97.0
government 2_LinearRegression,project_prf_team_size_group_71_80,96.35986328125
medical 3_LassoLars,project_prf_team_size_group_2,95.83575724484939
insurance 2_Lasso,tech_tf_architecture_multi_tier,95.47321594039714
medical 1_LGBMRegressor,project_prf_relative_size_missing,95.0
medical 3_LassoLars,functional_size_group_s_100,94.22157470484784
serviceindustry 2_BayesianRidge,project_prf_max_team_size,94.18843195542014
communication 2_BayesianRidge,tech_tf_language_type_3gl,93.26700861558523
insurance 3_LassoLars,tech_tf_client_server_no,93.22221326103369
government 3_Lasso,project_prf_case_tool_used_missing,92.55678106697765
government 3_Lasso,tech_tf_development_platform_mr,92.17072511230228
government 3_Lasso,project_prf_year_of_project,91.92796782277105
government 3_Lasso,project_prf_team_size_group_71_80,91.8727809247668
government 2_LinearRegression,project_prf_currency_multiple_missing,91.38525390625
government 3_Lasso,tech_tf_dbms_used_no,91.23791985044282
serviceindustry 2_BayesianRidge,external_eef_organisation_type,91.05499964180373
government 3_Lasso,project_prf_team_size_group_2,90.74971832030778
communication 3_Lasso,tech_tf_language_type_3gl,89.97886093344923
government 2_LinearRegression,project_prf_relative_size_xxs,89.43145751953125
communication 2_BayesianRidge,project_prf_application_group_business_application,89.29690699685628
medical 3_LassoLars,process_pmf_development_methodologies_agile_development,88.60853512289896
medical 3_LassoLars,tech_tf_client_server_missing,88.59895133623336
medical 3_LassoLars,tech_tf_language_type_5gl,88.49859654059541
medical 3_LassoLars,tech_tf_client_server_yes,88.11374811337815
insurance 3_LassoLars,project_prf_relative_size_s,87.7701263423126
government 2_LinearRegression,project_prf_relative_size_xs,87.63697814941406
government 2_LinearRegression,project_prf_application_group_business_application,86.79945459438022
government 3_Lasso,project_prf_application_group_business_application,86.04766749964544
serviceindustry 2_BayesianRidge,functional_size_group_l_1000_2999,86.04367950241573
government 2_LinearRegression,project_prf_currency_multiple_yes_10_000,85.90359497070312
insurance 2_Lasso,tech_tf_client_server_no,85.73459393857375
medical 3_LassoLars,process_pmf_development_methodologies_missing,85.63577617923461
government 3_Lasso,process_pmf_development_methodologies_unified_process,85.38604048156876
communication 3_Lasso,project_prf_application_group_business_application,85.13270199957205
medical 1_LGBMRegressor,functional_size_group_xxl_9000_17999,85.0
medical 3_LassoLars,external_eef_organisation_type_wholesale_and_retail_trade,84.18992908036628
insurance 3_LassoLars,project_prf_relative_size_m1,82.0934271290307
government 3_Lasso,project_prf_currency_multiple_missing,82.03332752536636
serviceindustry 2_BayesianRidge,external_eef_data_quality_rating_a,81.30549424876398
insurance 2_Lasso,project_prf_relative_size_s,81.12080503744356
serviceindustry 3_Lasso,tech_tf_server_roles_database_server,80.09439582657919
government 3_Lasso,project_prf_max_team_size,80.07539393493525
medical 3_LassoLars,tech_tf_development_platform_missing,79.73501561789561
medical 3_LassoLars,external_eef_data_quality_rating_a,79.23728109291415
insurance 3_LassoLars,tech_tf_language_type_4gl,78.75037167305247
government 3_Lasso,project_prf_relative_size_xs,78.11067211615504
medical 3_LassoLars,tech_tf_language_type_missing,78.0998415177267
government 2_LinearRegression,tech_tf_language_type_4gl,78.0625
medical 1_LGBMRegressor,project_prf_team_size_group_9_14,78.0
serviceindustry 2_BayesianRidge,tech_tf_client_roles_data_entry_and_validation,77.91026229275303
serviceindustry 3_Lasso,functional_size_group_l_1000_2999,77.61730658706097
government 3_Lasso,project_prf_relative_size_xxs,77.56645521926842
serviceindustry 2_BayesianRidge,tech_tf_client_roles_run_a_computer_human_interface,76.46006128147903
medical 1_LGBMRegressor,process_pmf_development_methodologies_agile_development,76.0
serviceindustry 3_Lasso,external_eef_organisation_type,75.87978900773969
serviceindustry 2_BayesianRidge,tech_tf_server_roles_database_server,75.43395479962733
insurance 2_Lasso,project_prf_relative_size_m1,75.15423075604892
serviceindustry 3_Lasso,project_prf_max_team_size,75.14859301906267
medical 3_LassoLars,project_prf_team_size_group_1,74.88419159979603
communication 2_BayesianRidge,project_prf_relative_size_missing,74.21090592829437
serviceindustry 2_BayesianRidge,project_prf_application_group_business_application,74.07548406162567
communication 2_BayesianRidge,process_pmf_development_methodologies_agile_development,73.48510384074537
government 2_LinearRegression,tech_tf_architecture_missing,73.38134765625
medical 1_LGBMRegressor,project_prf_team_size_group_5_8,73.0
serviceindustry 2_BayesianRidge,tech_tf_client_server_no,72.86735585838696
serviceindustry 3_Lasso,tech_tf_client_roles_data_entry_and_validation,72.70018429394794
government 3_Lasso,tech_tf_tools_used,72.55157426623295
medical 3_LassoLars,tech_tf_architecture_multi_tier_with_web_public_interface,72.33569670683362
serviceindustry 2_BayesianRidge,external_eef_industry_sector_service_industry,72.23207983800748
medical 3_LassoLars,functional_size_group_m_100_999,71.98078593126782
serviceindustry 2_BayesianRidge,tech_tf_server_roles_file_print_server,71.58199181376817
government 3_Lasso,project_prf_currency_multiple_yes_10_000,71.52036937246748
insurance 2_Lasso,tech_tf_language_type_4gl,71.39707827327875
insurance 3_LassoLars,tech_tf_development_platform_pc,70.49439885429253
medical 3_LassoLars,tech_tf_client_server_don_t_know,69.84691084320083
insurance 3_LassoLars,functional_size_group_m_100_999,69.27180859322804
serviceindustry 3_Lasso,tech_tf_client_server_no,69.05489549420462
government 3_Lasso,process_pmf_development_methodologies_waterfall_incl_linear_processing_and_ssadm,68.63183339350188
serviceindustry 2_BayesianRidge,tech_tf_dbms_used_yes,68.56834376795373
serviceindustry 3_Lasso,tech_tf_server_roles_html_web_server,68.53252785648904
government 2_LinearRegression,project_prf_cost_currency_united_states_dollar,68.267333984375
government 3_Lasso,tech_tf_language_type_4gl,68.03451067155402
serviceindustry 2_BayesianRidge,project_prf_relative_size_m2,67.99759173298355
communication 3_Lasso,process_pmf_development_methodologies_agile_development,67.76339485698105
government 2_LinearRegression,tech_tf_language_type_5gl,67.515625
serviceindustry 2_BayesianRidge,tech_tf_primary_programming_language,67.41626620110267
communication 3_Lasso,project_prf_relative_size_missing,66.78629919314267
serviceindustry 2_BayesianRidge,tech_tf_development_platform_mr,65.71058691176877
communication 2_BayesianRidge,tech_tf_development_platform_pc,64.89104330913678
serviceindustry 2_BayesianRidge,tech_tf_server_roles_html_web_server,64.57502852667737
serviceindustry 2_BayesianRidge,tech_tf_development_platform_missing,64.04133415087799
medical 3_LassoLars,process_pmf_development_methodologies_waterfall_incl_linear_processing_and_ssadm,63.81791175078176
serviceindustry 3_Lasso,tech_tf_dbms_used_yes,63.705739283828024
insurance 2_Lasso,tech_tf_development_platform_pc,63.3831133395333
serviceindustry 3_Lasso,project_prf_application_group_business_application,63.29196995448836
government 3_Lasso,tech_tf_architecture_missing,63.238481560888346
insurance 3_LassoLars,process_pmf_development_methodologies_personal_software_process_psp,62.56400603788724
medical 3_LassoLars,project_prf_development_type_enhancement,62.311090759945216
serviceindustry 2_BayesianRidge,tech_tf_development_platform_pc,62.219495652179404
medical 3_LassoLars,project_prf_application_group_missing,62.21711987998137
medical 3_LassoLars,tech_tf_primary_programming_language,62.15877675212546
insurance 2_Lasso,functional_size_group_m_100_999,61.2426807742222
serviceindustry 2_BayesianRidge,project_prf_team_size_group_2,61.22063083149354
serviceindustry 2_BayesianRidge,functional_size_group_s_100,60.80297239504563
insurance 3_LassoLars,process_pmf_docs,60.75582456680853
government 3_Lasso,project_prf_functional_size,60.585588882579046
medical 3_LassoLars,project_prf_relative_size_m2,60.515239456137486
serviceindustry 3_Lasso,tech_tf_server_roles_file_print_server,60.364741296499126
serviceindustry 3_Lasso,external_eef_data_quality_rating_a,59.95232841914784
serviceindustry 3_Lasso,tech_tf_client_roles_run_a_computer_human_interface,59.376571353434734
communication 2_BayesianRidge,external_eef_data_quality_rating_a,59.27757179829602
serviceindustry 2_BayesianRidge,process_pmf_development_methodologies_iterative,59.24931082213877
medical 3_LassoLars,project_prf_team_size_group_3_4,59.19058885191604
medical 3_LassoLars,project_prf_team_size_group_5_8,58.92524534626633
serviceindustry 3_Lasso,tech_tf_development_platform_missing,58.888413858704176
government 2_LinearRegression,functional_size_group_l_1000_2999,58.8331298828125
serviceindustry 3_Lasso,external_eef_industry_sector_service_industry,58.69081100062129
serviceindustry 2_BayesianRidge,tech_tf_server_roles_mail_server,58.657651084236974
communication 2_BayesianRidge,external_eef_organisation_type_media,58.447248893126215
communication 2_BayesianRidge,project_prf_relative_size_xxs,58.097541536393734
serviceindustry 2_BayesianRidge,project_prf_functional_size,58.041229100334036
government 3_Lasso,process_pmf_development_methodologies_iterative,58.038413323523805
serviceindustry 2_BayesianRidge,project_prf_development_type_re_development,57.85636679393811
serviceindustry 3_Lasso,tech_tf_development_platform_mr,57.51101537772819
government 2_LinearRegression,functional_size_group_m_100_999,56.892578125
communication 3_Lasso,tech_tf_development_platform_pc,56.59855513383142
government 2_LinearRegression,tech_tf_language_type_3gl,56.3125
serviceindustry 3_Lasso,tech_tf_server_roles_mail_server,56.14376700689396
serviceindustry 3_Lasso,project_prf_relative_size_m2,56.13225869357896
government 3_Lasso,tech_tf_language_type_5gl,56.05658276066942
communication 3_Lasso,functional_size_group_s_100,56.00599796755593
communication 2_BayesianRidge,process_pmf_docs,55.991321090125865
government 2_LinearRegression,tech_tf_architecture_multi_tier_with_web_public_interface,55.72943115234375
medical 3_LassoLars,tech_tf_language_type_4gl,55.538368635854155
government 2_LinearRegression,tech_tf_development_platform_multi,55.49853515625
insurance 3_LassoLars,tech_tf_architecture_client_server,55.33378967753498
insurance 3_LassoLars,project_prf_relative_size_xxs,55.31013598546292
government 2_LinearRegression,project_prf_currency_multiple_no,54.86053466796875
medical 3_LassoLars,project_prf_functional_size,54.41088288381825
communication 2_BayesianRidge,functional_size_group_s_100,54.373986813081956
insurance 2_Lasso,process_pmf_development_methodologies_personal_software_process_psp,54.267413584402675
medical 1_LGBMRegressor,project_prf_application_group_infrastructure_software,54.0
communication 3_Lasso,external_eef_organisation_type_media,53.90207566517534
communication 3_Lasso,process_pmf_docs,53.7354053516357
communication 3_Lasso,external_eef_data_quality_rating_a,53.37912163410069
insurance 3_LassoLars,tech_tf_primary_programming_language,52.87511751598914
insurance 2_Lasso,process_pmf_docs,52.73635628036429
insurance 3_LassoLars,project_prf_relative_size_missing,52.67398297439262
insurance 3_LassoLars,process_pmf_prototyping_used_missing,52.47325920078736
government 3_Lasso,project_prf_cost_currency_united_states_dollar,52.43659070344492
medical 3_LassoLars,tech_tf_architecture_missing,52.27251374597464
medical 3_LassoLars,tech_tf_architecture_multi_tier,52.030134790240744
insurance 3_LassoLars,process_pmf_development_methodologies_spiral,51.670757730999995
government 2_LinearRegression,project_prf_application_group_infrastructure_software,51.50097890896723
communication 3_Lasso,project_prf_relative_size_xxs,51.462921110465196
serviceindustry 3_Lasso,tech_tf_development_platform_pc,51.142467148898035
medical 3_LassoLars,project_prf_development_type_re_development,51.08654479877807
insurance 3_LassoLars,project_prf_case_tool_used_yes,51.005888416238044
medical 1_LGBMRegressor,tech_tf_development_platform_proprietary,51.0
insurance 2_Lasso,process_pmf_prototyping_used_missing,50.46924558183145
insurance 3_LassoLars,tech_tf_development_platform_multi,50.36820214748108
government 3_Lasso,functional_size_group_l_1000_2999,50.01965994085232
medical 3_LassoLars,external_eef_organisation_type_government,49.803998310821534
government 2_LinearRegression,functional_size_group_xl_3000_8999,49.568115234375
serviceindustry 3_Lasso,tech_tf_primary_programming_language,49.47512691295071
insurance 3_LassoLars,project_prf_team_size_group_3_4,48.46046934433929
government 3_Lasso,project_prf_currency_multiple_no,48.41940964940531
communication 2_BayesianRidge,tech_tf_architecture_client_server,48.26590226729172
insurance 3_LassoLars,tech_tf_architecture_stand_alone,47.84001598908921
insurance 2_Lasso,tech_tf_architecture_client_server,47.82649400794901
insurance 2_Lasso,project_prf_relative_size_xxs,47.79784522544077
serviceindustry 3_Lasso,functional_size_group_s_100,47.73287140689575
medical 3_LassoLars,project_prf_relative_size_xxl,47.696109171407194
serviceindustry 2_BayesianRidge,project_prf_relative_size_missing,47.495120351102884
communication 2_BayesianRidge,tech_tf_development_platform_missing,47.47824820002317
serviceindustry 3_Lasso,tech_tf_language_type_5gl,47.383900928961346
government 2_LinearRegression,project_prf_cost_currency_canada_dollar,46.89585876464844
communication 2_BayesianRidge,tech_tf_tools_used,46.58076329132311
serviceindustry 2_BayesianRidge,tech_tf_language_type_5gl,46.57503636311594
serviceindustry 3_Lasso,project_prf_development_type_re_development,46.526942703684625
insurance 3_LassoLars,external_eef_organisation_type_electricity_gas_water,46.48654979077031
government 3_Lasso,tech_tf_architecture_multi_tier_with_web_public_interface,46.35865830398237
government 3_Lasso,tech_tf_language_type_3gl,46.2167118665754
serviceindustry 2_BayesianRidge,functional_size_group_m_100_999,45.74358096380536
