isbsg_project_id,project_prf_year_of_project,project_prf_application_group,project_prf_application_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_speed_of_delivery,project_prf_project_elapsed_time,process_pmf_docs,tech_tf_tools_used,project_prf_max_team_size,process_pmf_development_methodologies_agile_development,process_pmf_development_methodologies_it_unified_process_itup,process_pmf_development_methodologies_missing,process_pmf_development_methodologies_multifunctional_teams,process_pmf_development_methodologies_rapid_application_development_rad,process_pmf_development_methodologies_timeboxing,process_pmf_development_methodologies_waterfall_incl_linear_processing_and_ssadm,external_eef_industry_sector_Communication,external_eef_organisation_type_communications,external_eef_organisation_type_communications_telecom,external_eef_organisation_type_communications_telecom_and_networking,external_eef_organisation_type_general_public_mobile_phone_end_user,external_eef_organisation_type_media,external_eef_organisation_type_telecom,external_eef_organisation_type_telecommunication,external_eef_organisation_type_telecommunications,external_eef_organisation_type_virtual_assistants_lingubots,project_prf_development_type_Enhancement,project_prf_development_type_New_Development,project_prf_development_type_Porting,project_prf_development_type_Re_development,tech_tf_development_platform_Hand_Held,tech_tf_development_platform_MF,tech_tf_development_platform_MR,tech_tf_development_platform_Missing,tech_tf_development_platform_Multi,tech_tf_development_platform_PC,tech_tf_language_type_2GL,tech_tf_language_type_3GL,tech_tf_language_type_4GL,tech_tf_language_type_ApG,tech_tf_language_type_Missing,project_prf_relative_size_L,project_prf_relative_size_M1,project_prf_relative_size_M2,project_prf_relative_size_Missing,project_prf_relative_size_S,project_prf_relative_size_XL,project_prf_relative_size_XS,project_prf_relative_size_XXS,process_pmf_prototyping_used_Missing,process_pmf_prototyping_used_Yes,tech_tf_architecture_Client_server,tech_tf_architecture_Missing,tech_tf_architecture_Multi_tier,tech_tf_architecture_Multi_tier_Client_server,tech_tf_architecture_Multi_tier_with_web_interface,tech_tf_architecture_Multi_tier_with_web_public_interface,tech_tf_architecture_Stand_alone,tech_tf_dbms_used_Missing,tech_tf_dbms_used_No,tech_tf_dbms_used_Yes,project_prf_team_size_group_2,project_prf_team_size_group_21_30,project_prf_team_size_group_3_4,project_prf_team_size_group_5_8,project_prf_team_size_group_9_14,project_prf_team_size_group_Missing,project_prf_case_tool_used_Missing,project_prf_case_tool_used_No,project_prf_case_tool_used_Yes,tech_tf_client_server_Missing,tech_tf_client_server_No,tech_tf_client_server_Yes
10268,2015,Business Application,workflow support & management,Missing,139,2010,2010,14.5,14.5,57.9,2.4,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10278,2015,Business Application,online. esales,Missing,427,5190,5190,12.2,12.2,125.6,3.4,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10305,2015,Business Application,customer relationship management,Java,110,1037,1037,9.4,9.4,22.4,4.9,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10333,2015,Business Application,workflow support & management,Missing,78,776,776,9.9,9.9,52.0,1.5,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10368,2015,Business Application,workflow support & management,Missing,164,3307,3307,20.2,20.2,33.5,4.9,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10396,2014,Business Application,customer relationship management,Visual Basic,165,2774,2774,16.8,16.8,37.5,4.4,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10397,2005,Mathematically-Intensive Application,relatively complex application,Missing,3,65,65,21.7,21.7,22.3,4.4,3,0,,1,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10459,1990,Missing,missing,C,460,10200,10200,22.2,22.2,51.1,9.0,2,0,,1,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10469,2015,Business Application,stock control & order processing,Java,85,357,357,4.2,4.2,9.9,8.6,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10514,2014,Business Application,data warehouse system,Shell,99,2029,2029,20.5,20.5,17.4,5.7,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10521,2014,Business Application,stock control & order processing,Java,135,2424,2424,18.0,18.0,32.9,4.1,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10578,2005,Mathematically-Intensive Application,relatively complex application,Missing,267,8486,8486,31.8,31.8,22.3,4.4,3,0,,1,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10590,2014,Business Application,customer relationship management,Visual Basic,251,5349,5349,21.3,21.3,81.0,3.1,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10612,2012,Business Application,data warehouse system,Shell,92,956,956,10.4,10.4,22.4,4.1,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10625,2005,Missing,web-based application,Script Language,93,864,1044,15.0,15.05,22.3,1.9,0,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10656,2012,Business Application,data warehouse system,Shell,62,751,751,12.1,12.1,9.7,6.4,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10665,2015,Business Application,stock control & order processing,Java,96,1599,1599,16.7,16.7,16.0,6.0,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10707,2014,Business Application,stock control & order processing,Java,56,1298,1298,23.2,23.2,12.7,4.4,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10738,2014,Business Application,integration,TIBCO,172,7421,7421,43.1,43.1,47.8,3.6,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10740,2012,Business Application,data warehouse system,Shell,58,1283,1283,22.1,22.1,10.9,5.3,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10757,2015,Business Application,online. esales,Missing,76,1795,1795,23.6,23.6,8.4,9.1,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10762,2015,Business Application,customer relationship management,Java,231,224,224,1.0,1.0,26.9,8.6,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10778,2005,Mathematically-Intensive Application,relatively complex application,Missing,40,261,261,6.5,6.5,22.3,4.4,3,0,,1,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10802,2005,Mathematically-Intensive Application,relatively complex application,Missing,31,578,578,18.6,18.6,22.3,4.4,3,0,,1,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10945,2015,Business Application,online. esales,Missing,55,361,361,6.6,6.6,22.3,4.4,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10954,2005,Mathematically-Intensive Application,relatively complex application,Missing,34,847,847,24.9,24.9,22.3,4.4,3,0,,1,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10980,2005,Mathematically-Intensive Application,relatively complex application,Missing,307,1596,1596,5.2,5.2,22.3,4.4,3,0,,1,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10989,2013,Business Application,service order & activation management,ASAP,55,1288,1288,23.4,23.4,26.2,2.1,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11012,2015,Business Application,customer relationship management,Visual Basic,111,2023,2023,18.2,18.2,25.8,4.3,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11082,2005,Mathematically-Intensive Application,relatively complex application,Missing,8,196,196,24.5,24.5,22.3,4.4,3,0,,1,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
11090,2008,Mathematically-Intensive Application,migration tool; network management,Pro*C,58,1536,1536,26.5,26.5,11.6,5.0,16,2,,1,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
11108,1991,Missing,missing,NATURAL,1097,15749,15749,14.4,14.4,182.8,6.0,2,1,,1,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
11113,2008,Missing,missing,ColdFusion,579,2260,2260,3.9,3.9,72.4,8.0,14,4,,1,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
11118,2015,Business Application,logistic or supply planning & control,Java,96,920,920,9.6,9.6,28.2,3.4,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11136,2005,Mathematically-Intensive Application,relatively complex application,Missing,397,4668,4668,11.8,11.8,22.3,4.4,3,0,,1,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
11173,2005,Mathematically-Intensive Application,relatively complex application,Missing,51,385,385,7.5,7.5,22.3,4.4,3,0,,1,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
11199,2015,Business Application,online. esales,Missing,225,4205,4205,18.7,18.7,34.1,6.6,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11214,2015,Business Application,integration,TIBCO,96,1655,1655,17.2,17.2,22.3,4.4,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11241,2006,Missing,communication systrem,C,93,3352,9340,15.0,15.05,22.3,4.6,11,6,,1,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11242,2015,Business Application,online. esales,Missing,67,1527,1527,22.8,22.8,14.3,4.7,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11252,2005,Mathematically-Intensive Application,relatively complex application,Missing,117,3107,3107,26.6,26.6,22.3,4.4,3,0,,1,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
11267,2013,Mathematically-Intensive Application,customer relationship management,PL/SQL,57,834,834,14.6,14.6,13.9,4.1,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11303,2013,Business Application,online. esales,Missing,76,754,754,9.9,9.9,18.1,4.2,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11318,2015,Business Application,geo information management,Java,72,932,932,12.9,12.9,22.3,4.4,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11333,2008,Business Application,inventory gathering and managing,ColdFusion,723,3214,3214,4.4,4.4,72.3,10.0,14,4,,1,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
11351,2015,Business Application,stock control & order processing,Missing,54,1130,1130,20.9,20.9,22.3,4.4,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11353,2012,Business Application,customer relationship management,Java,108,3911,3911,36.2,36.2,24.5,4.4,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11383,2006,Real-Time Application,embedded system/real-time application,Missing,93,275,275,15.0,15.05,22.3,4.4,3,0,,1,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
11405,2014,Business Application,enterprise management,Java,57,3826,3826,67.1,67.1,13.0,4.4,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11453,2005,Mathematically-Intensive Application,relatively complex application,Missing,27,449,449,16.6,16.6,22.3,4.4,3,0,,1,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
11473,2015,Business Application,integration,TIBCO,103,2144,2144,20.8,20.8,21.0,4.9,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11509,2012,Real-Time Application,embedded software - simple device control; online analysis and reporting; telecom & network management,C++,204,7805,7805,38.3,38.3,29.1,7.0,6,2,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
11527,2014,Business Application,data warehouse system,Shell,151,2810,2810,18.6,18.6,30.8,4.9,3,0,,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
