project_prf_year_of_project,project_prf_application_type,project_prf_functional_size,project_prf_team_size_group,project_prf_max_team_size,process_pmf_docs,tech_tf_tools_used,process_pmf_development_methodologies_agile_development,process_pmf_development_methodologies_joint_application_development_jad,process_pmf_development_methodologies_multifunctional_teams,external_eef_industry_sector_medical_and_health_care,external_eef_organisation_type_biotech,external_eef_organisation_type_medical_and_health_care,external_eef_organisation_type_occupational_health_and_safety,project_prf_development_type_enhancement,project_prf_development_type_new_development,project_prf_relative_size_l,project_prf_relative_size_m1,project_prf_relative_size_m2,project_prf_relative_size_missing,project_prf_relative_size_s,project_prf_relative_size_xs,project_prf_relative_size_xxs,project_prf_cost_currency_european_euro,project_prf_cost_currency_missing,project_prf_cost_currency_united_states_dollar,project_prf_currency_multiple_missing,project_prf_currency_multiple_no
2013,not recorded,48,31-40,31,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,21,15-20,15,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,43,31-40,35,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,254,71-80,74,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,24,15-20,18,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,16,31-40,31,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,not recorded,50,101+,135,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2007,catalogue/register of things or events,733,Missing,36,3,0,1,0,0,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
2012,not recorded,7,15-20,20,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,5,51-60,60,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,89,31-40,35,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,35,61-70,65,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,35,21-30,30,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,64,51-60,53,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,7,21-30,21,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,39,101+,102,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,40,31-40,33,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,10,41-50,47,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,30,21-30,21,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,57,81-90,84,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,36,Sep-14,13,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,142,101+,172,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,33,Sep-14,9,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,7,41-50,41,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,16,31-40,33,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,28,Sep-14,14,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,56,41-50,46,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,48,21-30,30,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,12,05-Aug,7,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,7,31-40,37,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,92,31-40,34,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,11,21-30,21,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,328,101+,153,2,0,1,0,0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
2013,not recorded,16,41-50,46,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,38,51-60,57,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,39,41-50,45,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2010,not recorded,37,61-70,61,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,13,Sep-14,11,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2010,clinical archive,116,Missing,36,5,0,1,0,0,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False
2012,not recorded,6,41-50,46,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,14,51-60,57,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,14,31-40,39,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,12,31-40,36,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,95,21-30,30,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,12,15-20,15,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,86,101+,150,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,7,Sep-14,10,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,10,51-60,53,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,not recorded,8,41-50,47,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,19,51-60,58,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,14,81-90,86,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,15,Sep-14,12,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,25,61-70,65,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,business application,255,Missing,36,2,0,1,0,0,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True
2013,not recorded,26,21-30,30,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,118,71-80,73,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2011,not recorded,16,51-60,52,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,109,61-70,67,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,6,31-40,38,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,18,71-80,77,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,36,41-50,45,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,3,21-30,23,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,18,41-50,48,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,16,21-30,30,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,297,61-70,69,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2013,not recorded,30,61-70,70,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,10,21-30,27,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,21,51-60,55,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,93,101+,128,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,7,31-40,31,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,156,51-60,56,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,39,21-30,23,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,6,31-40,34,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,33,101+,115,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,26,21-30,21,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2010,not recorded,20,91-100,100,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,32,15-20,18,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,44,61-70,65,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,9,21-30,22,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,33,41-50,46,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,22,61-70,61,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,31,61-70,61,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,4,Sep-14,9,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,5,15-20,17,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2010,not recorded,40,2,2,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,12,41-50,47,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,14,61-70,70,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,not recorded,7,31-40,33,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,4,31-40,35,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,68,101+,156,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,18,101+,101,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,7,21-30,23,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,4,15-20,19,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,14,31-40,34,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,64,101+,123,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,108,31-40,37,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2011,not recorded,27,21-30,23,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,19,21-30,24,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,450,81-90,90,2,0,1,0,0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
2012,not recorded,47,31-40,36,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2010,not recorded,107,81-90,83,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2013,not recorded,7,Sep-14,10,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,6,31-40,39,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2007,engineering software,24,Missing,36,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False
2012,not recorded,20,51-60,60,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,not recorded,19,61-70,70,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,193,101+,111,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2005,web-based app. dotnet,24,21-30,24,0,0,1,0,0,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
2012,not recorded,107,61-70,66,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2013,not recorded,9,21-30,26,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,46,41-50,50,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,270,91-100,94,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,61,15-20,17,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2010,analysis management,144,Missing,36,5,0,1,0,0,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False
2012,not recorded,306,101+,109,2,0,1,0,0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
2008,engineering software,24,Missing,36,2,0,1,0,0,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
2013,not recorded,60,101+,149,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,112,61-70,68,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,87,21-30,21,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,16,21-30,28,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
1993,transaction/production system,805,05-Aug,7,6,2,1,0,0,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False
2012,not recorded,15,Sep-14,12,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,not recorded,75,101+,205,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,59,31-40,39,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,14,15-20,19,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,164,21-30,23,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,90,21-30,29,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,14,51-60,55,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,12,101+,115,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,4,05-Aug,8,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,25,71-80,72,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,86,61-70,69,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,6,31-40,33,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,286,101+,136,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2013,not recorded,20,21-30,25,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,12,15-20,16,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,44,Sep-14,10,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,8,15-20,18,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,27,31-40,36,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,124,21-30,24,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,54,41-50,48,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2006,catalogue/register of things or events,160,Missing,36,3,0,1,0,0,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False
2011,not recorded,12,15-20,18,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,42,Sep-14,14,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,67,21-30,21,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,12,15-20,19,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,4,21-30,21,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,19,31-40,34,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,not recorded,44,101+,102,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,24,15-20,19,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,37,91-100,98,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,157,81-90,81,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,26,Sep-14,14,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,54,81-90,86,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,4,Sep-14,11,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,116,61-70,69,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2011,not recorded,7,Sep-14,11,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,180,81-90,84,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,4,Sep-14,11,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,24,31-40,36,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,40,51-60,57,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2007,missing,24,03-Apr,3,2,0,1,0,0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False
2012,not recorded,72,51-60,60,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,6,21-30,21,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,3,31-40,39,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,13,31-40,36,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,106,21-30,27,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,12,Sep-14,12,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,7,21-30,24,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,16,21-30,29,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,7,31-40,39,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,15,61-70,69,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2010,not recorded,54,91-100,98,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,19,41-50,46,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,6,21-30,27,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,14,31-40,37,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
