age,income,category,status,score,region_code
66,53019.164,C,active,71.323364,4.0
65,53824.742,D,active,49.753242,2.0
71,50346.43,A,pending,40.808846,1.0
52,53656.37,D,active,57.90314,4.0
56,57351.0,B,active,56.944916,4.0
62,45895.45,D,active,65.13312,4.0
51,53100.28,A,active,53.46802,3.0
70,48973.613,D,pending,60.30352,4.0
54,46029.305,A,active,70.34896,2.0
56,54174.754,C,active,64.26435,3.0
67,44323.918,C,pending,59.79933,4.0
66,55477.543,B,pending,43.723316,4.0
70,41743.836,A,pending,46.060555,4.0
42,56027.35,D,active,66.53991,4.0
67,55869.004,D,active,50.96573,4.0
72,52666.51,D,pending,45.12704,3.0
64,45082.06,A,active,45.54101,2.0
69,48624.066,C,active,63.291023,3.0
67,51247.785,C,active,47.92828,2.0
43,60181.594,C,active,69.905624,4.0
64,48928.273,A,active,53.49303,4.0
65,46849.008,C,pending,64.74406,2.0
65,54881.74,D,active,55.613777,4.0
71,41518.316,A,active,44.78873,2.0
64,56065.645,C,active,51.457798,2.0
64,49920.793,D,active,43.676094,4.0
65,55974.83,B,inactive,48.13774,4.0
63,52320.9,A,active,44.363964,2.0
66,50995.613,D,pending,72.63166,4.0
64,47140.69,C,active,53.104008,2.0
69,48448.645,D,pending,65.31124,3.0
57,48412.25,A,active,44.14059,1.0
60,41469.93,D,active,50.20242,2.0
61,50119.83,D,pending,57.807182,5.0
65,54318.008,A,active,37.425743,3.0
69,47668.566,C,active,66.42941,5.0
69,50012.395,C,pending,64.239525,2.0
72,48016.59,D,pending,46.283703,4.0
52,53120.414,C,pending,74.18175,4.0
69,40402.375,A,active,55.831894,4.0
48,47353.3,A,pending,56.3814,1.0
71,47178.996,D,active,55.655422,4.0
59,46323.46,B,active,46.722122,3.0
55,42871.3,A,active,57.09085,4.0
54,50529.105,C,active,72.36719,3.0
69,51504.227,C,active,58.99891,3.0
60,44733.297,A,active,59.540154,2.0
61,57682.125,B,active,50.95844,4.0
62,52353.027,D,active,67.70001,2.0
71,49615.785,A,active,68.31193,3.0
65,48553.59,D,pending,57.587498,4.0
65,46358.75,D,active,43.97934,3.0
72,53575.086,D,active,53.190235,4.0
67,44658.0,B,active,60.714878,4.0
64,57910.01,D,pending,57.50533,3.0
66,54469.12,C,active,65.59993,4.0
59,46210.062,C,pending,65.554794,2.0
67,43251.375,C,active,70.61855,2.0
70,43966.89,A,active,62.304737,3.0
67,48812.96,D,active,61.818455,2.0
68,42158.812,B,active,49.097622,2.0
66,56632.82,D,active,59.47986,4.0
64,50006.387,A,pending,52.05683,2.0
65,43734.168,D,active,57.04273,4.0
65,56990.586,D,active,55.722572,3.0
69,45229.035,C,active,71.69755,3.0
66,45714.86,A,pending,64.7567,2.0
58,46515.39,A,active,48.43558,4.0
58,52030.613,A,pending,35.379383,3.0
66,47343.707,C,pending,61.220333,2.0
56,59359.367,D,active,65.917816,2.0
64,50935.23,D,active,49.61914,5.0
69,41921.03,D,active,57.432888,4.0
58,49934.176,A,active,62.025665,3.0
67,46259.15,D,active,52.73821,2.0
71,46026.348,D,active,65.341675,3.0
61,54445.973,D,active,66.495255,2.0
66,53529.816,C,inactive,52.41702,3.0
62,45716.785,C,active,48.09505,4.0
60,41150.316,D,pending,49.248837,4.0
65,53629.156,A,pending,58.02567,2.0
68,46789.125,C,inactive,71.809166,2.0
60,46606.11,C,active,48.813873,2.0
60,47876.473,D,active,60.072613,5.0
73,44098.242,C,pending,71.8181,3.0
68,57905.895,D,active,63.728943,2.0
54,57318.047,C,active,68.85076,5.0
73,48714.836,D,pending,36.92602,2.0
54,51449.33,B,active,40.949684,2.0
55,54862.75,D,active,43.35329,2.0
66,44080.984,C,active,64.13741,4.0
70,40533.84,B,pending,62.237682,5.0
57,48869.082,C,active,42.546867,3.0
62,52416.105,D,inactive,69.70582,2.0
66,41252.723,D,pending,51.39186,4.0
60,48278.125,D,pending,59.526913,4.0
50,54534.97,D,active,48.124283,2.0
59,54996.242,A,pending,53.92103,4.0
57,48224.336,D,active,66.89118,4.0
61,50870.8,D,active,63.389397,4.0
64,51321.008,C,pending,64.097046,3.0
64,47866.766,D,active,50.953293,4.0
75,52272.88,D,active,39.713436,2.0
65,43315.785,A,active,42.34906,2.0
54,55429.684,A,active,62.453857,2.0
71,51927.88,A,pending,36.54413,4.0
60,47374.535,A,active,51.90308,5.0
60,48680.8,D,active,65.796234,5.0
67,51639.27,A,active,56.24764,4.0
59,46534.992,A,active,54.336838,3.0
63,47370.715,C,active,64.288925,5.0
65,50314.43,D,active,63.483192,3.0
60,47664.203,D,active,60.95143,5.0
70,46685.18,A,active,61.26393,2.0
69,45940.453,D,pending,53.661583,3.0
57,54699.24,C,pending,38.89917,2.0
67,48435.867,C,active,48.16192,4.0
65,50955.145,D,active,53.70918,2.0
68,46442.63,A,active,51.308132,4.0
53,53648.246,D,active,63.479504,4.0
72,59486.504,D,active,61.053402,2.0
61,45575.11,C,active,56.070686,2.0
52,45678.32,C,pending,43.784863,4.0
55,51106.45,D,pending,62.89297,2.0
70,53934.125,D,active,46.353508,4.0
65,58096.848,D,active,48.773163,4.0
65,52615.52,B,active,52.86515,4.0
53,48800.94,B,pending,52.581066,4.0
66,58904.473,A,active,49.005085,4.0
56,49243.47,C,pending,59.69235,4.0
69,56490.23,D,active,61.10726,2.0
64,46947.082,C,active,61.468494,3.0
60,49054.0,A,active,52.86962,2.0
71,52042.574,D,active,54.95333,4.0
74,57583.37,D,active,70.35604,3.0
58,51936.086,A,active,56.907482,4.0
61,52754.062,A,pending,47.984917,4.0
51,49879.645,B,active,46.416782,2.0
62,38391.676,C,pending,54.12533,4.0
67,51723.914,B,pending,60.311905,2.0
70,50142.168,A,pending,33.813793,3.0
54,51209.613,A,active,63.40671,4.0
68,54916.18,C,active,65.37447,3.0
65,52486.43,B,active,45.137733,5.0
63,48128.14,C,active,48.775642,2.0
57,52248.26,C,active,55.89053,4.0
69,47409.89,C,pending,70.335205,4.0
59,53479.793,D,inactive,49.42086,2.0
48,60557.54,A,pending,39.216587,5.0
59,56867.332,D,pending,56.88787,4.0
62,47076.5,C,active,55.402332,3.0
69,50943.29,C,active,41.97901,4.0
72,47600.11,C,pending,65.64994,4.0
59,56116.805,A,active,54.635258,2.0
73,50789.527,A,active,43.499775,2.0
68,41156.473,D,active,67.08843,2.0
63,49521.227,C,active,53.037125,2.0
58,42420.918,D,active,54.20689,2.0
51,45166.95,D,pending,51.439064,2.0
65,48347.445,C,active,54.180405,4.0
70,47608.863,B,active,62.161907,4.0
65,48840.973,A,active,49.84215,2.0
73,50239.72,C,active,63.8882,4.0
65,44647.812,C,pending,71.35507,3.0
51,51453.496,C,pending,61.45048,3.0
66,43457.816,C,pending,66.5394,4.0
62,48945.676,A,pending,40.01522,2.0
59,57388.9,D,active,56.64028,2.0
69,53176.72,D,pending,49.232113,1.0
69,42745.71,D,pending,60.150772,3.0
66,45547.324,D,active,67.97881,3.0
62,48403.918,D,pending,62.902496,4.0
72,57569.65,D,active,59.57469,5.0
62,49174.68,A,active,54.282063,4.0
57,48705.05,D,active,54.842834,5.0
66,47406.94,C,pending,41.635235,2.0
58,45700.508,D,pending,37.349854,2.0
64,54216.152,D,active,45.81271,4.0
64,47583.367,D,active,67.45871,4.0
67,46997.08,A,active,54.03565,2.0
62,51823.727,D,active,62.924866,2.0
70,46696.266,C,active,69.84859,2.0
60,47532.562,A,active,47.839382,2.0
54,53741.656,D,pending,59.915176,4.0
74,38955.465,A,active,42.400898,3.0
67,46876.9,C,pending,59.120388,2.0
70,48161.28,C,active,53.470222,3.0
73,52413.887,D,active,41.063564,4.0
70,55696.55,D,pending,47.390163,5.0
66,45987.312,A,active,38.531746,2.0
58,58417.656,D,pending,51.092373,4.0
59,44513.113,D,active,71.306,4.0
72,53033.316,D,active,49.987362,2.0
64,50517.902,D,active,53.385223,2.0
57,43361.164,D,pending,55.604713,4.0
57,43266.113,C,active,65.50589,4.0
65,46229.133,A,active,64.97792,4.0
56,46452.656,B,active,54.4372,2.0
72,48383.98,D,active,40.730972,3.0
68,49226.49,D,active,54.04906,4.0
58,51344.293,D,active,53.931915,4.0
63,39948.95,A,active,62.378807,3.0
68,53544.7,C,active,66.89882,4.0
45,51542.207,D,pending,53.267403,4.0
63,44819.406,D,pending,71.59432,4.0
73,43427.57,C,active,47.132957,4.0
63,45211.86,C,active,57.76017,4.0
63,45520.387,A,active,44.508106,3.0
70,52496.473,D,pending,62.357857,4.0
62,50883.105,B,active,30.140978,2.0
69,42872.06,D,active,55.80395,5.0
51,48849.74,A,inactive,47.52552,2.0
71,48543.383,A,active,64.6054,2.0
57,44656.434,C,active,62.91326,2.0
62,46911.99,D,active,57.770794,5.0
68,49610.902,D,pending,45.700016,4.0
61,55163.574,B,active,54.501293,4.0
61,45182.84,A,active,55.28748,5.0
68,46846.254,D,active,68.71237,4.0
72,49382.42,B,active,46.888737,4.0
63,51776.863,D,active,56.92533,4.0
52,47928.473,A,active,52.951645,4.0
56,51179.566,D,active,52.935917,4.0
65,47580.652,D,active,63.27395,4.0
73,50193.02,A,active,59.74476,3.0
71,57821.324,D,pending,55.884228,5.0
74,41998.95,B,active,48.725002,4.0
63,46466.36,A,active,57.799694,2.0
66,50317.297,A,active,57.9242,2.0
54,49627.543,C,active,51.56695,2.0
58,49433.605,C,active,56.300297,2.0
61,54205.65,D,active,64.618835,2.0
65,42957.79,C,active,57.109287,2.0
68,42188.426,A,active,36.44399,2.0
17,46443.934,D,pending,57.877773,4.0
67,44616.367,B,inactive,47.96405,2.0
64,57940.555,C,active,38.394115,2.0
69,44834.39,A,active,45.67427,1.0
73,57107.1,D,active,60.154884,2.0
60,42606.684,A,active,36.301323,2.0
61,39020.76,D,active,46.55237,4.0
68,45719.23,A,pending,64.95088,4.0
69,56233.867,D,active,71.269745,2.0
69,50162.008,C,active,72.094666,2.0
70,41692.9,A,active,39.22634,2.0
70,52012.715,D,pending,56.69862,3.0
63,42411.664,B,active,52.67754,4.0
53,48922.45,B,active,45.34182,3.0
58,47455.04,D,pending,64.59635,4.0
68,59425.184,C,active,65.42015,5.0
56,53654.65,C,active,45.50889,3.0
62,42987.11,C,active,72.53362,3.0
65,51153.336,D,active,62.671997,5.0
62,42712.27,A,active,41.830555,2.0
72,49626.69,C,active,69.1998,2.0
58,49565.758,A,active,59.830776,4.0
54,41686.156,D,active,48.609676,5.0
58,38246.22,D,active,65.06916,3.0
54,44729.773,C,active,52.9547,2.0
68,47581.312,C,active,66.47906,2.0
60,40778.453,B,active,44.07026,5.0
65,50879.99,D,active,51.86231,2.0
67,55621.07,D,active,61.765957,2.0
70,40184.113,D,active,44.99271,2.0
60,48188.66,C,pending,62.724857,2.0
65,39469.293,C,active,55.08548,4.0
56,50128.934,C,active,45.54259,5.0
63,44696.14,D,active,34.12046,3.0
69,46383.9,C,active,65.95963,2.0
64,38753.836,D,inactive,56.059757,2.0
68,56893.01,A,pending,68.44163,3.0
57,45035.44,B,active,52.380695,2.0
68,40792.285,D,active,61.375584,2.0
70,41374.098,A,active,63.472702,2.0
66,49606.984,D,active,54.99605,4.0
61,43036.96,B,active,54.850704,2.0
68,41892.582,D,active,55.60292,4.0
69,46701.258,B,active,44.79008,3.0
63,60258.367,B,pending,34.452896,2.0
58,46123.586,D,active,47.508312,2.0
64,40849.742,C,active,47.00144,4.0
63,55835.973,D,active,58.85024,2.0
59,51456.156,C,active,51.19018,4.0
67,42594.26,D,pending,41.932556,2.0
66,41684.426,C,active,66.75532,3.0
54,46543.41,A,active,59.531147,2.0
66,54031.812,B,pending,52.173534,4.0
57,46379.996,A,active,42.46814,4.0
49,49000.49,C,active,69.34026,2.0
73,41364.723,A,active,53.733337,2.0
69,44267.184,C,active,53.131287,2.0
64,56665.402,D,active,54.70743,3.0
55,48505.434,C,pending,52.12265,3.0
64,55340.04,A,active,75.1639,3.0
68,46733.58,D,active,54.9421,3.0
61,51169.84,D,pending,66.00552,5.0
61,54976.477,B,active,45.18429,2.0
61,46156.16,A,active,39.126354,2.0
66,41570.65,A,active,29.863083,2.0
62,42230.63,A,active,73.513794,2.0
64,47732.35,C,active,63.36325,4.0
49,48466.42,C,active,56.134544,3.0
57,54172.4,D,active,56.1493,4.0
61,43809.367,D,active,64.96523,4.0
69,50271.273,D,active,50.82741,4.0
70,49957.523,D,active,59.569344,4.0
70,44431.277,D,pending,47.921486,2.0
64,53815.285,C,pending,37.848503,2.0
56,43549.523,A,active,47.624714,5.0
71,46794.773,D,inactive,63.14739,4.0
64,44648.57,C,active,53.71313,4.0
58,53855.914,B,active,47.63573,4.0
60,51563.855,C,pending,45.51342,2.0
60,53539.285,C,active,47.146317,4.0
51,47005.395,B,active,49.994152,4.0
66,52509.62,C,pending,65.7315,4.0
68,54316.95,D,active,51.30743,3.0
69,48688.035,D,active,64.82053,4.0
68,53759.973,D,active,76.71419,2.0
56,38692.434,C,pending,56.59742,2.0
72,47670.613,A,pending,64.26902,4.0
64,47303.004,D,active,72.656044,4.0
56,40176.176,D,pending,73.405594,2.0
61,51418.164,C,active,74.11863,3.0
51,50039.566,D,pending,45.94735,4.0
59,46485.195,A,active,57.111954,4.0
65,42860.69,D,active,56.797997,2.0
58,54614.844,D,pending,67.08217,2.0
63,51292.914,D,active,54.290237,3.0
54,52028.688,D,pending,61.95281,2.0
46,54517.234,A,active,50.453476,2.0
65,48827.258,C,active,64.11871,2.0
66,49982.277,C,pending,43.417046,5.0
59,48114.94,D,active,63.469906,3.0
61,49943.61,A,pending,58.497265,4.0
58,49905.566,C,pending,67.761444,4.0
69,45503.875,D,active,60.80768,4.0
59,52412.34,C,active,58.4217,4.0
61,45794.574,C,pending,53.092247,4.0
61,44249.953,B,active,50.342236,4.0
68,47067.78,D,pending,48.72658,3.0
63,56791.312,A,pending,38.21154,4.0
69,38027.953,A,active,57.09084,2.0
64,42292.05,A,active,46.816174,3.0
67,55021.062,D,inactive,47.472225,3.0
62,50261.605,B,active,65.23618,4.0
58,52551.402,D,active,60.544422,2.0
59,56541.312,C,active,58.039032,4.0
67,46749.203,A,active,55.338104,2.0
52,56581.59,B,pending,43.312756,4.0
44,48330.426,C,active,56.601032,2.0
67,42727.383,C,active,68.45548,2.0
58,50515.34,B,active,51.64793,4.0
71,42702.465,D,pending,69.005615,2.0
69,47931.383,C,inactive,51.394123,2.0
61,53927.344,C,active,59.263695,4.0
69,53359.89,C,active,72.46889,3.0
55,55605.098,C,pending,48.70997,4.0
61,46378.17,A,pending,52.69486,2.0
58,45828.406,C,active,66.77765,3.0
52,53724.594,A,active,59.522,4.0
56,44633.676,C,active,58.983856,3.0
52,47261.73,C,active,64.039505,5.0
59,43784.074,D,active,53.262947,2.0
46,51723.562,A,active,52.0411,2.0
57,44135.652,D,active,57.279766,3.0
69,44239.367,D,active,57.26226,2.0
71,44230.184,D,pending,65.49145,4.0
65,52079.605,A,active,54.788548,2.0
58,43095.3,D,active,56.327995,2.0
50,42474.15,C,active,69.16783,5.0
62,49726.48,A,pending,67.67719,2.0
60,45434.938,A,active,63.267876,4.0
74,47787.25,B,active,43.321503,3.0
73,50878.31,A,pending,40.305363,2.0
69,42013.723,C,pending,58.037525,4.0
57,49250.19,B,active,66.710365,5.0
60,43429.59,A,active,56.436256,2.0
70,48748.355,A,active,38.125916,4.0
65,51344.63,A,active,62.536133,3.0
61,39349.656,D,active,44.460857,3.0
65,51382.17,A,active,66.83168,2.0
62,46931.76,D,pending,64.00497,4.0
64,50519.27,B,active,65.920784,5.0
66,55379.754,D,active,60.313076,3.0
56,47719.188,C,active,66.77099,3.0
60,50693.863,B,inactive,53.225166,4.0
53,52568.45,D,active,43.384388,4.0
68,43664.047,D,active,63.220634,2.0
46,53301.656,D,inactive,53.94538,2.0
69,50820.34,D,pending,60.551434,3.0
65,41025.637,D,active,52.6422,4.0
69,57500.207,D,active,45.048515,2.0
55,50583.414,A,active,59.372288,2.0
66,47695.086,D,pending,52.032772,2.0
66,42045.258,C,active,65.29432,4.0
59,49305.38,D,active,51.72735,4.0
68,44213.746,C,active,60.691757,5.0
69,47034.203,A,pending,56.410114,4.0
73,41998.18,A,active,48.737984,2.0
58,40118.88,B,active,50.109158,4.0
71,47036.31,D,pending,62.715366,4.0
57,49333.324,C,pending,71.439804,3.0
71,49658.133,D,active,65.171104,4.0
48,44248.34,A,active,61.24166,5.0
67,49908.195,D,active,54.388435,3.0
48,51076.316,C,active,57.202568,4.0
66,45512.535,B,active,45.05131,4.0
43,54345.53,A,pending,68.66886,3.0
64,52330.38,B,active,35.245983,2.0
54,49273.21,C,active,66.91498,2.0
47,49002.79,D,active,53.046646,4.0
70,51091.08,B,active,67.184296,3.0
61,47957.85,A,active,54.522625,1.0
62,49146.34,D,pending,50.220943,4.0
70,60137.535,D,pending,36.894608,4.0
65,59110.188,A,active,43.746746,1.0
57,47901.26,A,active,44.466896,1.0
64,46780.996,D,pending,51.510265,4.0
56,49142.69,B,inactive,58.086544,3.0
65,43292.676,D,active,58.312565,2.0
50,51548.566,D,active,72.27908,4.0
68,46129.25,A,active,65.052216,4.0
65,53742.29,C,active,58.637184,4.0
64,54712.96,A,active,57.7157,3.0
57,50800.25,C,active,51.85932,4.0
58,46077.324,D,active,62.10041,3.0
61,49969.906,D,active,43.08624,2.0
66,45808.99,D,active,50.000744,2.0
35,51335.926,A,pending,62.88617,4.0
71,52875.984,D,active,55.133137,4.0
71,45298.227,A,active,39.000786,2.0
55,48290.18,C,active,55.822803,3.0
48,50656.99,B,active,57.033146,2.0
72,46471.953,C,active,65.21292,3.0
66,54832.438,B,active,64.52382,4.0
70,45073.047,D,active,68.10681,4.0
51,43706.598,A,pending,60.45997,4.0
59,56430.805,D,active,58.990326,4.0
57,53750.02,C,pending,63.376877,4.0
68,53331.2,D,pending,51.118988,4.0
61,41462.2,B,active,46.248802,4.0
62,54402.2,C,active,58.320805,4.0
60,53702.83,A,active,30.91512,4.0
65,54779.06,A,active,48.585094,2.0
63,45087.527,A,pending,42.246887,4.0
62,49996.484,D,active,53.971016,4.0
66,49507.77,A,pending,46.155125,2.0
48,46612.414,C,pending,60.53067,4.0
60,47781.484,C,pending,57.693493,4.0
50,51073.836,C,active,66.14079,2.0
71,56502.484,B,active,42.230873,2.0
58,40289.004,A,active,59.986137,4.0
63,40122.348,A,pending,69.82026,4.0
68,42318.457,D,pending,42.597855,4.0
70,59331.28,C,active,49.69584,4.0
58,44714.33,C,active,57.01461,2.0
57,42365.945,D,active,41.073765,5.0
69,43264.633,A,active,50.13441,2.0
58,54374.773,B,active,35.645332,2.0
45,53510.266,B,active,62.339397,4.0
65,42334.273,D,pending,42.451725,4.0
56,55967.77,D,active,51.513832,4.0
65,47869.6,D,inactive,47.71806,4.0
58,51309.15,A,active,66.653275,4.0
68,56089.94,C,pending,56.484943,3.0
69,51870.723,D,active,37.99511,3.0
68,47916.184,D,active,47.040695,2.0
60,46409.477,C,active,49.895035,3.0
57,53020.836,A,active,59.417408,4.0
59,41570.844,D,pending,68.789375,2.0
70,55634.332,C,active,70.31418,2.0
66,49184.01,D,active,66.74307,3.0
67,45053.715,A,active,56.124622,4.0
55,44790.75,C,pending,72.443794,4.0
61,52923.89,D,active,52.47034,4.0
58,41650.25,A,active,56.555252,4.0
63,52804.1,D,active,55.290188,4.0
60,44460.523,A,active,44.59708,2.0
62,50691.297,C,active,57.306408,3.0
59,47617.81,C,active,55.635998,4.0
70,45383.312,D,pending,33.59094,2.0
67,42617.527,B,active,48.189766,4.0
51,51659.68,B,pending,62.54025,4.0
65,43763.76,D,active,50.662453,2.0
69,42944.11,D,active,50.703968,3.0
62,42948.406,A,active,64.64947,4.0
53,54805.58,A,active,66.53001,3.0
67,51472.44,A,active,48.671124,2.0
61,49284.89,D,active,61.88091,5.0
68,47867.824,D,active,53.9429,4.0
67,50005.945,C,pending,50.724342,2.0
62,55536.938,C,pending,60.394947,4.0
67,46475.023,D,active,62.26269,2.0
67,54818.383,D,active,65.30279,4.0
67,57921.062,B,active,45.90205,4.0
55,48173.44,C,active,68.50785,5.0
63,45756.684,C,active,59.546886,2.0
69,39690.46,D,active,39.47855,2.0
65,41829.32,A,active,52.649918,5.0
53,51690.668,C,active,47.15085,5.0
47,48808.242,D,pending,54.427963,2.0
69,39800.1,D,pending,39.288326,2.0
60,55028.688,C,pending,63.830685,2.0
61,52331.36,B,active,43.12311,2.0
57,45243.117,C,pending,64.09399,5.0
63,56842.07,A,active,54.55912,2.0
64,47153.71,C,pending,49.534477,4.0
43,49694.336,A,active,65.701225,3.0
59,43984.895,A,active,52.84252,2.0
61,52292.62,A,pending,41.770535,3.0
67,48447.79,C,active,69.375465,3.0
68,39409.832,A,active,42.856018,4.0
57,47342.977,D,active,51.411926,2.0
74,50650.64,D,active,45.73473,4.0
41,53248.586,A,active,53.466465,2.0
70,40221.355,D,pending,45.599174,2.0
59,44246.605,D,pending,67.705635,3.0
65,52413.227,A,pending,54.801975,2.0
65,50626.074,A,active,63.08639,4.0
61,50152.324,A,active,70.59019,3.0
53,47768.6,C,active,59.128044,1.0
59,57957.69,A,pending,57.833157,4.0
57,47277.54,B,active,55.564487,5.0
67,43770.78,A,pending,63.026432,4.0
67,43404.348,A,active,46.32604,2.0
67,48727.434,C,active,66.73926,2.0
73,51502.83,D,active,52.641506,4.0
60,57432.44,B,pending,53.51034,4.0
69,45674.83,B,active,51.06754,3.0
64,51460.957,D,active,52.611267,4.0
69,43685.992,C,pending,52.35314,2.0
70,42246.37,C,active,58.478634,2.0
58,50412.39,A,active,62.73721,2.0
64,45687.734,A,pending,33.926834,4.0
66,45858.86,B,active,49.600727,2.0
55,42841.062,D,pending,67.7765,4.0
60,47754.832,A,active,63.727703,4.0
68,54984.047,B,active,48.045345,2.0
65,46090.203,C,active,68.33406,4.0
71,42438.88,D,active,43.636852,4.0
57,49694.668,D,pending,72.60841,4.0
55,52038.926,A,active,58.187206,5.0
59,47846.86,C,active,69.18161,4.0
70,51271.793,C,active,64.384926,3.0
70,46397.742,D,pending,61.910748,3.0
62,44882.94,D,inactive,66.65638,3.0
68,49092.008,D,active,65.50424,2.0
71,47655.664,B,active,43.48536,2.0
66,38483.36,D,active,39.69013,2.0
62,52884.832,D,active,48.693634,2.0
57,45773.13,C,active,65.26626,5.0
69,46682.117,B,active,67.71783,2.0
61,50962.367,A,active,63.168964,2.0
49,45886.965,D,active,73.93219,5.0
66,52108.695,C,active,53.16357,4.0
68,44540.16,D,active,68.02708,3.0
71,48149.527,B,pending,69.65579,4.0
73,48231.793,D,active,62.9929,2.0
60,50686.453,C,active,64.96663,4.0
54,49226.96,C,active,61.295498,3.0
67,54125.6,D,active,57.05322,5.0
50,40354.65,A,active,48.10818,2.0
49,50789.67,D,active,54.54204,4.0
74,43188.09,A,inactive,56.011803,3.0
68,53106.465,A,pending,49.537075,2.0
70,41361.332,C,active,57.84868,2.0
73,40288.73,D,active,47.42817,5.0
56,48332.77,C,pending,58.463367,2.0
71,47552.0,A,active,50.34544,2.0
59,48135.797,B,active,49.02271,2.0
65,44208.203,D,active,56.243694,2.0
60,49856.27,A,active,45.164303,2.0
67,48961.684,B,active,55.83082,4.0
69,38155.754,D,pending,75.838745,4.0
62,47166.473,A,active,49.564037,2.0
69,54896.6,D,active,58.994553,3.0
54,45474.477,C,active,56.150494,2.0
72,41284.945,C,active,55.155235,2.0
67,44399.016,D,pending,62.79459,4.0
51,51574.39,C,pending,56.343555,2.0
63,47207.625,C,active,66.47969,2.0
64,48177.93,D,pending,57.373024,4.0
62,52426.01,D,active,58.324577,2.0
73,52974.094,D,active,62.230072,4.0
63,47890.492,D,active,56.384956,4.0
46,53064.312,C,active,59.862904,2.0
53,48261.227,C,active,67.165825,4.0
64,41925.07,B,active,52.562984,2.0
45,47293.062,C,active,53.863663,4.0
66,51846.535,A,active,60.589386,4.0
61,57329.707,C,active,57.316578,2.0
62,52220.668,B,pending,41.72784,5.0
63,54529.3,B,active,53.42867,2.0
62,50108.2,D,active,51.81863,5.0
53,48360.1,D,active,58.37276,5.0
68,53692.66,D,active,53.096306,4.0
67,44802.5,D,pending,47.269814,4.0
71,46220.555,D,pending,51.47186,2.0
67,56520.406,A,inactive,31.598488,4.0
74,44187.375,D,active,54.355194,2.0
68,50587.926,C,pending,72.128845,2.0
65,53544.145,A,pending,65.67368,3.0
60,52945.688,C,inactive,51.573177,5.0
57,47259.25,C,active,65.06126,4.0
68,56995.383,D,active,48.822414,3.0
62,51518.2,B,active,42.59871,4.0
59,54944.074,B,active,48.683582,2.0
67,48968.15,A,active,61.99358,2.0
60,47947.81,A,active,40.16047,2.0
66,51244.46,D,active,48.313793,3.0
53,45968.63,D,pending,66.008316,3.0
55,40744.55,C,pending,65.54207,4.0
70,43904.91,D,pending,58.290665,4.0
59,47904.54,A,active,42.15859,4.0
52,42660.203,C,pending,49.96009,2.0
66,51703.9,A,active,46.52758,3.0
73,47234.297,A,active,55.755035,2.0
55,48528.754,D,pending,64.18291,3.0
57,41692.242,D,active,38.925526,3.0
39,51727.688,A,active,57.470467,4.0
52,48297.062,C,active,65.86884,2.0
47,50655.6,C,active,45.366814,4.0
54,47519.0,A,active,58.988537,3.0
65,53100.715,D,active,59.505264,3.0
62,53712.63,A,active,68.56344,1.0
70,49862.77,D,pending,42.339024,4.0
65,49626.0,D,pending,53.579597,2.0
62,49619.52,D,active,61.19331,3.0
56,45366.39,C,active,57.07642,3.0
59,45565.125,C,active,65.40893,4.0
57,52637.758,C,active,62.583935,2.0
59,48300.36,D,pending,62.343685,2.0
70,52542.105,D,active,52.58369,2.0
69,46599.156,A,active,56.64089,2.0
