isbsg_project_id,external_eef_data_quality_rating,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_group,project_prf_application_type,project_prf_development_type,tech_tf_development_platform,tech_tf_language_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,process_pmf_development_methodologies,process_pmf_docs,tech_tf_architecture,tech_tf_client_server,tech_tf_web_development,tech_tf_dbms_used,tech_tf_tools_used,people_prf_ba_team_experience_less_than_1_yr,people_prf_ba_team_experience_1_to_3_yr,people_prf_ba_team_experience_great_than_3_yr,people_prf_it_experience_great_than_3_yr,people_prf_it_experience_less_than_3_yr,people_prf_it_experience_3_to_9_yr,people_prf_it_experience_great_than_9_yr,people_prf_project_manage_experience,people_prf_project_manage_changes,people_prf_personnel_changes,project_prf_total_project_cost,project_prf_cost_currency
24701,b,2014,government,government,business application,business application,enhancement,Missing,4GL,oracle,33.0,s,667,667,20.2,20.2,0.0,82.5,,0.4,Missing,,agile development,3,Missing,Missing,Missing,Missing,,,,,,,,,,,,60115.0,"european, euro"
25081,a,2009,education,"education institution; electricity, gas, water; ieee",business application,content management system; dynamic website,new development,pc,3GL,java,135.0,m1,600,600,4.4,4.4,,45.0,9.0,3.0,5-8,5.0,agile development; personal software process_psp; unified process,18,multi-tier with web public interface,yes,web,yes,,,,,,,5.0,,,0.0,0.0,60000.0,"canada, dollar"
25247,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,13.0,xs,47,47,3.6,3.6,,1.1,1.1,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
25415,b,2010,service industry,transport_storage,business application,airport management,new development,proprietary,5GL,proprietary agile platform,679.0,m2,326,326,0.5,0.5,,169.8,,4.0,Missing,,agile development,5,multi-tier with web public interface,Missing,web,Missing,,,,,,,,,,,,,Missing
25559,b,2012,service industry,surveillance_security,business application,electronic data interchange,enhancement,pc,3GL,c#,45.0,s,125,125,2.8,2.8,,,,,2,2.0,agile development,11,client-server,yes,Missing,yes,,1.0,1.0,,,,2.0,,3.0,0.0,0.0,,Missing
26034,b,2010,government,public sector,business application,project management,new development,proprietary,5GL,proprietary agile platform,143.0,m1,98,98,0.7,0.7,,28.6,,5.0,Missing,,agile development,5,multi-tier with web public interface,Missing,web,Missing,,,,,,,,,,,,,Missing
26195,a,2009,service industry,community services; institutions eg. kindergartens,business application,online analysis and reporting,enhancement,multi,4GL,abap,211.0,m1,4393,4393,20.8,20.8,,26.4,,8.0,Missing,,agile development,16,stand-alone,no,Missing,yes,,,8.0,,,8.0,,,8.0,0.0,0.0,,Missing
26585,b,2010,electronics_computers,high tech,Missing,proposal builder,new development,proprietary,5GL,proprietary agile platform,243.0,m1,289,289,1.2,1.2,,121.5,,2.0,Missing,,agile development,5,multi-tier with web public interface,Missing,web,Missing,,,,,,,,,,,,,Missing
26608,b,2014,government,government,business application,business application,enhancement,Missing,4GL,.net,16.0,xs,860,860,53.8,53.8,0.0,22.9,,0.7,Missing,,agile development,3,Missing,Missing,Missing,Missing,,,,,,,,,,,,70600.0,"european, euro"
26861,b,2010,electronics_computers,high tech,business application,course management,new development,proprietary,5GL,proprietary agile platform,138.0,m1,87,87,0.6,0.6,,138.0,,1.0,Missing,,agile development,5,multi-tier with web public interface,Missing,web,Missing,,,,,,,,,,,,,Missing
27063,b,2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,24.0,xs,79,79,3.3,3.3,,2.0,2.0,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
27281,b,2010,medical_health care,biotech,Missing,analysis management,new development,proprietary,5GL,proprietary agile platform,144.0,m1,117,117,0.8,0.8,,48.0,,3.0,Missing,,agile development,5,multi-tier with web public interface,Missing,web,Missing,,,,,,,,,,,,,Missing
27333,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,18.0,xs,47,47,2.6,2.6,,1.5,1.5,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
27500,b,2014,government,government,business application,business application,enhancement,Missing,4GL,.net,25.0,xs,1206,1206,48.2,48.2,0.0,15.6,,1.6,Missing,,agile development,3,Missing,Missing,Missing,Missing,,,,,,,,,,,,120600.0,"european, euro"
27970,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,3.0,xxs,9,9,3.0,3.0,,0.3,0.3,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
28393,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,18.0,xs,38,38,2.1,2.1,,1.5,1.5,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
29221,b,2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,21.0,xs,74,74,3.5,3.5,,1.8,1.8,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
29310,a,2008,medical_health care,medical and health care,business application,hospital information system,enhancement,pc,3GL,java,2003.0,l,47493,47493,23.7,23.7,14.0,200.3,2.9,10.0,61-70,68.0,agile development; joint application development_jad; multifunctional teams,17,client-server,yes,web,yes,,11.0,32.0,25.0,,17.0,33.0,18.0,15.0,1.0,12.0,,Missing
29471,a,2009,education,"education institution; electricity, gas, water; ieee",business application,content management system; dynamic website,new development,pc,3GL,java,142.0,m1,669,669,4.7,4.7,,47.3,9.5,3.0,5-8,5.0,agile development; personal software process_psp; unified process,18,multi-tier with web public interface,yes,web,yes,,,,,,5.0,,,,0.0,0.0,7644.0,"canada, dollar"
30029,b,2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,72.0,s,225,225,3.1,3.1,,6.0,3.0,12.0,2,2.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
30367,a,2009,service industry,community services; government,business application,catalogue_register of things or events,enhancement,multi,3GL,pl_i,117.0,m1,3549,3549,30.3,30.3,0.0,16.7,1.7,7.0,9-14,10.0,agile development,17,client-server,yes,Missing,yes,,0.0,4.0,6.0,,0.0,6.0,4.0,13.0,0.0,0.0,,Missing
30466,b,2014,government,government,business application,business application,enhancement,Missing,4GL,.net,4.0,xxs,684,684,171.0,171.0,0.0,5.7,,0.7,Missing,,agile development,3,Missing,Missing,Missing,Missing,,,,,,,,,,,,68200.0,"european, euro"
30621,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,13.0,xs,47,47,3.6,3.6,,1.1,1.1,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
30658,a,2009,education,"education institution; electricity, gas, water; ieee",business application,content management system; dynamic website,new development,pc,3GL,java,160.0,m1,784,784,4.9,4.9,,53.3,10.7,3.0,5-8,5.0,agile development; personal software process_psp; unified process,18,multi-tier with web public interface,yes,web,yes,,,,,,5.0,,,,0.0,0.0,15680.0,"canada, dollar"
31103,b,2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,11.0,xs,43,43,3.9,3.9,,0.9,0.9,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
31166,a,2011,government,government,infrastructure software,data or database management,new development,pc,4GL,oracle,492.0,m2,1020,1105,2.1,2.2,,164.0,82.0,3.0,2,2.0,agile development,17,multi-tier with web public interface,yes,web,yes,,,,2.0,,,,2.0,45.0,0.0,1.0,765000.0,"european, euro"
31166,a,2011,government,government,infrastructure software,data or database management,new development,pc,4GL,oracle,422.0,m2,1020,1105,2.4,2.6,,140.7,70.3,3.0,2,2.0,agile development,18,multi-tier with web public interface,yes,web,yes,,,,2.0,,,,2.0,45.0,0.0,1.0,765000.0,"european, euro"
31969,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,15.0,xs,47,47,3.1,3.1,,1.3,1.3,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
32296,b,2010,utilities,energy,business application,customer relationship management,new development,proprietary,5GL,proprietary agile platform,1371.0,l,2274,2274,1.7,1.7,,342.8,,4.0,Missing,,agile development,5,multi-tier with web public interface,Missing,web,Missing,0.0,,,,,,,,,,,,Missing
32692,b,2010,education,education institution,business application,student_tests management,new development,proprietary,5GL,proprietary agile platform,995.0,m2,614,614,0.6,0.6,,199.0,,5.0,Missing,,agile development,5,multi-tier with web public interface,Missing,web,Missing,0.0,,,,,,,,,,,,Missing
32725,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,16.0,xs,42,42,2.6,2.6,,1.3,1.3,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,2.0,,,,,,,,,,,,Missing
