<<<<<<< Updated upstream
<<<<<<< Updated upstream
<<<<<<< Updated upstream
ISBSG_Project_ID,Project_PRF_Year_of_Project,External_EEF_Industry_Sector,External_EEF_Organisation_Type,Project_PRF_Application_Type,Tech_TF_Primary_Programming_Language,Project_PRF_Functional_Size,Project_PRF_Relative_Size,Project_PRF_Normalised_Work_Effort_Level_1,Project_PRF_Normalised_Work_Effort,Project_PRF_Normalised_Level_1_PDR_ufp,Project_PRF_Normalised_PDR_ufp,Project_PRF_Speed_of_Delivery,Project_PRF_Project_Elapsed_Time,Project_PRF_Team_Size_Group,Project_PRF_Max_Team_Size,Process_PMF_Development_Methodologies,Process_PMF_Docs,Tech_TF_Tools_Used,External_EEF_Data_Quality_Rating_B,Project_PRF_Application_Group_Business_Application_Infrastructure_Software,Project_PRF_Application_Group_Infrastructure_Software,Project_PRF_Application_Group_Mathematically_intensive_application,Project_PRF_Application_Group_MathematicallyIntensive_Application,Project_PRF_Application_Group_Missing,Project_PRF_Application_Group_RealTime_Application,Project_PRF_Development_Type_New_Development,Project_PRF_Development_Type_Redevelopment,Tech_TF_Development_Platform_MF,Tech_TF_Development_Platform_MR,Tech_TF_Development_Platform_Missing,Tech_TF_Development_Platform_Multi,Tech_TF_Development_Platform_PC,Tech_TF_Development_Platform_Proprietary,Tech_TF_Language_Type_3GL,Tech_TF_Language_Type_4GL,Tech_TF_Language_Type_5GL,Tech_TF_Language_Type_APG,Tech_TF_Language_Type_ApG,Tech_TF_Language_Type_Missing,Project_PRF_CASE_Tool_Used_Missing,Project_PRF_CASE_Tool_Used_No,Project_PRF_CASE_Tool_Used_Yes,Tech_TF_Architecture_Missing,Tech_TF_Architecture_Multitier,Tech_TF_Architecture_Multitier__Client_server,Tech_TF_Architecture_Multitier_with_web_interface,Tech_TF_Architecture_Multitier_with_web_public_interface,Tech_TF_Architecture_Stand_alone,Tech_TF_Architecture_Standalone,Tech_TF_Client_Server_Missing,Tech_TF_Client_Server_No,Tech_TF_Client_Server_Not_Applicable,Tech_TF_Client_Server_Yes,Tech_TF_DBMS_Used_No,Tech_TF_DBMS_Used_Yes
10036,1999,Electronics & Computers,Engineering;Research & Development;Software Development;Client/Server architecture for Language Services;,Management Information System;Linguistic Software;,Missing,183.0,M1,,568,,3.1,65.4,2.8,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
10039,1998,Communication,Telecommunication;,Transaction/Production System;,ADS/Online,,M1,271.0,327,,,,4.0,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
10046,2015,Communication,Telecommunications;,Customer relationship management;,Java,63.0,S,888.0,888,14.1,14.1,16.2,3.9,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
10047,2002,Wholesale & Retail,Ordering;,Stock control & order processing;,C,730.0,M2,20975.0,20975,28.7,28.7,,,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
10052,2002,Professional Services,Sales & Marketing;,Trading;,ColdFusion,179.0,M1,789.0,789,4.4,4.4,,,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10056,2002,Communication,Voice Provisioning;,Voice Provisioning;,C,114.0,M1,7290.0,7290,63.9,63.9,,,Missing,,Missing,2,0.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10059,2006,Service Industry,Government;Community Services;,Customer billing/relationship management;,C#,568.0,M2,7936.0,7936,14.0,14.0,37.9,15.0,Missing,,Multifunctional Teams;,9,0.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10062,2007,Insurance,Insurance;,Missing,PL/I,401.0,M2,4321.0,4321,10.8,10.8,26.4,15.2,Missing,,Waterfall (incl Linear Processing & SSADM);,3,1.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
10063,1999,Manufacturing,Manufacturing;,Customer billing/relationship management;,Visual Basic,849.0,M2,2499.0,2499,2.9,2.9,160.2,5.3,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True
10065,2013,Medical & Health Care,Medical and Health Care;,not recorded;,Missing,34.0,S,3444.0,3444,101.3,101.3,2.8,12.0,81-90,90.0,Missing,2,0.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10066,2006,Banking,Banking;,Financial transaction process/accounting;,Visual Basic,108.0,M1,1402.0,1402,13.0,13.0,21.2,5.1,Missing,,Missing,3,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10067,2003,Financial,"Financial, Property & Business Services;",Missing,COBOL,,Missing,60838.0,60838,,,,9.0,81-90,87.0,Missing,0,2.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10069,2013,Communication,Telecommunications;,Data Warehouse system;,Shell,949.0,M2,3567.0,3567,3.8,3.8,306.1,3.1,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10074,1997,Missing,Missing,Missing,Missing,460.0,M2,2253.0,2253,4.9,4.9,115.0,4.0,5-8,5.0,Missing,4,0.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10075,1994,Financial,"Financial, Property & Business Services;",Office Information System;,SQL,1502.0,L,6020.0,7490,4.0,5.0,375.5,4.0,5-8,7.0,Joint Application Development (JAD);Multifunctional Teams;Rapid Application Development (RAD);Timeboxing;,6,1.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True
10076,2003,Insurance,Insurance;,Missing,PL/I,66.0,S,507.0,507,7.7,7.7,3.9,17.0,Missing,,Waterfall (incl Linear Processing & SSADM);,4,2.0,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10078,2015,Communication,Telecommunications;,Broadband application;,Missing,56.0,S,439.0,439,7.8,7.8,15.1,3.7,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
10080,2004,Missing,Missing,Missing,PowerBuilder,46.0,S,1009.0,1009,21.9,21.9,25.6,1.8,Missing,,Missing,2,0.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10085,2010,Electronics & Computers,Computers & Software;,Missing,ABAP,416.0,M2,9205.0,9205,22.1,22.1,59.4,7.0,21-30,28.0,Incremental;,4,2.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10090,2004,Financial,"Financial, Property & Business Services;",Financial transaction process/accounting;Client Server;,Missing,,L,2525.0,2525,,,,8.4,Missing,,Missing,3,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10095,2002,Insurance,Insurance;,Missing,COOL:Gen,400.0,M2,150.0,150,0.4,0.4,80.0,5.0,Missing,,Missing,4,0.0,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10096,2005,Insurance,Insurance;,Missing,Missing,22.0,XS,134.0,134,6.1,6.1,7.3,3.0,Missing,,Missing,3,0.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10104,2004,Missing,Missing,Missing,Oracle,7.0,XXS,396.0,396,56.6,56.6,3.7,1.9,Missing,,Missing,2,0.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10109,2015,Insurance,Insurance;,Workflow support & management;,.Net,317.0,M2,3735.0,3735,11.8,11.8,47.3,6.7,5-8,7.0,Missing,2,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
10116,1999,Missing,Missing,Management Information System;,Missing,779.0,M2,,33387,,42.9,,,Missing,,Missing,3,0.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
10132,2010,Manufacturing,Manufacturing;,Cars selling;,Java,260.0,M1,,3480,,13.4,81.3,3.2,Missing,,Missing,8,2.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
10135,1998,Communication,Telecommunication;,Transaction/Production System;,Visual Basic,,M1,7781.0,9375,,,,3.0,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10136,2004,Missing,Missing,Financial application area;,Missing,83.0,S,855.0,855,10.3,10.3,18.4,4.5,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
10139,1999,Missing,Missing,Transaction/Production System;,COBOL,80.0,S,3199.0,3199,40.0,40.0,5.8,13.7,3-4,3.5,Missing,2,1.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
10143,1998,Government,Public Administration;Community Services;Insurance;,Electronic Data Interchange;,COBOL,243.0,M1,2924.0,3249,12.0,13.4,30.4,8.0,5-8,8.0,Missing,5,7.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
10145,2011,Manufacturing,Manufacturing;,Computing of the thermodynamic process;,MATLAB,99.0,S,,870,,8.8,11.0,9.0,Missing,,Missing,8,2.0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
10149,2012,Communication,Telecommunications;,Customer relationship management;,PL/SQL,244.0,M1,4566.0,4566,18.7,18.7,55.5,4.4,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
10151,1994,Banking,Banking;,Transaction/Production System;,EASYTRIEVE,174.0,M1,2288.0,2288,13.1,13.1,24.9,7.0,2,2.0,Missing,5,4.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
10154,1999,Insurance,Insurance;,Financial transaction process/accounting;,COBOL,152.0,M1,2569.0,2569,16.9,16.9,38.0,4.0,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
10159,2000,Banking,Banking;,Financial transaction process/accounting;,PL/I,4.0,XXS,145.0,145,36.3,36.3,40.0,0.1,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
10163,1994,Manufacturing,Manufacturing;Transport & Storage;,Transaction/Production System;,TELON,55.0,S,503.0,648,9.1,11.8,9.2,6.0,3-4,4.0,Missing,5,4.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
10164,2004,Missing,Missing,MS Billing;,COBOL,68.0,S,12702.0,12702,186.8,186.8,,,Missing,,Missing,2,0.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10169,2015,Insurance,Insurance;,Workflow support & management;,Oracle,168.0,M1,137.0,137,0.8,0.8,93.3,1.8,1,1.0,Missing,2,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
10171,2005,Insurance,Insurance;,Missing,PL/I,140.0,M1,1000.0,1000,7.1,7.1,20.0,7.0,Missing,,Waterfall (incl Linear Processing & SSADM);,4,2.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10172,2005,Manufacturing,Manufacturing;,Missing,C++,135.0,M1,499.0,499,3.7,3.7,15.0,9.0,Missing,,Missing,4,2.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10173,2004,Missing,Missing,Financial application area;,Java,25.0,XS,118.0,118,4.7,4.7,25.0,1.0,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
10174,2000,Missing,Missing,Missing,Spreadsheet,582.0,M2,2632.0,2632,4.5,4.5,97.0,6.0,5-8,7.0,Missing,4,2.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
10176,2004,Financial,"Financial, Property & Business Services;",Financial transaction process/accounting;Client Server;,Missing,,XS,81.0,81,,,,1.9,Missing,,Missing,3,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10178,2005,Medical & Health Care,Medical and Health Care;,Catalogue/register of things or events;Document management;Online analysis and reporting;Workflow support & management;Complex process control;,Java,826.0,M2,2503.0,2503,3.0,3.0,18.8,44.0,3-4,4.0,Missing,14,1.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
10180,2001,Insurance,Insurance;,Financial transaction process/accounting;,Visual Basic,309.0,M2,2516.0,2516,8.1,8.1,103.0,3.0,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True
10181,1998,Communication,Communications;,Transaction/Production System;,COOL:Gen,338.0,M2,1009.0,1009,3.0,3.0,135.2,2.5,Missing,,Missing,4,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
10184,2012,Medical & Health Care,Medical and Health Care;,not recorded;,Missing,13.0,XS,2565.0,2565,197.3,197.3,0.9,15.0,21-30,28.0,Missing,2,0.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10189,1996,Insurance,Insurance;,Missing,COBOL,250.0,M1,,4150,,16.6,14.7,17.0,Missing,,Joint Application Development (JAD);Multifunctional Teams;,6,8.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
10196,2003,Missing,Missing,Missing,Java,69.0,S,2915.0,2915,42.2,42.2,7.7,9.0,Missing,,Missing,2,0.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
10200,2009,Electronics & Computers,Computers & Software;,"Job, case, incident, project management;",Java,90.0,S,1112.0,1112,12.4,12.4,22.5,4.0,3-4,4.0,Waterfall (incl Linear Processing & SSADM);,12,2.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
10214,2000,Insurance,Insurance;,Missing,Visual Basic,261.0,M1,2175.0,2175,8.3,8.3,43.5,6.0,Missing,,Missing,4,2.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10218,1995,Utilities,"Electricity, Gas, Water;",Management Information System;,PL/I,163.0,M1,668.0,668,4.1,4.1,18.1,9.0,3-4,3.0,Missing,4,3.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
10220,2007,Electronics & Computers,Computers & Software;,Missing,Visual Basic,40.0,S,514.0,514,12.9,12.9,10.0,4.0,3-4,3.0,Waterfall (incl Linear Processing & SSADM);,4,2.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
10223,2004,Missing,Missing,Missing,COBOL,16.0,XS,536.0,536,33.5,33.5,4.3,3.7,Missing,,Missing,2,0.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10225,1999,Insurance,Insurance;,Missing,PL/I,442.0,M2,3772.0,3772,8.5,8.5,73.7,6.0,Missing,,Missing,4,2.0,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10226,2011,Insurance,Insurance;,Unknown;,Missing,206.0,M1,2020.0,2020,9.8,9.8,206.0,1.0,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10228,2006,Missing,Missing,Financial transaction process/accounting;,.Net,,S,263.0,263,,,,2.7,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
10232,2002,Financial,"Financial, Property & Business Services;",Financial transaction process/accounting;,Visual C++,171.0,M1,420.0,420,2.5,2.5,,,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
10233,2001,Communication,Communications;,Complex process control;,Visual Basic,226.0,M1,3901.0,3901,17.3,17.3,56.5,4.0,9-14,10.0,Missing,5,7.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
10234,2006,Missing,Missing,Financial transaction process/accounting;,Java,,M1,292.0,292,,,,3.2,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
10238,2014,Communication,Telecommunications;,Customer relationship management;,Siebel,284.0,M1,7109.0,7109,25.0,25.0,64.5,4.4,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
10247,2009,Manufacturing,Manufacturing;,Cars selling;,Java,215.0,M1,,2704,,12.6,22.6,9.5,Missing,,Missing,8,2.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
10248,2012,Communication,Telecommunications;,Online analysis and reporting;,Java,302.0,M2,5829.0,5829,19.3,19.3,60.4,5.0,9-14,10.0,Waterfall (incl Linear Processing & SSADM);,15,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
10249,2006,Government,Government;,Management of Licences and Permits;,COOL:Gen,16.0,XS,657.0,657,41.1,41.1,1.5,10.8,Missing,,Missing,8,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
10251,1999,Government,Government;,Government;,DELPHI,40.0,S,120.0,120,3.0,3.0,57.1,0.7,2,2.0,Rapid Application Development (RAD);,2,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
