isbsg_project_id,external_eef_data_quality_rating,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_group,project_prf_application_type,project_prf_development_type,tech_tf_development_platform,tech_tf_language_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,project_prf_case_tool_used,process_pmf_development_methodologies,process_pmf_prototyping_used,process_pmf_docs,tech_tf_architecture,tech_tf_client_server,tech_tf_client_roles,tech_tf_server_roles,tech_tf_type_of_server,tech_tf_client/server_description,tech_tf_web_development,tech_tf_dbms_used,tech_tf_tools_used,people_prf_project_user_involvement,people_prf_ba_team_experience_less_than_1_yr,people_prf_ba_team_experience_1_to_3_yr,people_prf_ba_team_experience_great_than_3_yr,people_prf_it_experience_less_than_1_yr,people_prf_it_experience_1_to_3_yr,people_prf_it_experience_great_than_3_yr,people_prf_it_experience_less_than_3_yr,people_prf_it_experience_3_to_9_yr,people_prf_it_experience_great_than_9_yr,people_prf_project_manage_experience,people_prf_project_manage_changes,people_prf_personnel_changes,project_prf_total_project_cost,project_prf_cost_currency,project_prf_currency_multiple
31969,A,2013,Government,government,Business Application,surveillance and security,Enhancement,PC,3GL,.Net,43.0,S,3598,2007,32.1,34.0,,24.5,,5.3,1,,Yes,agile development,Yes,11,Stand alone,Yes,,,,,,Yes,1,,,5.0,5.0,,,,,,,,,0.0,112507.0,"European, euro",
27281,C,2009,,food processing,Business Application,surveillance and security,New Development,PC,3GL,C++,188.0,M2,5557,3352,12.6,13.4,,39.2,2.9,7.9,2,24.0,Yes,agile development,Yes,6,Multi-tier with web public interface,Yes,web/html browser,business logic + integration to 30 other systems; database server; ftp server; html/web server; messaging server; object/component server; security/authentication,,,Web,Yes,0,,,0.0,,,,,4.0,,0.0,21.0,2.0,2.0,,"Canada, dollar",
13695,B,2014,Education,government,Business Application,content management system; dynamic website,Enhancement,MR,3GL,.Net,5.0,S,1685,1531,68.9,72.0,,7.4,,1.1,9-14,,Yes,agile development,Yes,1,Stand alone,,,,,,,,0,,,,,,,,,,,,,,,"European, euro","Yes 10,000"
11801,A,2013,Medical & Health Care,government,Business Application,content management system; dynamic website,Enhancement,Proprietary,3GL,Java,301.0,M2,10696,6773,37.8,40.0,0.0,127.4,48.5,1.1,3-4,37.0,Yes,agile development,Yes,3,Multi-tier with web public interface,Yes,business logic or rule processing; database server; run a computer-human interface,security/authentication,,,Web,,0,,,,,,,,0.0,,,,0.0,,42044.0,"European, euro","Yes 10,000"
27970,B,2012,Education,"education institution; electricity, gas, water; ieee",Business Application,content management system; dynamic website,New Development,PC,3GL,Proprietary Agile Platform,22.0,S,9,9,0.6,0.6,,10.5,8.0,8.8,5-8,,No,agile development,Yes,1,Multi-tier with web public interface,,,,,,Web,,0,,,,10.0,,,,,,,46.0,,,,"European, euro",
27970,B,2007,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,New Development,PC,3GL,Oracle,122.0,S,3178,2046,1.2,1.5,,,1.0,19.0,1,,Yes,agile development,Yes,1,Stand alone,,,,,,Web,Yes,2,,,,2.0,,,,,,,,,,,"Canada, dollar",
30466,B,2011,Government,food processing,Business Application,surveillance and security,Enhancement,PC,3GL,.Net,417.0,M1,4425,2423,1.0,1.1,,42.1,,18.6,1,2.0,Yes,agile development,Yes,1,,,,,,,Web,Yes,0,,,,,,,,,,,,0.0,,,"European, euro",
26585,B,2009,Manufacturing,"education institution; electricity, gas, water; ieee",Infrastructure Software,clinical archive,New Development,PC,3GL,ABAP,56.0,M2,91,278,0.6,0.7,,32.0,9.4,7.9,5-8,7.0,Yes,agile development; personal software process (psp); unified process,Yes,1,Multi-tier with web public interface,,data entry & validation; run a computer-human interface; web public interface,,,,Web,Yes,0,,,5.0,5.0,,,,2.0,,,,,,,"European, euro",
20465,B,2014,Service Industry,government,Business Application,surveillance and security,Enhancement,,3GL,.Net,6.0,S,995,1173,54.1,54.6,0.0,0.8,,4.3,,,Yes,agile development,Yes,1,,,,,,,,,0,,0.0,,,,,,22.0,,0.0,27.0,,,110748.0,"European, euro","Yes 10,000"
17275,B,2012,Government,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,management information system,Re-development,PC,3GL,JavaScript,150.0,M2,718,649,2.5,3.0,,132.8,,2.2,,7.0,Yes,agile development,Yes,2,Multi-tier with web public interface,,web/html browser,,,,Web,Yes,0,,,,,,,,,,,,0.0,,,"Canada, dollar","Yes 10,000"
32010,B,2009,Education,"banking; communications; community services; construction; defence; education institution; financial, property & business services; government; manufacturing; medical and health care; professional; real estate & property; transport & storage; wholesale & retail trade",Business Application,content management system; dynamic website,New Development,PC,3GL,Java,762.0,M1,9877,5149,0.7,0.9,45.6,218.6,48.0,9.4,,8.0,Yes,agile development,Yes,1,Client server,,,,,,Web,Yes,0,,,2.0,,,,,,,,,,,,"European, euro",
14535,A,2014,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,security controls,Enhancement,PC,3GL,.Net,121.0,M1,974,634,1.9,2.6,,87.1,,6.4,1,2.0,Yes,agile development; joint application development (jad); multifunctional teams,Yes,19,,,business logic or rule processing; data entry & validation; data retrieval & presentation,database server; file/print server; html/web server; mail server; security/authentication,,,Web,Yes,1,,,,,,,,,,,,0.0,,,"Canada, dollar",
27281,D,2011,Medical & Health Care,"education institution; electricity, gas, water; ieee",Business Application,analysis management,Enhancement,PC,3GL,PL/I,218.0,,2234,1289,5.0,5.9,0.2,228.5,24.7,1.0,2,18.0,Yes,agile development,Yes,11,Multi-tier with web public interface,No,web/html browser,business logic + integration to 30 other systems; database server; ftp server; html/web server; messaging server; object/component server; security/authentication,,,Web,Yes,0,,,,7.0,,,,1.0,,4.0,12.0,0.0,1.0,,"United States, dollar",
14525,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,Proprietary,3GL,.Net,4.0,S,15,16,7.4,8.7,54.4,0.2,0.3,16.9,,5.0,No,agile development,Yes,17,Client server,,,,,,,,0,,,,,,,,,,,26.0,,,120842.0,"European, euro",
25559,A,2009,Utilities,high tech,Business Application,"catalogue/register of things or events; customer billing; financial transaction process/accounting; job, case, incident, project management; management or performance reporting; mathematical modelling; online analysis and reporting; workflow support & management",Re-development,,3GL,ABAP,359.0,L,7373,4094,18.0,18.8,,259.3,98.3,2.7,61-70,36.0,Yes,agile development,Yes,3,Multi-tier with web public interface,Yes,data entry & validation; data retrieval & presentation; web/html browser,business logic + integration to 30 other systems; database server; ftp server; html/web server; messaging server; object/component server; security/authentication,,,Web,,0,,,,,,,,,5.0,,,,,,"United States, dollar",
27333,B,2009,Government,education institution,Business Application,surveillance and security,Enhancement,PC,3GL,Java,135.0,M1,3842,2566,4.6,5.3,22.5,37.8,,10.5,,12.0,Yes,agile development,Yes,1,,,data entry & validation; data retrieval & presentation; run a computer-human interface; security; web/html browser,,,,Web,Yes,0,,,0.0,8.0,,,,,6.0,,,,,,"Canada, dollar",
18820,B,2011,Education,government,Business Application,web-based application,Enhancement,PC,3GL,Oracle,119.0,M1,1846,1043,2.2,3.1,1.0,,,2.8,,,Yes,agile development,Yes,13,Multi-tier with web public interface,,data entry & validation; data retrieval & presentation; web/html browser,,,,Web,,0,,1.0,,,,,,,,,,,,,"Canada, dollar",
23839,B,2013,Education,banking,Business Application,complex process control; workflow support & management,Enhancement,PC,3GL,Oracle,176.0,M1,5908,3512,12.3,13.6,,161.4,,1.9,,3.0,Yes,agile development,Yes,1,Stand alone,,,,,,,,0,,,,,,,,,5.0,,,,3.0,199678.0,"European, euro","Yes 10,000"
15558,B,2011,Utilities,transport & storage,Business Application,student & tests management,Re-development,Proprietary,3GL,Java,8.0,M2,105,214,16.7,18.1,0.1,21.4,4.8,1.1,61-70,32.0,Yes,agile development; unified process,Yes,2,Multi-tier with web public interface,Yes,data entry & validation; data retrieval & presentation; web/html browser,data acquisation,,,Web,,0,,,,,,,,5.0,,1.0,,,,78578.0,"European, euro","Yes 10,000"
30029,B,2009,Banking,transport & storage,Business Application,surveillance and security,Enhancement,PC,3GL,.Net,78.0,S,10949,6958,35.6,37.5,20.3,9.0,,16.3,,10.0,Yes,agile development,Yes,1,Stand alone,Yes,data entry & validation; data retrieval & presentation; run a computer-human interface; security; web/html browser,html/web server; security/authentication,,,Web,Yes,1,,2.0,0.0,7.0,,,,0.0,,,,0.0,2.0,,"European, euro",
30367,B,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,,3GL,.Net,13.0,S,18,27,7.9,9.0,,3.1,7.9,6.5,,,No,agile development,Yes,1,Stand alone,,,,,,,Yes,0,,,,,,,,,3.0,,,,,108242.0,"European, euro",
23265,B,2009,Electronics & Computers,medical and health care,Business Application,customer relationship management,New Development,Proprietary,3GL,PL/I,,M2,7057,4077,13.7,14.8,,80.4,109.8,2.6,2,36.0,Yes,agile development,Yes,1,Multi-tier with web public interface,,,,,,Web,,0,,,0.0,,,,,2.0,5.0,,,,,,"Canada, dollar",
20465,B,2010,Education,medical and health care,Business Application,clinical archive,New Development,MR,3GL,Proprietary Agile Platform,697.0,L,11153,7520,3.6,4.5,0.3,230.2,116.9,4.8,3-4,29.0,Yes,agile development,Yes,2,Client server,Yes,,,,,Web,,0,,,8.0,3.0,,,,,,,,0.0,0.0,124840.0,"European, euro",
31166,B,2010,Education,public sector,Business Application,"catalogue/register of things or events; customer billing; financial transaction process/accounting; job, case, incident, project management; management or performance reporting; mathematical modelling; online analysis and reporting; workflow support & management",New Development,PC,3GL,C++,895.0,L,8884,5584,0.6,0.6,,669.0,,3.1,3-4,,Yes,agile development,Yes,1,Multi-tier with web public interface,,web public interface,,,,Web,,0,,0.0,,,,,,,,4.0,,,,96537.0,"European, euro",
32010,B,2012,Government,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,auditing management,Enhancement,PC,3GL,Java,216.0,M1,448,545,0.5,0.5,,195.9,143.3,9.9,1,,Yes,agile development,Yes,1,Stand alone,,,,,,Web,Yes,0,,,,,,,,0.0,,4.0,,,,215195.0,"European, euro",
32725,B,2009,Medical & Health Care,community services; government; public administration,Business Application,clinical archive,New Development,,3GL,C++,111.0,M2,912,895,2.6,3.2,7.5,64.2,,3.9,61-70,15.0,Yes,agile development,Yes,1,Multi-tier with web public interface,Yes,,,,,Web,,0,,3.0,,,,,,,,,,,,,"European, euro",
14525,A,2011,Medical & Health Care,medical and health care,Business Application,content management system; dynamic website,New Development,PC,3GL,Oracle,175.0,M2,4482,2401,21.4,23.4,,40.0,7.7,5.8,2,21.0,Yes,agile development; personal software process (psp); unified process,Yes,20,Multi-tier with web public interface,Yes,data entry & validation; data retrieval & presentation; run a computer-human interface; web/html browser,business logic + integration to 30 other systems; database server; ftp server; html/web server; messaging server; object/component server; security/authentication,,,Web,,0,,1.0,0.0,,,,,0.0,,,,,,,"Canada, dollar",
13695,B,2010,Service Industry,"education institution; electricity, gas, water; ieee",Business Application,surveillance and security,New Development,Multi,3GL,.Net,43.0,S,694,560,15.4,17.1,53.5,21.0,31.9,12.9,5-8,,Yes,agile development,Yes,6,Multi-tier with web public interface,Yes,,,,,Web,,0,,,,0.0,,,,,,,10.0,,,132789.0,"European, euro",
30621,B,2010,Government,government,Infrastructure Software,surveillance and security,New Development,PC,3GL,Oracle,475.0,M1,7119,3999,2.6,3.4,,102.8,114.5,4.7,,,Yes,agile development,Yes,2,,,,,,,Web,Yes,0,,,,4.0,,,,,3.0,,,,,,"Canada, dollar",
11278,B,2014,Banking,government,Business Application,surveillance and security,Enhancement,,3GL,.Net,48.0,M1,1344,1482,6.1,7.5,0.0,44.7,39.5,3.6,,4.0,No,agile development,Yes,1,Stand alone,,,,,,,,0,,,,,,,,,,,,,,,"European, euro",
15148,B,2012,Government,government,Business Application,business application,New Development,PC,3GL,Oracle,38.0,M1,1552,1395,18.0,19.4,,5.4,,9.2,,10.0,Yes,agile development; personal software process (psp); unified process,Yes,1,Client server,,web/html browser,,,,Web,,0,,,,2.0,,,,,,0.0,,,,,"Canada, dollar",
25559,A,2014,Service Industry,"education institution; electricity, gas, water; ieee",Business Application,course management,Enhancement,PC,3GL,Proprietary Agile Platform,400.0,L,478,255,2.4,3.1,,466.3,462.5,0.7,5-8,3.0,Yes,agile development,Yes,17,Multi-tier with web public interface,,web public interface,,,,Web,,0,,,,,,,,,,,,,,,"European, euro","Yes 10,000"
22347,D,2010,Service Industry,banking,Business Application,hospital information system,Re-development,PC,3GL,Proprietary Agile Platform,629.0,M2,1330,988,1.2,1.5,,148.2,,11.6,1,3.0,Yes,agile development; joint application development (jad); multifunctional teams,Yes,20,,No,web/html browser,security/authentication,,,Web,Yes,2,,6.0,,,,,,,,,19.0,1.0,1.0,,"Canada, dollar",
26585,B,2013,Banking,"education institution; electricity, gas, water; ieee",Business Application,surveillance and security,Enhancement,,3GL,.Net,10.0,S,96,113,10.0,11.6,,4.9,,6.8,1,4.0,Yes,agile development,Yes,5,Stand alone,,,,,,,Yes,0,,,,,,,,,,,,,,44032.0,"European, euro",
31166,B,2012,Electronics & Computers,information technology,Business Application,web-based application,Enhancement,Proprietary,3GL,.Net,551.0,M2,4383,2327,1.2,1.6,3.7,116.7,209.8,10.0,3-4,,No,agile development,Yes,19,Multi-tier with web public interface,Yes,web/html browser,business logic + integration to 30 other systems; database server; ftp server; html/web server; messaging server; object/component server; security/authentication,,,Web,,0,,,,,,,,,,4.0,5.0,,,136652.0,"European, euro",
31166,A,2012,Financial,government,Business Application,project management,Enhancement,Multi,3GL,Java,463.0,M2,11854,6517,24.7,26.9,,254.0,,0.9,2,,Yes,agile development,Yes,12,Multi-tier with web public interface,Yes,data entry & validation; data retrieval & presentation; run a computer-human interface; web/html browser,business logic + integration to 30 other systems; database server; ftp server; html/web server; messaging server; object/component server; security/authentication,,,Web,,0,,3.0,3.0,,,,,,,4.0,,,1.0,108273.0,"European, euro","Yes 10,000"
15723,B,2011,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,Oracle,3.0,XXS,12,14,11.8,12.3,35.3,0.2,,15.8,1,,Yes,agile development,Yes,1,Stand alone,,,,,,,Yes,0,,,,4.0,,,,,,2.0,,,,,"European, euro",
25247,B,2013,Electronics & Computers,surveillance & security,Business Application,complex process control; workflow support & management,New Development,MR,3GL,.Net,306.0,M2,5150,2755,22.5,23.7,,296.7,154.9,0.9,3-4,18.0,Yes,agile development; iterative,Yes,2,Multi-tier with web public interface,,,,,,Web,,0,,,,,,,,,,,,,,,"European, euro","Yes 10,000"
25559,B,2012,Education,education institution,Business Application,security controls,New Development,Proprietary,4GL,JavaScript,217.0,M2,1148,1016,0.7,0.8,0.3,120.1,143.6,2.5,9-14,15.0,No,agile development,Yes,1,Multi-tier with web public interface,,,,,,Web,,0,,,,4.0,,,,,6.0,,33.0,,,77006.0,"European, euro",
11278,B,2012,Medical & Health Care,"education institution; electricity, gas, water; ieee",Infrastructure Software,electronic data interchange,New Development,Proprietary,3GL,Proprietary Agile Platform,595.0,M2,5199,3147,3.4,4.0,,222.0,,3.3,5-8,12.0,Yes,agile development,Yes,2,Multi-tier with web public interface,,,,,,Web,Yes,0,,,,,,,,,,,,,,,"European, euro",
14325,B,2015,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,.Net,6.0,S,17,16,5.3,6.0,,40.8,16.4,0.8,,2.0,Yes,agile development; iterative,Yes,11,Stand alone,,,,,,,Yes,0,,,,,,,,1.0,,,29.0,,,68056.0,"European, euro","Yes 10,000"
30029,B,2012,Banking,government,Business Application,surveillance and security,Enhancement,PC,3GL,.Net,119.0,XXS,351,246,1.7,2.1,5.1,17.0,51.6,13.8,1,2.0,No,agile development,Yes,8,Stand alone,,,,,,,Yes,0,,,,3.0,,,,,,,7.0,,,,"European, euro",
17137,A,2013,Banking,government,Business Application,business application,Enhancement,PC,3GL,.Net,30.0,S,10,13,0.5,0.6,,7.2,27.9,13.2,1,2.0,Yes,agile development,Yes,13,Stand alone,,,,,,Web,Yes,0,,,,,,,,,,4.0,,,,271537.0,"European, euro",
22069,D,2008,Utilities,energy,Business Application,student & tests management,Re-development,Proprietary,4GL,PL/I,715.0,XL,6010,4584,1.3,1.7,9.0,302.0,69.9,4.4,61-70,,Yes,agile development,Yes,14,Multi-tier with web public interface,No,web/html browser,,,,Web,,0,,6.0,5.0,,,,,2.0,,1.0,,,,96319.0,"Canada, dollar",
13784,B,2009,Government,consumer goods,Business Application,business application,New Development,PC,3GL,.Net,1446.0,L,20556,9941,2.4,3.0,,,,15.6,,5.0,Yes,agile development; multifunctional teams,Yes,20,Stand alone,No,,,,,,Yes,2,,1.0,8.0,,,,,0.0,,,,0.0,1.0,54292.0,"Canada, dollar",
10572,D,2014,Government,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,.Net,31.0,M2,1506,901,34.9,37.8,0.0,50.4,,1.0,2,16.0,Yes,agile development,Yes,20,Multi-tier with web public interface,Yes,business logic or rule processing; data entry & validation; data retrieval & presentation,business logic + integration to 30 other systems; database server; ftp server; html/web server; messaging server; object/component server; security/authentication,,,Web,,0,,,,,,,,,,,,,,,"Canada, dollar","Yes 10,000"
15148,B,2010,Medical & Health Care,education institution,Business Application,content management system; dynamic website,New Development,PC,3GL,Java,74.0,M1,101,103,1.9,2.5,25.3,40.4,,5.1,2,5.0,Yes,agile development,Yes,17,Multi-tier with web public interface,No,business logic or rule processing; data entry & validation; data retrieval & presentation; run a computer-human interface,security/authentication,,,Web,Yes,0,,3.0,,5.0,,,,2.0,,0.0,,,,,"Canada, dollar",
27333,D,2010,Government,government,Business Application,content management system; dynamic website,Enhancement,PC,3GL,Oracle,433.0,S,14641,7243,8.3,10.4,,31.0,,11.6,,4.0,Yes,agile development; personal software process (psp); unified process,Yes,20,Stand alone,No,,security/authentication,,,Web,Yes,1,,2.0,0.0,,,,,5.0,,,1.0,0.0,1.0,,"European, euro",
27500,A,2011,Government,surveillance & security,Business Application,surveillance and security,New Development,PC,3GL,.Net,852.0,L,2208,1826,0.5,0.5,,148.4,,15.1,1,2.0,Yes,agile development; personal software process (psp); unified process,Yes,2,Client server,,,,,,Web,Yes,0,,,,,,,,,,,,,,,"European, euro",
11801,B,2014,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,.Net,3.0,S,16,13,41.5,40.8,7.8,0.2,0.3,9.2,1,2.0,Yes,agile development,Yes,14,Stand alone,,,,,,,Yes,0,,,0.0,,,,,,,,,,,40829.0,"European, euro",
27970,B,2015,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,,3GL,Oracle,105.0,S,16698,9431,29.4,31.8,0.0,61.6,,1.2,5-8,5.0,Yes,agile development,Yes,1,Stand alone,,,,,,,,0,,,,,,,,,16.0,,,,,,"European, euro","Yes 10,000"
27333,B,2010,Government,government,Business Application,content management system; dynamic website,Enhancement,Multi,3GL,PL/I,23.0,M1,58,64,1.8,2.0,3.5,38.0,1.1,2.2,5-8,14.0,No,agile development,Yes,1,Multi-tier with web public interface,,,,,,Web,,0,,,0.0,,,,,,,,,,,18571.0,"European, euro",
30029,A,2013,Manufacturing,"education institution; electricity, gas, water; ieee",Business Application,business application,Enhancement,,3GL,Proprietary Agile Platform,228.0,,2655,1186,4.3,5.6,,196.5,206.9,1.0,41-50,6.0,Yes,agile development,Yes,20,,,,,,,,,0,,,,,,,,2.0,,,18.0,,,,"European, euro","Yes 10,000"
26034,B,2012,Government,"education institution; electricity, gas, water; ieee",Business Application,business application,New Development,MR,4GL,.Net,399.0,M1,3699,1999,0.8,1.0,,127.7,75.1,3.0,,,Yes,agile development,Yes,5,Client server,,,,,,Web,,0,,,,,,,,,,3.0,,,,,"European, euro",
13784,B,2012,Electronics & Computers,information technology,Business Application,data warehouse system; financial transaction process/accounting; management or performance reporting,New Development,MR,3GL,ABAP,388.0,M2,4693,2159,1.0,1.3,0.4,434.7,178.3,0.8,,,No,agile development,Yes,1,Multi-tier with web public interface,,,,,,Web,,0,,,,2.0,,,,,,,,,,,"European, euro",
13384,A,2011,Medical & Health Care,education institution,Business Application,project management,New Development,Proprietary,3GL,Oracle,723.0,L,6176,3724,1.3,1.8,,411.4,,7.1,5-8,,Yes,agile development,Yes,11,Multi-tier with web public interface,,,html/web server; security/authentication,,,Web,,0,,,2.0,,,,,,3.0,,,0.0,,,"European, euro",
32010,B,2013,Government,government,Business Application,business application,Re-development,Proprietary,4GL,Proprietary Agile Platform,248.0,M1,3552,2669,2.5,3.2,,108.8,,6.6,,6.0,Yes,agile development,Yes,1,Multi-tier with web public interface,,,,,,Web,,0,,,,5.0,,,,,8.0,1.0,,,,,"European, euro","Yes 10,000"
23265,B,2011,Banking,government,Business Application,surveillance and security,Enhancement,PC,3GL,Oracle,56.0,S,16,21,0.9,1.1,35.2,5.6,1.6,12.4,1,2.0,No,agile development,Yes,19,Stand alone,,,,,,,Yes,1,,,,,,,,,,,,1.0,,66060.0,"Canada, dollar",
30029,B,2008,Wholesale & Retail,energy,Business Application,data or database management,Re-development,Proprietary,3GL,Proprietary Agile Platform,1718.0,M2,28058,15445,3.2,4.0,,187.2,,12.6,41-50,32.0,Yes,agile development,Yes,1,Multi-tier with web public interface,,,,,,Web,,0,,,,,,,,,,,,,,,"European, euro",
13784,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,business application,New Development,PC,3GL,.Net,148.0,M1,406,301,4.9,5.6,,56.0,,1.8,,3.0,Yes,agile development,Yes,17,,,,,,,,,0,,,,,,,,,,,,,,,"European, euro",
16039,B,2014,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,.Net,15.0,XXS,190,181,12.6,14.2,0.2,6.4,,3.5,1,2.0,Yes,agile development,Yes,2,Stand alone,,,,,,,Yes,0,,,,,,,,,,,,,,,"European, euro",
