isbsg_project_id,external_eef_data_quality_rating,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_group,project_prf_application_type,project_prf_development_type,tech_tf_development_platform,tech_tf_language_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,_case_tool_used,process_pmf_development_methodologies,process_pmf_prototyping_used,process_pmf_docs,tech_tf_architecture,tech_tf_client_server,tech_tf_client_roles,tech_tf_server_roles,tech_tf_type_of_server,tech_tf_web_development,tech_tf_dbms_used,tech_tf_tools_used,people_prf_project_user_involvement,people_prf_ba_team_experience_less_than_1_yr,people_prf_ba_team_experience_1_to_3_yr,people_prf_ba_team_experience_great_than_3_yr,people_prf_it_experience_less_than_1_yr,people_prf_it_experience_1_to_3_yr,people_prf_it_experience_great_than_3_yr,people_prf_it_experience_less_than_3_yr,people_prf_it_experience_3_to_9_yr,people_prf_it_experience_great_than_9_yr,people_prf_project_manage_experience,people_prf_project_manage_changes,people_prf_personnel_changes,project_prf_total_project_cost,project_prf_cost_currency,project_prf_currency_multiple
10036,b,1999,electronics & computers,engineering; research & development; software development; client/server architecture for language services,business application,management information system; linguistic software,new development,pc,,,183.0,m1,,568,,3.1,,65.4,,2.8,,,,,,2,,,,,,,yes,0.0,,,,,,,,,,,,,,,,
10039,b,1998,communication,telecommunication,business application,transaction/production system,enhancement,,4gl,ads/online,,m1,271.0,327,,,,,,4.0,,,no,,,2,no,,,,,,,0.0,,,,,,,,,,,,,,,,
10046,b,2015,communication,telecommunications,business application,customer relationship management,enhancement,multi,3gl,java,63.0,s,888.0,888,14.1,14.1,,16.2,,3.9,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
10047,b,2002,wholesale & retail,ordering,business application,stock control & order processing,enhancement,mf,3gl,c,730.0,m2,20975.0,20975,28.7,28.7,,,,,,,,,,2,,,,,,,yes,0.0,,,,,,,,,,,,,,,,
10052,b,2002,professional services,sales & marketing,business application,trading,enhancement,,,coldfusion,179.0,m1,789.0,789,4.4,4.4,,,,,,,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,,,
10056,b,2002,communication,voice provisioning,,voice provisioning,enhancement,,3gl,c,114.0,m1,7290.0,7290,63.9,63.9,,,,,,,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,,,
10059,b,2006,service industry,government; community services,business application,customer billing/relationship management,new development,,3gl,c#,568.0,m2,7936.0,7936,14.0,14.0,,37.9,,15.0,,,,multifunctional teams,,9,,,,,,,,0.0,,,,,,,,,,,,,,,,
10062,b,2007,insurance,insurance,,,enhancement,mf,3gl,pl/i,401.0,m2,4321.0,4321,10.8,10.8,,26.4,,15.2,,,,waterfall incl linear processing & ssadm,,3,,,,,,,,1.0,,,,,,,,,,,,,,,,
10063,b,1999,manufacturing,manufacturing,business application,customer billing/relationship management,new development,multi,4gl,visual basic,849.0,m2,2499.0,2499,2.9,2.9,,160.2,,5.3,,,no,waterfall incl linear processing & ssadm,,3,yes,,,c/s,,,yes,0.0,,,,,,,,,,,,,,,,
10065,b,2013,medical & health care,medical and health care,,not recorded,enhancement,,,,34.0,s,3444.0,3444,101.3,101.3,,2.8,0.0,12.0,81-90,90.0,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,178444.0,"united states, dollar",no
10066,b,2006,banking,banking,business application,financial transaction process/accounting,enhancement,pc,3gl,visual basic,108.0,m1,1402.0,1402,13.0,13.0,,21.2,,5.1,,,,,,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
10067,b,2003,financial,"financial, property & business services",,,enhancement,,3gl,cobol,,,60838.0,60838,,,,,,9.0,81-90,87.0,,,,0,,,,,,,,2.0,,,,,,,87.0,,,,,,0.0,,,
10069,b,2013,communication,telecommunications,business application,data warehouse system,enhancement,,3gl,shell,949.0,m2,3567.0,3567,3.8,3.8,,306.1,,3.1,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
10074,b,1997,,,,,enhancement,,,,460.0,m2,2253.0,2253,4.9,4.9,,115.0,23.0,4.0,5-8,5.0,don't know,,,4,,,,,,,,0.0,,,,,,,,,,,,,,,,
10075,a,1994,financial,"financial, property & business services",business application,office information system,new development,pc,4gl,sql,1502.0,l,6020.0,7490,4.0,5.0,8.0,375.5,53.6,4.0,5-8,7.0,no,joint application development jad; multifunctional teams; rapid application development rad; timeboxing,yes,6,,,,,,,yes,1.0,,,,,,,,,,,,,,,,
10076,b,2003,insurance,insurance,,,new development,mf,3gl,pl/i,66.0,s,507.0,507,7.7,7.7,,3.9,,17.0,,,,waterfall incl linear processing & ssadm,,4,,,,,,,,2.0,,,,,,,,,,,,,,,,
10078,b,2015,communication,telecommunications,business application,broadband application,enhancement,multi,,,56.0,s,439.0,439,7.8,7.8,,15.1,,3.7,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
10080,b,2004,,,,,enhancement,,4gl,powerbuilder,46.0,s,1009.0,1009,21.9,21.9,,25.6,,1.8,,,,,,2,yes,,,c/s,,,,0.0,,,,,,,,,,,,,,,,
10085,a,2010,electronics & computers,computers & software,,,enhancement,mr,4gl,abap,416.0,m2,9205.0,9205,22.1,22.1,0.0,59.4,2.1,7.0,21-30,28.0,,incremental,,4,yes,,,,,,,2.0,,,,,,,,,,,,,0.0,,,
10090,b,2004,financial,"financial, property & business services",business application,financial transaction process/accounting; client server,enhancement,multi,4gl,,,l,2525.0,2525,,,,,,8.4,,,,,,3,yes,,,client server,,,,0.0,,,,,,,,,,,,,,,,
10095,b,2002,insurance,insurance,,,new development,multi,apg,cool:gen,400.0,m2,150.0,150,0.4,0.4,,80.0,,5.0,,,,,,4,,,,,,,,0.0,,,,,,,,,,,,,,,,
10096,b,2005,insurance,insurance,,,enhancement,multi,4gl,,22.0,xs,134.0,134,6.1,6.1,,7.3,,3.0,,,,,,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
10104,b,2004,,,,,enhancement,,4gl,oracle,7.0,xxs,396.0,396,56.6,56.6,,3.7,,1.9,,,,,,2,yes,,,c/s,,,,0.0,,,,,,,,,,,,,,,,
10109,b,2015,insurance,insurance,business application,workflow support & management,new development,pc,4gl,.net,317.0,m2,3735.0,3735,11.8,11.8,,47.3,6.8,6.7,5-8,7.0,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,362700.0,"european, euro",no
10116,b,1999,,,business application,management information system,enhancement,mr,,,779.0,m2,,33387,,42.9,,,,,,,,,,3,yes,,,,,,yes,0.0,don't know,,,,,,,,,,,0.0,,,,
10132,b,2010,manufacturing,manufacturing,business application,cars selling,enhancement,mr,3gl,java,260.0,m1,,3480,,13.4,0.0,81.3,,3.2,,,,,,8,yes,,,client server,client server,,yes,2.0,,,,,,,,,,,,,0.0,,,
10135,b,1998,communication,telecommunication,business application,transaction/production system,enhancement,,4gl,visual basic,,m1,7781.0,9375,,,,,,3.0,,,no,,,2,yes,,,,,,,0.0,,,,,,,,,,,,,,,,
10136,b,2004,,,business application,financial application area,new development,multi,4gl,,83.0,s,855.0,855,10.3,10.3,24.1,18.4,,4.5,,,,,,2,yes,,,client server,,,yes,0.0,,,,,,,,,,,,,,,,
10139,b,1999,,,business application,transaction/production system,enhancement,mf,3gl,cobol,80.0,s,3199.0,3199,40.0,40.0,,5.8,1.7,13.7,3-4,3.5,no,,,2,no,,,,,,yes,1.0,,,,,,,,,,,,,,,,
10143,a,1998,government,public administration; community services; insurance,business application,electronic data interchange,new development,mf,3gl,cobol,243.0,m1,2924.0,3249,12.0,13.4,8.2,30.4,3.8,8.0,5-8,8.0,yes,,,5,yes,,,lan based; presentation & logic on server,lan based,,yes,7.0,yes,,,,,,,,,,,,,,,
10145,b,2011,manufacturing,manufacturing,mathematically-intensive application,computing of the thermodynamic process,enhancement,mr,4gl,matlab,99.0,s,,870,,8.8,0.0,11.0,,9.0,,,,,,8,no,,,stand alone,stand alone,,yes,2.0,,,,,,,,,,,,,0.0,,,
10149,b,2012,communication,telecommunications,mathematically-intensive application,customer relationship management,enhancement,multi,3gl,pl/sql,244.0,m1,4566.0,4566,18.7,18.7,,55.5,,4.4,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
10151,b,1994,banking,banking,business application,transaction/production system,new development,mf,4gl,easytrieve,174.0,m1,2288.0,2288,13.1,13.1,,24.9,12.4,7.0,2,2.0,yes,,,5,don't know,,,,,,yes,4.0,,,,,,,,,,,,,,,,
10154,b,1999,insurance,insurance,business application,financial transaction process/accounting,new development,mf,3gl,cobol,152.0,m1,2569.0,2569,16.9,16.9,,38.0,,4.0,,,no,waterfall incl linear processing & ssadm,,3,don't know,,,,,,yes,0.0,,,,,,,,,,,,,,,,
10159,b,2000,banking,banking,business application,financial transaction process/accounting,enhancement,mf,3gl,pl/i,4.0,xxs,145.0,145,36.3,36.3,,40.0,,0.1,,,no,waterfall incl linear processing & ssadm,,3,don't know,,,,,,yes,0.0,,,,,,,,,,,,,,,,
10163,a,1994,manufacturing,manufacturing; transport & storage,business application,transaction/production system,new development,mf,apg,telon,55.0,s,503.0,648,9.1,11.8,18.2,9.2,2.3,6.0,3-4,4.0,yes,,,5,no,,,,,,yes,4.0,,,,,,,,,,,,,,,,
10164,b,2004,,,,ms billing,enhancement,,3gl,cobol,68.0,s,12702.0,12702,186.8,186.8,,,,,,,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,,,
10169,b,2015,insurance,insurance,business application,workflow support & management,enhancement,pc,4gl,oracle,168.0,m1,137.0,137,0.8,0.8,,93.3,93.3,1.8,1,1.0,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,7416.0,"european, euro",no
10171,b,2005,insurance,insurance,,,enhancement,mf,3gl,pl/i,140.0,m1,1000.0,1000,7.1,7.1,,20.0,,7.0,,,,waterfall incl linear processing & ssadm,,4,,,,,,,,2.0,,,,,,,,,,,,,,,,
10172,b,2005,manufacturing,manufacturing,,,enhancement,multi,3gl,c++,135.0,m1,499.0,499,3.7,3.7,,15.0,,9.0,,,,,,4,,,,,,,,2.0,,,,,,,,,,,,,,,,
10173,b,2004,,,business application,financial application area,enhancement,multi,3gl,java,25.0,xs,118.0,118,4.7,4.7,0.0,25.0,,1.0,,,,,,2,,,,web,,web,yes,0.0,,,,,,,,,,,,,,,,
10174,b,2000,,,,,new development,,4gl,spreadsheet,582.0,m2,2632.0,2632,4.5,4.5,,97.0,13.9,6.0,5-8,7.0,yes,,,4,,,,,,,,2.0,,,,,,,,,,,,,,,,
10176,b,2004,financial,"financial, property & business services",business application,financial transaction process/accounting; client server,enhancement,multi,4gl,,,xs,81.0,81,,,,,,1.9,,,,,,3,yes,,,client server,,,,0.0,,,,,,,,,,,,,,,,
10178,a,2005,medical & health care,medical and health care,business application,catalogue/register of things or events; document management; online analysis and reporting; workflow support & management; complex process control,new development,multi,3gl,java,826.0,m2,2503.0,2503,3.0,3.0,,18.8,4.7,44.0,3-4,4.0,,,,14,yes,run a computer-human interface; data entry & validation; web/html browser,database server; html/web server; mail server; security/authentication,,,web,yes,1.0,,1.0,,3.0,,,,1.0,3.0,,6.0,0.0,1.0,,,
10180,b,2001,insurance,insurance,business application,financial transaction process/accounting,new development,pc,4gl,visual basic,309.0,m2,2516.0,2516,8.1,8.1,,103.0,,3.0,,,no,waterfall incl linear processing & ssadm,,3,,,,web,,web,yes,0.0,,,,,,,,,,,,,,,,
10181,b,1998,communication,communications,business application,transaction/production system,enhancement,pc,apg,cool:gen,338.0,m2,1009.0,1009,3.0,3.0,,135.2,,2.5,,,yes,,,4,yes,,,"unix; client: presentation, processing",unix,,,1.0,,,,,,,,,,,,,,,,
10184,b,2012,medical & health care,medical and health care,,not recorded,enhancement,,,,13.0,xs,2565.0,2565,197.3,197.3,,0.9,0.0,15.0,21-30,28.0,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,91004.0,"united states, dollar",no
10189,a,1996,insurance,insurance,,,enhancement,mf,3gl,cobol,250.0,m1,,4150,,16.6,,14.7,,17.0,,,no,joint application development jad; multifunctional teams,,6,no,,,,,,yes,8.0,yes,,,,,,,,,,,0.0,,,"united states, dollar",
10196,b,2003,,,,,new development,,3gl,java,69.0,s,2915.0,2915,42.2,42.2,,7.7,,9.0,,,,,,2,yes,,,,,,yes,0.0,,,,,,,,,,,,,,,,
10200,a,2009,electronics & computers,computers & software,business application,"job, case, incident, project management",enhancement,multi,3gl,java,90.0,s,1112.0,1112,12.4,12.4,,22.5,5.6,4.0,3-4,4.0,no,waterfall incl linear processing & ssadm,,12,yes,web/html browser,database server,,,,no,2.0,,3.0,1.0,,,,,,4.0,,5.0,0.0,0.0,,,
10214,b,2000,insurance,insurance,,,new development,,3gl,visual basic,261.0,m1,2175.0,2175,8.3,8.3,,43.5,,6.0,,,,,yes,4,,,,,,,,2.0,,,,,,,,,,,,,,,,
10218,a,1995,utilities,"electricity, gas, water",business application,management information system,new development,mf,3gl,pl/i,163.0,m1,668.0,668,4.1,4.1,18.4,18.1,6.0,9.0,3-4,3.0,,,,4,no,,,,,,yes,3.0,,,,,,,,,,,,,,,,
10220,a,2007,electronics & computers,computers & software,,,enhancement,pc,3gl,visual basic,40.0,s,514.0,514,12.9,12.9,25.0,10.0,3.3,4.0,3-4,3.0,,waterfall incl linear processing & ssadm,,4,yes,,,,,,yes,2.0,,,,,,,,,,,,,0.0,,,
10223,b,2004,,,,,enhancement,mf,3gl,cobol,16.0,xs,536.0,536,33.5,33.5,,4.3,,3.7,,,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,,,
10225,b,1999,insurance,insurance,,,new development,mf,3gl,pl/i,442.0,m2,3772.0,3772,8.5,8.5,,73.7,,6.0,,,,,,4,,,,,,,,2.0,,,,,,,,,,,,,,,,
10226,b,2011,insurance,insurance,business application,unknown,enhancement,,,,206.0,m1,2020.0,2020,9.8,9.8,,206.0,,1.0,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
10228,b,2006,,,business application,financial transaction process/accounting,new development,multi,4gl,.net,,s,263.0,263,,,,,,2.7,,,,waterfall incl linear processing & ssadm,,3,,,,,,web,yes,0.0,,,,,,,,,,,,,,,,
10232,b,2002,financial,"financial, property & business services",business application,financial transaction process/accounting,enhancement,,4gl,visual c++,171.0,m1,420.0,420,2.5,2.5,,,,,,,,,,2,,,,,,,yes,0.0,,,,,,,,,,,,,,,,
10233,a,2001,communication,communications,real-time application,complex process control,enhancement,mr,4gl,visual basic,226.0,m1,3901.0,3901,17.3,17.3,,56.5,5.7,4.0,9-14,10.0,yes,,,5,yes,,,proprietary midrange; client: presentation; server: processing,proprietary midrange,,yes,7.0,yes,,,,,,,,,,,,,,,
10234,b,2006,,,business application,financial transaction process/accounting,enhancement,multi,3gl,java,,m1,292.0,292,,,,,,3.2,,,,waterfall incl linear processing & ssadm,,3,,,,,,web,yes,0.0,,,,,,,,,,,,,,,,
10238,b,2014,communication,telecommunications,business application,customer relationship management,enhancement,multi,4gl,siebel,284.0,m1,7109.0,7109,25.0,25.0,,64.5,,4.4,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
10247,b,2009,manufacturing,manufacturing,business application,cars selling,enhancement,,3gl,java,215.0,m1,,2704,,12.6,18.6,22.6,,9.5,,,,,,8,yes,,,client server,client server,,yes,2.0,,,,,,,,,,,,,1.0,,,
10248,a,2012,communication,telecommunications,business application,online analysis and reporting,enhancement,pc,3gl,java,302.0,m2,5829.0,5829,19.3,19.3,0.0,60.4,6.0,5.0,9-14,10.0,no,waterfall incl linear processing & ssadm,,15,no,,database server; mail server; security/authentication,,,web,yes,2.0,,5.0,5.0,0.0,,,,5.0,4.0,1.0,1.0,0.0,0.0,,,
10249,a,2006,government,government,business application,management of licences and permits,enhancement,mf,apg,cool:gen,16.0,xs,657.0,657,41.1,41.1,0.0,1.5,,10.8,,,,,,8,,,,,,,,0.0,,,,,,,,,,,,,,,,
10251,b,1999,government,government,business application,government,new development,pc,4gl,delphi,40.0,s,120.0,120,3.0,3.0,,57.1,28.6,0.7,2,2.0,,rapid application development rad,,2,,,,,,,,0.0,,,,,,,,,,,,,,,,
10252,b,2014,communication,telecommunications,business application,online. esales,enhancement,multi,,,63.0,s,1161.0,1161,18.4,18.4,,7.6,,8.3,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
10257,a,1999,communication,communications,business application,transaction/production system,enhancement,,3gl,c,307.0,m2,2994.0,3607,9.8,11.7,,23.6,2.1,13.0,9-14,11.0,,,,4,,,,,,,,0.0,yes,,,,,,,,,,,,,,,
10261,b,2004,,,business application,financial application area,new development,multi,3gl,java,166.0,m1,946.0,946,5.7,5.7,54.2,55.3,,3.0,,,,,,2,,,,web,,web,yes,0.0,,,,,,,,,,,,,,,,
10265,a,1999,communication,communications,business application,management information system,enhancement,,4gl,oracle,87.0,s,1606.0,1606,18.5,18.5,,21.8,5.4,4.0,3-4,4.0,,,,4,,,,,,,,0.0,yes,,,,,,,,,,,,,,,
10268,b,2015,communication,telecommunications,business application,workflow support & management,enhancement,multi,,,139.0,m1,2010.0,2010,14.5,14.5,,57.9,,2.4,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
10273,b,2009,manufacturing,manufacturing,business application,warranty management,enhancement,mf,3gl,java,271.0,m1,,2536,,9.4,0.0,54.2,,5.0,,,yes,,,8,no,,,mainframe,mainframe,,yes,4.0,,,,,,,,,,,,,1.0,,,
10276,b,1999,manufacturing,manufacturing,,,new development,pc,3gl,c++,459.0,m2,3876.0,3876,8.4,8.4,,14.3,,32.0,,,,,yes,4,,,,,,,,2.0,,,,,,,,,,,,,,,,
10278,b,2015,communication,telecommunications,business application,online. esales,enhancement,multi,,,427.0,m2,5190.0,5190,12.2,12.2,,125.6,,3.4,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,web,,0.0,,,,,,,,,,,,,,,,
10279,b,2013,banking,government; education institution; wholesale & retail trade; transport & storage; communications; medical and health care; banking,business application,surveillance and security,enhancement,pc,3gl,c#,26.0,xs,52.0,52,2.0,2.0,,2.2,2.2,12.0,1,1.0,,agile development,,6,,,,,,,yes,2.0,,,,,,,,,,,,,,,,
10281,b,2013,insurance,insurance,business application,unknown,enhancement,,,,60.0,s,323.0,323,5.4,5.4,,40.0,,1.5,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
10283,b,2008,financial,"financial, property & business services",business application,financial transaction process/accounting,enhancement,mf,3gl,pl/i,224.0,m1,12548.0,12548,56.0,56.0,,18.7,2.3,12.0,5-8,8.0,,waterfall incl linear processing & ssadm,,11,no,,,,,,yes,2.0,,,,,,,,4.0,4.0,,4.0,0.0,1.0,200000.0,"united states, dollar",
10289,b,1998,wholesale & retail,wholesale & retail trade,,,new development,mr,3gl,visual basic,694.0,m2,6337.0,6337,9.1,9.1,,69.4,,10.0,,,,,,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
10302,b,2002,insurance,insurance,,,enhancement,mf,4gl,,1053.0,l,757.0,757,0.7,0.7,,526.5,,2.0,,,,waterfall incl linear processing & ssadm,,4,,,,,,,,2.0,,,,,,,,,,,,,,,,
10305,b,2015,communication,telecommunications,business application,customer relationship management,enhancement,multi,3gl,java,110.0,m1,1037.0,1037,9.4,9.4,,22.4,,4.9,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
10306,b,2004,,,real-time application,telecom & network management,enhancement,,3gl,c,745.0,m2,15112.0,15112,20.3,20.3,,,,,,,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,,,
10307,b,2000,wholesale & retail,wholesale & retail trade,business application,management information system,enhancement,mf,3gl,cobol,221.0,m1,,21739,,98.4,,55.3,,4.0,,,yes,,,4,yes,,,,,,yes,2.0,,,,,,,,,,,,,,,,
10313,b,2015,insurance,insurance,business application,workflow support & management,enhancement,pc,3gl,cobol,402.0,m2,1073.0,1073,2.7,2.7,,62.8,62.8,6.4,1,1.0,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,58320.0,"european, euro",no
10317,b,2015,government,government,business application,business application,enhancement,,4gl,.net,8.0,xxs,816.0,816,102.0,102.0,0.0,7.3,,1.1,,,,agile development,,3,,,,,,,,0.0,,,,,,,,,,,,,,81500.0,"european, euro",no
10318,a,1999,communication,communications,business application,transaction/production system,enhancement,,3gl,cobol,77.0,s,1936.0,1936,25.1,25.1,,12.8,2.1,6.0,5-8,6.0,,,,4,,,,,,,,0.0,yes,,,,,,,,,,,,,,,
10323,a,2002,insurance,insurance,business application,financial transaction process/accounting,enhancement,,3gl,cobol,647.0,m2,8459.0,8459,13.1,13.1,9.3,71.9,3.4,9.0,21-30,21.0,,,,15,no,,,,,,,3.0,,,,6.0,,,,,,,4.0,0.0,4.0,2284000.0,"south africa, rand","yes 1,000"
10324,b,2000,insurance,insurance,,,enhancement,pc,3gl,c++,44.0,s,362.0,362,8.2,8.2,,7.3,,6.0,,,yes,,,3,,,,,,,,3.0,,,,,,,,,,,,,,,,
10332,b,2009,manufacturing,manufacturing,business application,manufacturing process management,enhancement,multi,3gl,java,34.0,s,,374,,11.0,0.0,8.5,,4.0,,,,,,8,yes,,,client server,client server,,yes,2.0,,,,,,,,,,,,,,,,
10333,b,2015,communication,telecommunications,business application,workflow support & management,enhancement,,,,78.0,s,776.0,776,9.9,9.9,,52.0,,1.5,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
10337,a,2000,insurance,insurance,,,new development,mf,3gl,cobol,120.0,m1,,1158,,9.7,,17.1,,7.0,,,don't know,,,4,no,,,,,,yes,1.0,don't know,,,,,,,,,,,,,,,
10339,b,2006,,,business application,financial transaction process/accounting,enhancement,multi,3gl,java,,xxs,71.0,71,,,,,,1.3,,,,waterfall incl linear processing & ssadm,,3,,,,,,web,yes,0.0,,,,,,,,,,,,,,,,
10341,b,2002,insurance,insurance,,,new development,pc,3gl,java,1282.0,l,8429.0,8429,6.6,6.6,,71.2,,18.0,,,yes,spiral,,4,,,,,,,,4.0,,,,,,,,,,,,,,,,
10343,b,2013,insurance,insurance,business application,unknown,enhancement,,,,343.0,m2,1550.0,1550,4.5,4.5,,32.7,,10.5,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
10349,b,1999,government,government,business application,military,new development,pc,4gl,delphi,1286.0,l,19344.0,19344,15.0,15.0,,63.7,10.6,20.2,5-8,6.0,,rapid application development rad,,2,,,,,,,,0.0,,,,,,,,,,,,,,,,
10351,b,2006,insurance,insurance,,,new development,mf,3gl,pl/i,270.0,m1,4484.0,4484,16.6,16.6,,16.9,,16.0,,,yes,waterfall incl linear processing & ssadm,,4,,,,,,,,3.0,,,,,,,,,,,,,,,,
10352,b,2004,,,,,enhancement,,,,275.0,m1,1888.0,1888,6.9,6.9,,50.0,,5.5,,,,,,2,,,,,,web,,0.0,,,,,,,,,,,,,,,,
10353,b,2002,insurance,insurance,business application,financial transaction process/accounting,enhancement,mf,3gl,cobol,68.0,s,2710.0,2710,39.9,39.9,,22.7,,3.0,,,no,waterfall incl linear processing & ssadm,,3,don't know,,,,,,yes,0.0,,,,,,,,,,,,,,,,
10354,b,2000,communication,communications,business application,transaction/production system,enhancement,pc,apg,cool:gen,127.0,m1,586.0,916,4.6,7.2,0.0,42.3,,3.0,,,,,,4,no,,,,,,,0.0,,,,,,,,,,,,,,,"netherlands, florin",
10355,b,2004,,,,,enhancement,,3gl,unix shell,50.0,s,253.0,253,5.1,5.1,,9.3,,5.4,,,,,,2,,,,,,web,,0.0,,,,,,,,,,,,,,,,
