Unnamed_0,External_EEF_Data_Quality_Rating,Project_PRF_Year_of_Project,External_EEF_Industry_Sector,External_EEF_Organisation_Type,Project_PRF_Application_Group,Project_PRF_Application_Type,Project_PRF_Development_Type,Tech_TF_Development_Platform,Tech_TF_Language_Type,Tech_TF_Primary_Programming_Language,Project_PRF_Functional_Size,Project_PRF_Relative_Size,Project_PRF_Normalised_Work_Effort_Level_1,Project_PRF_Normalised_Work_Effort,Project_PRF_Normalised_Level_1_PDR_ufp,Project_PRF_Normalised_PDR_ufp,Project_PRF_Speed_of_Delivery,Project_PRF_Project_Elapsed_Time,Project_PRF_Team_Size_Group,Project_PRF_Max_Team_Size,Project_PRF_CASE_Tool_Used,Process_PMF_Development_Methodologies,Process_PMF_Docs,Tech_TF_Architecture,Tech_TF_Client_Server,Tech_TF_DBMS_Used,Tech_TF_Tools_Used
10135,B,1998,Communication,Telecommunication;,Business Application,Transaction/Production System;,Enhancement,Missing,4GL,Visual Basic,,M1,7781.0,9375,,,,3.0,Missing,,No,Missing,2,Client server,Yes,Missing,0.0
10136,B,2004,Missing,Missing,Business Application,Financial application area;,New Development,Multi,4GL,Missing,83.0,S,855.0,855,10.3,10.3,18.4,4.5,Missing,,Missing,Missing,2,Multi-tier / Client server,Yes,Yes,0.0
10139,B,1999,Missing,Missing,Business Application,Transaction/Production System;,Enhancement,MF,3GL,COBOL,80.0,S,3199.0,3199,40.0,40.0,5.8,13.7,3-4,3.5,No,Missing,2,Multi-tier,No,Yes,1.0
10143,A,1998,Government,Public Administration;Community Services;Insurance;,Business Application,Electronic Data Interchange;,New Development,MF,3GL,COBOL,243.0,M1,2924.0,3249,12.0,13.4,30.4,8.0,5-8,8.0,Yes,Missing,5,Client server,Yes,Yes,7.0
10145,B,2011,Manufacturing,Manufacturing;,Mathematically-Intensive Application,Computing of the thermodynamic process;,Enhancement,MR,4GL,MATLAB,99.0,S,,870,,8.8,11.0,9.0,Missing,,Missing,Missing,8,Stand alone,No,Yes,2.0
10149,B,2012,Communication,Telecommunications;,Mathematically-Intensive Application,Customer relationship management;,Enhancement,Multi,3GL,PL/SQL,244.0,M1,4566.0,4566,18.7,18.7,55.5,4.4,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Multi-tier,Missing,Missing,0.0
10151,B,1994,Banking,Banking;,Business Application,Transaction/Production System;,New Development,MF,4GL,EASYTRIEVE,174.0,M1,2288.0,2288,13.1,13.1,24.9,7.0,2,2.0,Yes,Missing,5,Missing,Don't Know,Yes,4.0
10154,B,1999,Insurance,Insurance;,Business Application,Financial transaction process/accounting;,New Development,MF,3GL,COBOL,152.0,M1,2569.0,2569,16.9,16.9,38.0,4.0,Missing,,No,Waterfall (incl Linear Processing & SSADM);,3,Missing,Don't Know,Yes,0.0
10159,B,2000,Banking,Banking;,Business Application,Financial transaction process/accounting;,Enhancement,MF,3GL,PL/I,4.0,XXS,145.0,145,36.3,36.3,40.0,0.1,Missing,,No,Waterfall (incl Linear Processing & SSADM);,3,Missing,Don't Know,Yes,0.0
10163,A,1994,Manufacturing,Manufacturing;Transport & Storage;,Business Application,Transaction/Production System;,New Development,MF,ApG,TELON,55.0,S,503.0,648,9.1,11.8,9.2,6.0,3-4,4.0,Yes,Missing,5,Stand alone,No,Yes,4.0
10164,B,2004,Missing,Missing,Missing,MS Billing;,Enhancement,Missing,3GL,COBOL,68.0,S,12702.0,12702,186.8,186.8,,,Missing,,Missing,Missing,2,Missing,Missing,Missing,0.0
10169,B,2015,Insurance,Insurance;,Business Application,Workflow support & management;,Enhancement,PC,4GL,Oracle,168.0,M1,137.0,137,0.8,0.8,93.3,1.8,1,1.0,Missing,Missing,2,Stand alone,Missing,Missing,0.0
10171,B,2005,Insurance,Insurance;,Missing,Missing,Enhancement,MF,3GL,PL/I,140.0,M1,1000.0,1000,7.1,7.1,20.0,7.0,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,4,Missing,Missing,Missing,2.0
10172,B,2005,Manufacturing,Manufacturing;,Missing,Missing,Enhancement,Multi,3GL,C++,135.0,M1,499.0,499,3.7,3.7,15.0,9.0,Missing,,Missing,Missing,4,Missing,Missing,Missing,2.0
10173,B,2004,Missing,Missing,Business Application,Financial application area;,Enhancement,Multi,3GL,Java,25.0,XS,118.0,118,4.7,4.7,25.0,1.0,Missing,,Missing,Missing,2,Multi-tier with web public interface,Missing,Yes,0.0
10174,B,2000,Missing,Missing,Missing,Missing,New Development,Missing,4GL,Spreadsheet,582.0,M2,2632.0,2632,4.5,4.5,97.0,6.0,5-8,7.0,Yes,Missing,4,Missing,Missing,Missing,2.0
10176,B,2004,Financial,"Financial, Property & Business Services;",Business Application,Financial transaction process/accounting;Client Server;,Enhancement,Multi,4GL,Missing,,XS,81.0,81,,,,1.9,Missing,,Missing,Missing,3,Client server,Yes,Missing,0.0
10178,A,2005,Medical & Health Care,Medical and Health Care;,Business Application,Catalogue/register of things or events;Document management;Online analysis and reporting;Workflow support & management;Complex process control;,New Development,Multi,3GL,Java,826.0,M2,2503.0,2503,3.0,3.0,18.8,44.0,3-4,4.0,Missing,Missing,14,Client server,Yes,Yes,1.0
10180,B,2001,Insurance,Insurance;,Business Application,Financial transaction process/accounting;,New Development,PC,4GL,Visual Basic,309.0,M2,2516.0,2516,8.1,8.1,103.0,3.0,Missing,,No,Waterfall (incl Linear Processing & SSADM);,3,Missing,Missing,Yes,0.0
10181,B,1998,Communication,Communications;,Business Application,Transaction/Production System;,Enhancement,PC,ApG,COOL:Gen,338.0,M2,1009.0,1009,3.0,3.0,135.2,2.5,Missing,,Yes,Missing,4,Client server,Yes,Missing,1.0
10184,B,2012,Medical & Health Care,Medical and Health Care;,Missing,not recorded;,Enhancement,Missing,Missing,Missing,13.0,XS,2565.0,2565,197.3,197.3,0.9,15.0,21-30,28.0,Missing,Missing,2,Missing,Missing,Missing,0.0
10189,A,1996,Insurance,Insurance;,Missing,Missing,Enhancement,MF,3GL,COBOL,250.0,M1,,4150,,16.6,14.7,17.0,Missing,,No,Joint Application Development (JAD);Multifunctional Teams;,6,Stand alone,No,Yes,8.0
10196,B,2003,Missing,Missing,Missing,Missing,New Development,Missing,3GL,Java,69.0,S,2915.0,2915,42.2,42.2,7.7,9.0,Missing,,Missing,Missing,2,Client server,Yes,Yes,0.0
10200,A,2009,Electronics & Computers,Computers & Software;,Business Application,"Job, case, incident, project management;",Enhancement,Multi,3GL,Java,90.0,S,1112.0,1112,12.4,12.4,22.5,4.0,3-4,4.0,No,Waterfall (incl Linear Processing & SSADM);,12,Client server,Yes,No,2.0
10214,B,2000,Insurance,Insurance;,Missing,Missing,New Development,Missing,3GL,Visual Basic,261.0,M1,2175.0,2175,8.3,8.3,43.5,6.0,Missing,,Missing,Missing,4,Missing,Missing,Missing,2.0
10218,A,1995,Utilities,"Electricity, Gas, Water;",Business Application,Management Information System;,New Development,MF,3GL,PL/I,163.0,M1,668.0,668,4.1,4.1,18.1,9.0,3-4,3.0,Missing,Missing,4,Stand alone,No,Yes,3.0
10220,A,2007,Electronics & Computers,Computers & Software;,Missing,Missing,Enhancement,PC,3GL,Visual Basic,40.0,S,514.0,514,12.9,12.9,10.0,4.0,3-4,3.0,Missing,Waterfall (incl Linear Processing & SSADM);,4,Client server,Yes,Yes,2.0
10223,B,2004,Missing,Missing,Missing,Missing,Enhancement,MF,3GL,COBOL,16.0,XS,536.0,536,33.5,33.5,4.3,3.7,Missing,,Missing,Missing,2,Missing,Missing,Missing,0.0
10225,B,1999,Insurance,Insurance;,Missing,Missing,New Development,MF,3GL,PL/I,442.0,M2,3772.0,3772,8.5,8.5,73.7,6.0,Missing,,Missing,Missing,4,Missing,Missing,Missing,2.0
10226,B,2011,Insurance,Insurance;,Business Application,Unknown;,Enhancement,Missing,Missing,Missing,206.0,M1,2020.0,2020,9.8,9.8,206.0,1.0,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Missing,Missing,Missing,0.0
10228,B,2006,Missing,Missing,Business Application,Financial transaction process/accounting;,New Development,Multi,4GL,.Net,,S,263.0,263,,,,2.7,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Missing,Missing,Yes,0.0
10232,B,2002,Financial,"Financial, Property & Business Services;",Business Application,Financial transaction process/accounting;,Enhancement,Missing,4GL,Visual C++,171.0,M1,420.0,420,2.5,2.5,,,Missing,,Missing,Missing,2,Stand alone,Missing,Yes,0.0
10233,A,2001,Communication,Communications;,Real-Time Application,Complex process control;,Enhancement,MR,4GL,Visual Basic,226.0,M1,3901.0,3901,17.3,17.3,56.5,4.0,9-14,10.0,Yes,Missing,5,Client server,Yes,Yes,7.0
10234,B,2006,Missing,Missing,Business Application,Financial transaction process/accounting;,Enhancement,Multi,3GL,Java,,M1,292.0,292,,,,3.2,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Missing,Missing,Yes,0.0
10238,B,2014,Communication,Telecommunications;,Business Application,Customer relationship management;,Enhancement,Multi,4GL,Siebel,284.0,M1,7109.0,7109,25.0,25.0,64.5,4.4,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Multi-tier,Missing,Missing,0.0
10247,B,2009,Manufacturing,Manufacturing;,Business Application,Cars selling;,Enhancement,Missing,3GL,Java,215.0,M1,,2704,,12.6,22.6,9.5,Missing,,Missing,Missing,8,Client server,Yes,Yes,2.0
10248,A,2012,Communication,Telecommunications;,Business Application,Online analysis and reporting;,Enhancement,PC,3GL,Java,302.0,M2,5829.0,5829,19.3,19.3,60.4,5.0,9-14,10.0,No,Waterfall (incl Linear Processing & SSADM);,15,Stand alone,No,Yes,2.0
10249,A,2006,Government,Government;,Business Application,Management of Licences and Permits;,Enhancement,MF,ApG,COOL:Gen,16.0,XS,657.0,657,41.1,41.1,1.5,10.8,Missing,,Missing,Missing,8,Stand alone,Missing,Missing,0.0
10251,B,1999,Government,Government;,Business Application,Government;,New Development,PC,4GL,DELPHI,40.0,S,120.0,120,3.0,3.0,57.1,0.7,2,2.0,Missing,Rapid Application Development (RAD);,2,Missing,Missing,Missing,0.0
10252,B,2014,Communication,Telecommunications;,Business Application,Online. eSales;,Enhancement,Multi,Missing,Missing,63.0,S,1161.0,1161,18.4,18.4,7.6,8.3,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Multi-tier,Missing,Missing,0.0
10257,A,1999,Communication,Communications;,Business Application,Transaction/Production System;,Enhancement,Missing,3GL,C,307.0,M2,2994.0,3607,9.8,11.7,23.6,13.0,9-14,11.0,Missing,Missing,4,Missing,Missing,Missing,0.0
10261,B,2004,Missing,Missing,Business Application,Financial application area;,New Development,Multi,3GL,Java,166.0,M1,946.0,946,5.7,5.7,55.3,3.0,Missing,,Missing,Missing,2,Multi-tier with web public interface,Missing,Yes,0.0
10265,A,1999,Communication,Communications;,Business Application,Management Information System;,Enhancement,Missing,4GL,Oracle,87.0,S,1606.0,1606,18.5,18.5,21.8,4.0,3-4,4.0,Missing,Missing,4,Missing,Missing,Missing,0.0
10268,B,2015,Communication,Telecommunications;,Business Application,Workflow support & management;,Enhancement,Multi,Missing,Missing,139.0,M1,2010.0,2010,14.5,14.5,57.9,2.4,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Multi-tier,Missing,Missing,0.0
10273,B,2009,Manufacturing,Manufacturing;,Business Application,Warranty Management;,Enhancement,MF,3GL,Java,271.0,M1,,2536,,9.4,54.2,5.0,Missing,,Yes,Missing,8,Stand alone,No,Yes,4.0
10276,B,1999,Manufacturing,Manufacturing;,Missing,Missing,New Development,PC,3GL,C++,459.0,M2,3876.0,3876,8.4,8.4,14.3,32.0,Missing,,Missing,Missing,4,Missing,Missing,Missing,2.0
10278,B,2015,Communication,Telecommunications;,Business Application,Online. eSales;,Enhancement,Multi,Missing,Missing,427.0,M2,5190.0,5190,12.2,12.2,125.6,3.4,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Multi-tier with web public interface,Missing,Missing,0.0
10279,B,2013,Banking,Government;Education Institution;Wholesale & Retail Trade;Transport & Storage;Communications;Medical and Health Care;Banking;,Business Application,Surveillance and security;,Enhancement,PC,3GL,C#,26.0,XS,52.0,52,2.0,2.0,2.2,12.0,1,1.0,Missing,Agile Development;,6,Stand alone,Missing,Yes,2.0
10281,B,2013,Insurance,Insurance;,Business Application,Unknown;,Enhancement,Missing,Missing,Missing,60.0,S,323.0,323,5.4,5.4,40.0,1.5,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Missing,Missing,Missing,0.0
10283,B,2008,Financial,"Financial, Property & Business Services;",Business Application,Financial transaction process/accounting;,Enhancement,MF,3GL,PL/I,224.0,M1,12548.0,12548,56.0,56.0,18.7,12.0,5-8,8.0,Missing,Waterfall (incl Linear Processing & SSADM);,11,Stand alone,No,Yes,2.0
10289,B,1998,Wholesale & Retail,Wholesale & Retail Trade;,Missing,Missing,New Development,MR,3GL,Visual Basic,694.0,M2,6337.0,6337,9.1,9.1,69.4,10.0,Missing,,Missing,Missing,3,Missing,Missing,Missing,0.0
10302,B,2002,Insurance,Insurance;,Missing,Missing,Enhancement,MF,4GL,Missing,1053.0,L,757.0,757,0.7,0.7,526.5,2.0,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,4,Missing,Missing,Missing,2.0
10305,B,2015,Communication,Telecommunications;,Business Application,Customer relationship management;,Enhancement,Multi,3GL,Java,110.0,M1,1037.0,1037,9.4,9.4,22.4,4.9,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Multi-tier,Missing,Missing,0.0
10306,B,2004,Missing,Missing,Real-Time Application,Telecom & network management;,Enhancement,Missing,3GL,C,745.0,M2,15112.0,15112,20.3,20.3,,,Missing,,Missing,Missing,2,Missing,Missing,Missing,0.0
10307,B,2000,Wholesale & Retail,Wholesale & Retail Trade;,Business Application,Management Information System;,Enhancement,MF,3GL,COBOL,221.0,M1,,21739,,98.4,55.3,4.0,Missing,,Yes,Missing,4,Client server,Yes,Yes,2.0
10313,B,2015,Insurance,Insurance;,Business Application,Workflow support & management;,Enhancement,PC,3GL,COBOL,402.0,M2,1073.0,1073,2.7,2.7,62.8,6.4,1,1.0,Missing,Missing,2,Stand alone,Missing,Missing,0.0
10317,B,2015,Government,Government;,Business Application,Business Application;,Enhancement,Missing,4GL,.Net,8.0,XXS,816.0,816,102.0,102.0,7.3,1.1,Missing,,Missing,Agile Development;,3,Missing,Missing,Missing,0.0
10318,A,1999,Communication,Communications;,Business Application,Transaction/Production System;,Enhancement,Missing,3GL,COBOL,77.0,S,1936.0,1936,25.1,25.1,12.8,6.0,5-8,6.0,Missing,Missing,4,Missing,Missing,Missing,0.0
10323,A,2002,Insurance,Insurance;,Business Application,Financial transaction process/accounting;,Enhancement,Missing,3GL,COBOL,647.0,M2,8459.0,8459,13.1,13.1,71.9,9.0,21-30,21.0,Missing,Missing,15,Stand alone,No,Missing,3.0
10324,B,2000,Insurance,Insurance;,Missing,Missing,Enhancement,PC,3GL,C++,44.0,S,362.0,362,8.2,8.2,7.3,6.0,Missing,,Yes,Missing,3,Missing,Missing,Missing,3.0
10332,B,2009,Manufacturing,Manufacturing;,Business Application,Manufacturing process management;,Enhancement,Multi,3GL,Java,34.0,S,,374,,11.0,8.5,4.0,Missing,,Missing,Missing,8,Client server,Yes,Yes,2.0
10333,B,2015,Communication,Telecommunications;,Business Application,Workflow support & management;,Enhancement,Missing,Missing,Missing,78.0,S,776.0,776,9.9,9.9,52.0,1.5,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Missing,Missing,Missing,0.0
10337,A,2000,Insurance,Insurance;,Missing,Missing,New Development,MF,3GL,COBOL,120.0,M1,,1158,,9.7,17.1,7.0,Missing,,Don't Know,Missing,4,Stand alone,No,Yes,1.0
10339,B,2006,Missing,Missing,Business Application,Financial transaction process/accounting;,Enhancement,Multi,3GL,Java,,XXS,71.0,71,,,,1.3,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Missing,Missing,Yes,0.0
10341,B,2002,Insurance,Insurance;,Missing,Missing,New Development,PC,3GL,Java,1282.0,L,8429.0,8429,6.6,6.6,71.2,18.0,Missing,,Yes,Spiral;,4,Missing,Missing,Missing,4.0
10343,B,2013,Insurance,Insurance;,Business Application,Unknown;,Enhancement,Missing,Missing,Missing,343.0,M2,1550.0,1550,4.5,4.5,32.7,10.5,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Missing,Missing,Missing,0.0
10349,B,1999,Government,Government;,Business Application,Military;,New Development,PC,4GL,DELPHI,1286.0,L,19344.0,19344,15.0,15.0,63.7,20.2,5-8,6.0,Missing,Rapid Application Development (RAD);,2,Missing,Missing,Missing,0.0
10351,B,2006,Insurance,Insurance;,Missing,Missing,New Development,MF,3GL,PL/I,270.0,M1,4484.0,4484,16.6,16.6,16.9,16.0,Missing,,Yes,Waterfall (incl Linear Processing & SSADM);,4,Missing,Missing,Missing,3.0
10352,B,2004,Missing,Missing,Missing,Missing,Enhancement,Missing,Missing,Missing,275.0,M1,1888.0,1888,6.9,6.9,50.0,5.5,Missing,,Missing,Missing,2,Missing,Missing,Missing,0.0
10353,B,2002,Insurance,Insurance;,Business Application,Financial transaction process/accounting;,Enhancement,MF,3GL,COBOL,68.0,S,2710.0,2710,39.9,39.9,22.7,3.0,Missing,,No,Waterfall (incl Linear Processing & SSADM);,3,Missing,Don't Know,Yes,0.0
10354,B,2000,Communication,Communications;,Business Application,Transaction/Production System;,Enhancement,PC,ApG,COOL:Gen,127.0,M1,586.0,916,4.6,7.2,42.3,3.0,Missing,,Missing,Missing,4,Stand alone,No,Missing,0.0
10355,B,2004,Missing,Missing,Missing,Missing,Enhancement,Missing,3GL,Unix Shell,50.0,S,253.0,253,5.1,5.1,9.3,5.4,Missing,,Missing,Missing,2,Missing,Missing,Missing,0.0
10358,B,2004,Banking,Banking;,Business Application,Web-based Application;,New Development,PC,4GL,Visual Basic,191.0,M1,571.0,737,3.0,3.9,95.5,2.0,5-8,5.0,Missing,Missing,2,Missing,Missing,Yes,0.0
10359,B,2012,Medical & Health Care,Medical and Health Care;,Missing,not recorded;,Enhancement,Missing,Missing,Missing,19.0,XS,4061.0,4061,213.7,213.7,1.3,15.0,51-60,58.0,Missing,Missing,2,Missing,Missing,Missing,0.0
