isbsg_project_id,external_eef_data_quality_rating,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_group,project_prf_application_type,project_prf_development_type,tech_tf_development_platform,tech_tf_language_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,project_prf_case_tool_used,process_pmf_development_methodologies,process_pmf_prototyping_used,process_pmf_docs,tech_tf_architecture,tech_tf_client_server,tech_tf_client_roles,tech_tf_server_roles,tech_tf_type_of_server,tech_tf_web_development,tech_tf_dbms_used,tech_tf_tools_used,people_prf_project_user_involvement,people_prf_ba_team_experience_less_than_1_yr,people_prf_ba_team_experience_1_to_3_yr,people_prf_ba_team_experience_great_than_3_yr,people_prf_it_experience_less_than_1_yr,people_prf_it_experience_1_to_3_yr,people_prf_it_experience_great_than_3_yr,people_prf_it_experience_less_than_3_yr,people_prf_it_experience_3_to_9_yr,people_prf_it_experience_great_than_9_yr,people_prf_project_manage_experience,people_prf_project_manage_changes,people_prf_personnel_changes,project_prf_total_project_cost,project_prf_cost_currency,project_prf_currency_multiple
17548,b,2010,medical & health care,medical and health care,business application,clinical archive,new development,proprietary,5GL,proprietary agile platform,116.0,m1,112,1.0,1.0,,58.0,,2.0,,,,agile development,,5,multi-tier with web public interface,,,,,web,,0.0,,,,,,,,,,,,,,,,
18118,a,2008,financial,"financial, property & business services",business application,customer billing/relationship management,re-development,pc,3GL,c#,912.0,m2,4110,4.5,4.5,42.8,60.8,6.1,15.0,9-14,10.0,yes,agile development,yes,16,client-server,yes,business logic or rule processing; database server; run a computer-human interface,database server; file &/or print server; html/web server; mail server; security/authentication,,,yes,5.0,,0.0,5.0,5.0,,,,0.0,6.0,4.0,200.0,0.0,1.0,,"canada, dollar",no
18119,a,2010,government,government,,idm,enhancement,multi,3GL,c#,109.0,m1,2715,24.9,24.9,9.2,12.1,2.4,9.0,5-8,5.0,no,agile development,,18,multi-tier with web public interface,yes,web public interface,html/web server; multi-user legacy application,,web,yes,3.0,,0.0,4.0,1.0,,,,0.0,4.0,1.0,5.0,0.0,0.0,,,
18271,a,2009,education,"education institution; electricity, gas, water; university",business application,course management system; dynamic website,new development,pc,3GL,java,177.0,m1,694,3.9,3.9,,59.0,11.8,3.0,5-8,5.0,,personal software process (psp); unified process,,18,multi-tier with web public interface,yes,web/html browser,database server; html/web server; security/authentication,,web,yes,4.0,,,,,,,,5.0,,,,0.0,0.0,13880.0,"canada, dollar",
18328,b,2012,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,19.0,xs,51,2.7,2.7,,1.6,1.6,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,2.0,,,,,,,,,,,,,,,,
18820,b,2014,government,government,business application,business application,enhancement,,4GL,oracle,49.0,s,601,12.3,12.3,0.0,122.5,,0.4,,,,agile development,,3,,,,,,,,0.0,,,,,,,,,,,,,,54230.0,"european, euro",no
19161,b,2005,electronics & computers,information technology,,web-based application,new development,,3GL,java,,,60047,,,,,,14.8,41-50,41.0,,agile development; iterative,,1,,,,,,web,yes,0.0,,,,,,,,,,,,,,,,
19256,a,2009,education,"education institution; electricity, gas, water; university",business application,course management system; dynamic website,new development,pc,3GL,java,80.0,s,355,4.4,4.4,,26.7,6.7,3.0,3-4,4.0,,personal software process (psp); unified process,,18,multi-tier with web public interface,yes,web/html browser,database server; html/web server; security/authentication,,web,yes,4.0,,,,,,,,4.0,,,,0.0,0.0,8875.0,"canada, dollar",
19363,b,2013,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,15.0,xs,53,3.5,3.5,,1.3,1.3,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,2.0,,,,,,,,,,,,,,,,
19859,b,2012,service industry,surveillance & security,business application,electronic data interchange,enhancement,pc,3GL,c#,82.0,s,225,2.7,2.7,,,,,2,2.0,,agile development,,11,client-server,yes,business logic or rule processing; data entry & validation; data retrieval & presentation; run a computer-human interface,database server,,,yes,4.0,,,2.0,,,,,,2.0,,3.0,0.0,0.0,,,
20465,b,2014,government,government,business application,business application,enhancement,,4GL,oracle,95.0,s,632,6.7,6.7,0.0,237.5,,0.4,,,,agile development,,3,,,,,,,,0.0,,,,,,,,,,,,,,57035.0,"european, euro",no
21719,a,2009,education,"education institution; electricity, gas, water; ieee",business application,content management system; dynamic website,new development,pc,3GL,java,118.0,m1,489,4.1,4.1,,39.3,9.8,3.0,3-4,4.0,,agile development; personal software process (psp); unified process,,18,multi-tier with web public interface,yes,web/html browser,security/authentication,,web,yes,4.0,,,,,,,,,4.0,,,0.0,0.0,15281.0,"canada, dollar",
21796,b,2015,service industry,"art , events , ticketing",business application,"customer billing; document management; financial transaction process/accounting; online analysis and reporting; reservation system (eg. airline, hotel); stock control & order processing; workflow support & management",new development,pc,3GL,java,57.0,s,107,0.4,1.9,52.6,19.0,9.5,3.0,2,2.0,,,,7,stand-alone,,,,,web,yes,0.0,,,,,,,,,,,,,,,,
21837,b,2014,government,government,business application,business application,enhancement,,4GL,.net,51.0,s,1102,21.6,21.6,0.0,72.9,,0.7,,,,agile development,,3,,,,,,,,0.0,,,,,,,,,,,,,,90300.0,"european, euro",no
22069,b,2012,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,37.0,s,125,3.4,3.4,,3.1,1.5,12.0,2,2.0,,agile development,,6,stand-alone,,,,,,yes,2.0,,,,,,,,,,,,,,,,
22347,a,2010,service industry,community services,business application,complex process control; workflow support & management,new development,multi,3GL,javascript,399.0,m2,7037,17.6,17.6,22.6,49.9,4.5,8.0,9-14,11.0,no,agile development,,16,client-server,yes,data entry & validation; data retrieval & presentation; web/html browser,html/web server; security/authentication,,,yes,2.0,,0.0,3.0,8.0,,,,1.0,6.0,4.0,12.0,0.0,0.0,,,
23265,a,2009,education,"education institution; electricity, gas, water; ieee",business application,content management system; dynamic website,new development,pc,3GL,java,155.0,m1,491,3.2,3.2,,51.7,10.3,3.0,5-8,5.0,,agile development; personal software process (psp); unified process,,18,multi-tier with web public interface,yes,web/html browser,security/authentication,,web,yes,4.0,,,,,,,,5.0,,,,0.0,0.0,14723.0,"canada, dollar",
23319,a,2011,manufacturing,aerospace / automotive,real-time application,automated data acquisition,new development,pc,3GL,c#,113.0,m1,1047,9.3,9.3,0.0,14.1,3.5,8.0,3-4,4.0,yes,agile development,,17,client-server,yes,data entry & validation; data retrieval & presentation; device/equipment interface,data acquisation,,,,5.0,,2.0,0.0,0.0,,,,1.0,0.0,1.0,25.0,0.0,0.0,,,
23552,b,2010,wholesale & retail,consumer goods,business application,promotions,new development,proprietary,5GL,proprietary agile platform,243.0,m1,257,1.1,1.1,,121.5,,2.0,,,,agile development,,5,multi-tier with web public interface,,,,,web,,0.0,,,,,,,,,,,,,,,,
24701,b,2014,government,government,business application,business application,enhancement,,4GL,oracle,33.0,s,667,20.2,20.2,0.0,82.5,,0.4,,,,agile development,,3,,,,,,,,,,,,,,,,,,,,,,60115.0,"european, euro",no
25081,a,2009,education,"education institution; electricity, gas, water; ieee",business application,content management system; dynamic website,new development,pc,3GL,java,135.0,m1,600,4.4,4.4,,45.0,9.0,3.0,5-8,5.0,,agile development; personal software process (psp); unified process,,18,multi-tier with web public interface,yes,web/html browser,security/authentication,,web,yes,,,,,,,,,,5.0,,,0.0,0.0,60000.0,"canada, dollar",
25247,b,2013,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,13.0,xs,47,3.6,3.6,,1.1,1.1,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,,,,,,,,,,,,,,,,,
25415,b,2010,service industry,transport & storage,business application,airport management,new development,proprietary,5GL,proprietary agile platform,679.0,m2,326,0.5,0.5,,169.8,,4.0,,,,agile development,,5,multi-tier with web public interface,,,,,web,,,,,,,,,,,,,,,,,,
25480,a,2009,education,"education institution; electricity, gas, water; university",business application,course management system; dynamic website,new development,pc,3GL,java,209.0,m1,606,2.9,2.9,,69.7,13.9,3.0,5-8,5.0,,personal software process (psp); unified process,,18,multi-tier with web public interface,yes,web/html browser,database server; html/web server; security/authentication,,web,yes,,,,,,,,,5.0,,,,0.0,0.0,30300.0,"canada, dollar",
25559,b,2012,service industry,surveillance & security,business application,electronic data interchange,enhancement,pc,3GL,c#,45.0,s,125,2.8,2.8,,,,,2,2.0,,agile development,,11,client-server,yes,business logic or rule processing; data entry & validation; data retrieval & presentation; run a computer-human interface,database server,,,yes,,,1.0,1.0,,,,,,2.0,,3.0,0.0,0.0,,,
26034,b,2010,government,public sector,business application,project management,new development,proprietary,5GL,proprietary agile platform,143.0,m1,98,0.7,0.7,,28.6,,5.0,,,,agile development,,5,multi-tier with web public interface,,,,,web,,,,,,,,,,,,,,,,,,
26195,a,2009,service industry,community services; institutions eg. kindergartens,business application,online analysis and reporting,enhancement,multi,4GL,abap,211.0,m1,4393,20.8,20.8,,26.4,,8.0,,,no,agile development,,16,stand-alone,no,,,,,yes,,,,8.0,,,,,8.0,,,8.0,0.0,0.0,,,
26422,a,2009,education,"education institution; electricity, gas, water; university",business application,course management system; dynamic website,new development,pc,3GL,java,223.0,m1,509,2.3,2.3,,74.3,14.9,3.0,5-8,5.0,,personal software process (psp); unified process,,18,multi-tier with web public interface,yes,web/html browser,database server; html/web server; security/authentication,,web,yes,,,,,,,,,,5.0,,,0.0,0.0,10180.0,"canada, dollar",
26585,b,2010,electronics & computers,high tech,,proposal builder,new development,proprietary,5GL,proprietary agile platform,243.0,m1,289,1.2,1.2,,121.5,,2.0,,,,agile development,,5,multi-tier with web public interface,,,,,web,,,,,,,,,,,,,,,,,,
26608,b,2014,government,government,business application,business application,enhancement,,4GL,.net,16.0,xs,860,53.8,53.8,0.0,22.9,,0.7,,,,agile development,,3,,,,,,,,,,,,,,,,,,,,,,70600.0,"european, euro",no
26861,b,2010,electronics & computers,high tech,business application,course management,new development,proprietary,5GL,proprietary agile platform,138.0,m1,87,0.6,0.6,,138.0,,1.0,,,,agile development,,5,multi-tier with web public interface,,,,,web,,,,,,,,,,,,,,,,,,
27063,b,2012,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,24.0,xs,79,3.3,3.3,,2.0,2.0,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,,,,,,,,,,,,,,,,,
27281,b,2010,medical & health care,biotech,,analysis management,new development,proprietary,5GL,proprietary agile platform,144.0,m1,117,0.8,0.8,,48.0,,3.0,,,,agile development,,5,multi-tier with web public interface,,,,,web,,,,,,,,,,,,,,,,,,
27333,b,2013,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,18.0,xs,47,2.6,2.6,,1.5,1.5,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,,,,,,,,,,,,,,,,,
27500,b,2014,government,government,business application,business application,enhancement,,4GL,.net,25.0,xs,1206,48.2,48.2,0.0,15.6,,1.6,,,,agile development,,3,,,,,,,,,,,,,,,,,,,,,,120600.0,"european, euro",no
27970,b,2013,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,3.0,xxs,9,3.0,3.0,,0.3,0.3,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,,,,,,,,,,,,,,,,,
28393,b,2013,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,18.0,xs,38,2.1,2.1,,1.5,1.5,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,,,,,,,,,,,,,,,,,
28504,a,2009,education,"education institution; electricity, gas, water; university",business application,course management system; dynamic website,new development,pc,3GL,java,157.0,m1,899,5.7,5.7,,52.3,13.1,3.0,3-4,4.0,,personal software process (psp); unified process,,18,multi-tier with web public interface,yes,web/html browser,database server; html/web server; security/authentication,,web,yes,,,,,,,,,,4.0,,,0.0,0.0,31465.0,"canada, dollar",
29221,b,2012,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,21.0,xs,74,3.5,3.5,,1.8,1.8,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,,,,,,,,,,,,,,,,,
29310,a,2008,medical & health care,medical and health care,business application,hospital information system,enhancement,pc,3GL,java,2003.0,l,47493,23.7,23.7,14.0,200.3,2.9,10.0,61-70,68.0,yes,agile development; joint application development (jad); multifunctional teams,yes,17,client-server,yes,data entry & validation; data retrieval & presentation; run a computer-human interface; web/html browser,business logic + integration to 30 other systems; database server; ftp server; html/web server; messaging server; object/component server; security/authentication,,web,yes,,,11.0,32.0,25.0,,,,17.0,33.0,18.0,15.0,1.0,12.0,,,
29471,a,2009,education,"education institution; electricity, gas, water; ieee",business application,content management system; dynamic website,new development,pc,3GL,java,142.0,m1,669,4.7,4.7,,47.3,9.5,3.0,5-8,5.0,,agile development; personal software process (psp); unified process,,18,multi-tier with web public interface,yes,web/html browser,security/authentication,,web,yes,,,,,,,,,5.0,,,,0.0,0.0,7644.0,"canada, dollar",
30029,b,2012,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,72.0,s,225,3.1,3.1,,6.0,3.0,12.0,2,2.0,,agile development,,6,stand-alone,,,,,,yes,,,,,,,,,,,,,,,,,
30367,a,2009,service industry,community services; government,business application,catalogue/register of things or events,enhancement,multi,3GL,pl/i,117.0,m1,3549,30.3,30.3,0.0,16.7,1.7,7.0,9-14,10.0,no,agile development,yes,17,client-server,yes,,,,,yes,,,0.0,4.0,6.0,,,,0.0,6.0,4.0,13.0,0.0,0.0,,,
30466,b,2014,government,government,business application,business application,enhancement,,4GL,.net,4.0,xxs,684,171.0,171.0,0.0,5.7,,0.7,,,,agile development,,3,,,,,,,,,,,,,,,,,,,,,,68200.0,"european, euro",no
30621,b,2013,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,13.0,xs,47,3.6,3.6,,1.1,1.1,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,,,,,,,,,,,,,,,,,
30658,a,2009,education,"education institution; electricity, gas, water; ieee",business application,content management system; dynamic website,new development,pc,3GL,java,160.0,m1,784,4.9,4.9,,53.3,10.7,3.0,5-8,5.0,,agile development; personal software process (psp); unified process,,18,multi-tier with web public interface,yes,web/html browser,security/authentication,,web,yes,,,,,,,,,5.0,,,,0.0,0.0,15680.0,"canada, dollar",
31103,b,2012,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,11.0,xs,43,3.9,3.9,,0.9,0.9,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,,,,,,,,,,,,,,,,,
31166,a,2011,government,government,infrastructure software,data or database management,new development,pc,4GL,oracle,492.0,m2,1105,2.1,2.2,,164.0,82.0,3.0,2,2.0,yes,agile development,,17,multi-tier with web public interface,yes,web/html browser,database server; html/web server,,web,yes,,,,,2.0,,,,,,2.0,45.0,0.0,1.0,765000.0,"european, euro","yes 10,000"
31166,a,2011,government,government,infrastructure software,data or database management,new development,pc,4GL,oracle,422.0,m2,1105,2.4,2.6,,140.7,70.3,3.0,2,2.0,yes,agile development,,18,multi-tier with web public interface,yes,web/html browser,database server; html/web server,,web,yes,,,,,2.0,,,,,,2.0,45.0,0.0,1.0,765000.0,"european, euro","yes 10,000"
31969,b,2013,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,15.0,xs,47,3.1,3.1,,1.3,1.3,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,,,,,,,,,,,,,,,,,
32296,b,2010,utilities,energy,business application,customer relationship management,new development,proprietary,5GL,proprietary agile platform,1371.0,l,2274,1.7,1.7,,342.8,,4.0,,,,agile development,,5,multi-tier with web public interface,,,,,web,,0.0,,,,,,,,,,,,,,,,
32692,b,2010,education,education institution,business application,student & tests management,new development,proprietary,5GL,proprietary agile platform,995.0,m2,614,0.6,0.6,,199.0,,5.0,,,,agile development,,5,multi-tier with web public interface,,,,,web,,0.0,,,,,,,,,,,,,,,,
32725,b,2013,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,16.0,xs,42,2.6,2.6,,1.3,1.3,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,2.0,,,,,,,,,,,,,,,,
