isbsg_project_id,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_speed_of_delivery,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,process_pmf_development_methodologies,process_pmf_docs,tech_tf_tools_used,project_prf_application_group_business_application,project_prf_application_group_infrastructure_software,project_prf_application_group_mathematically_intensive_application,project_prf_application_group_mathematically_intensive_application_1,project_prf_application_group_missing,project_prf_application_group_real_time_application,external_eef_data_quality_rating_b,external_eef_data_quality_rating_c,external_eef_data_quality_rating_d,project_prf_development_type_new_development,project_prf_development_type_not_defined,project_prf_development_type_other,project_prf_development_type_poc,project_prf_development_type_porting,project_prf_development_type_re_development,tech_tf_development_platform_mf,tech_tf_development_platform_missing,tech_tf_development_platform_mr,tech_tf_development_platform_multi,tech_tf_development_platform_pc,tech_tf_development_platform_proprietary,tech_tf_language_type_3gl,tech_tf_language_type_4gl,tech_tf_language_type_5gl,tech_tf_language_type_apg,tech_tf_language_type_missing,project_prf_relative_size_m1,project_prf_relative_size_m2,project_prf_relative_size_missing,project_prf_relative_size_s,project_prf_relative_size_xl,project_prf_relative_size_xs,project_prf_relative_size_xxl,project_prf_relative_size_xxs,project_prf_relative_size_xxxl,project_prf_case_tool_used_missing,project_prf_case_tool_used_no,project_prf_case_tool_used_yes,tech_tf_architecture_missing,tech_tf_architecture_multi_tier,tech_tf_architecture_multi_tier_client_server,tech_tf_architecture_multi_tier_with_web_interface,tech_tf_architecture_multi_tier_with_web_public_interface,tech_tf_architecture_stand_alone,tech_tf_architecture_standalone,tech_tf_client_server_missing,tech_tf_client_server_no,tech_tf_client_server_not_applicable,tech_tf_client_server_yes,tech_tf_dbms_used_no,tech_tf_dbms_used_yes
10032,2000,banking,banking,financial transaction process/accounting,visual basic,113.0,596.0,596.0,5.3,5.3,43.5,2.6,missing,7.0,waterfall (incl linear processing & ssadm),3,0,1,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True
10033,2012,medical & health care,medical and health care,not recorded,missing,162.0,92380.0,92380.0,570.2,570.2,8.1,20.0,101+,253.0,missing,2,0,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10036,1999,electronics & computers,client/server architecture for language services; engineering; research & development; software development,linguistic software; management information system,missing,183.0,1593.0,568.0,11.2,3.1,65.4,2.8,missing,7.0,missing,2,0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
10039,1998,communication,telecommunication,transaction/production system,ads/online,139.0,271.0,327.0,11.2,11.6,26.8,4.0,missing,7.0,missing,2,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
10046,2015,communication,telecommunications,customer relationship management,java,63.0,888.0,888.0,14.1,14.1,16.2,3.9,missing,7.0,waterfall (incl linear processing & ssadm),3,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
10047,2002,wholesale & retail,ordering,stock control & order processing,c_lang,730.0,20975.0,20975.0,28.7,28.7,26.8,6.0,missing,7.0,missing,2,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
10052,2002,professional services,sales & marketing,trading,coldfusion,179.0,789.0,789.0,4.4,4.4,26.8,6.0,missing,7.0,missing,2,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10054,1998,manufacturing,manufacturing,management information system,oracle,198.0,2753.0,2753.0,13.9,13.9,39.6,5.0,missing,7.0,missing,2,0,1,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
10056,2002,communication,voice provisioning,voice provisioning,c_lang,114.0,7290.0,7290.0,63.9,63.9,26.8,6.0,missing,7.0,missing,2,0,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10059,2006,service industry,community services; government,customer billing/relationship management,csharp,568.0,7936.0,7936.0,14.0,14.0,37.9,15.0,missing,7.0,multifunctional teams,9,0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10062,2007,insurance,insurance,missing,pl/i,401.0,4321.0,4321.0,10.8,10.8,26.4,15.2,missing,7.0,waterfall (incl linear processing & ssadm),3,1,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
10063,1999,manufacturing,manufacturing,customer billing/relationship management,visual basic,849.0,2499.0,2499.0,2.9,2.9,160.2,5.3,missing,7.0,waterfall (incl linear processing & ssadm),3,0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True
10065,2013,medical & health care,medical and health care,not recorded,missing,34.0,3444.0,3444.0,101.3,101.3,2.8,12.0,81_90,90.0,missing,2,0,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10066,2006,banking,banking,financial transaction process/accounting,visual basic,108.0,1402.0,1402.0,13.0,13.0,21.2,5.1,missing,7.0,missing,3,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10067,2003,financial,"financial, property & business services",missing,cobol,139.0,60838.0,60838.0,11.2,11.6,26.8,9.0,81_90,87.0,missing,0,2,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10069,2013,communication,telecommunications,data warehouse system,shell,949.0,3567.0,3567.0,3.8,3.8,306.1,3.1,missing,7.0,waterfall (incl linear processing & ssadm),3,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10074,1997,missing,missing,missing,missing,460.0,2253.0,2253.0,4.9,4.9,115.0,4.0,5_8,5.0,missing,4,0,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10075,1994,financial,"financial, property & business services",office information system,sql,1502.0,6020.0,7490.0,4.0,5.0,375.5,4.0,5_8,7.0,joint application development (jad); multifunctional teams; rapid application development (rad); timeboxing,6,1,1,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True
10076,2003,insurance,insurance,missing,pl/i,66.0,507.0,507.0,7.7,7.7,3.9,17.0,missing,7.0,waterfall (incl linear processing & ssadm),4,2,0,0,0,0,1,0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10078,2015,communication,telecommunications,broadband application,missing,56.0,439.0,439.0,7.8,7.8,15.1,3.7,missing,7.0,waterfall (incl linear processing & ssadm),3,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
10080,2004,missing,missing,missing,powerbuilder,46.0,1009.0,1009.0,21.9,21.9,25.6,1.8,missing,7.0,missing,2,0,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10085,2010,electronics & computers,computers & software,missing,abap,416.0,9205.0,9205.0,22.1,22.1,59.4,7.0,21_30,28.0,incremental,4,2,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10090,2004,financial,"financial, property & business services",client server; financial transaction process/accounting,missing,139.0,2525.0,2525.0,11.2,11.6,26.8,8.4,missing,7.0,missing,3,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10095,2002,insurance,insurance,missing,cool:gen,400.0,150.0,150.0,0.4,0.4,80.0,5.0,missing,7.0,missing,4,0,0,0,0,0,1,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10096,2005,insurance,insurance,missing,missing,22.0,134.0,134.0,6.1,6.1,7.3,3.0,missing,7.0,missing,3,0,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10104,2004,missing,missing,missing,oracle,7.0,396.0,396.0,56.6,56.6,3.7,1.9,missing,7.0,missing,2,0,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10109,2015,insurance,insurance,workflow support & management,dotnet,317.0,3735.0,3735.0,11.8,11.8,47.3,6.7,5_8,7.0,missing,2,0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
10116,1999,missing,missing,management information system,missing,779.0,1593.0,33387.0,11.2,42.9,26.8,6.0,missing,7.0,missing,3,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
10132,2010,manufacturing,manufacturing,cars selling,java,260.0,1593.0,3480.0,11.2,13.4,81.3,3.2,missing,7.0,missing,8,2,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
10135,1998,communication,telecommunication,transaction/production system,visual basic,139.0,7781.0,9375.0,11.2,11.6,26.8,3.0,missing,7.0,missing,2,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10136,2004,missing,missing,financial application area,missing,83.0,855.0,855.0,10.3,10.3,18.4,4.5,missing,7.0,missing,2,0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
10139,1999,missing,missing,transaction/production system,cobol,80.0,3199.0,3199.0,40.0,40.0,5.8,13.7,3_4,3.5,missing,2,1,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
10143,1998,government,community services; insurance; public administration,electronic data interchange,cobol,243.0,2924.0,3249.0,12.0,13.4,30.4,8.0,5_8,8.0,missing,5,7,1,0,0,0,0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
10145,2011,manufacturing,manufacturing,computing of the thermodynamic process,matlab,99.0,1593.0,870.0,11.2,8.8,11.0,9.0,missing,7.0,missing,8,2,0,0,0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
10149,2012,communication,telecommunications,customer relationship management,pl/sql,244.0,4566.0,4566.0,18.7,18.7,55.5,4.4,missing,7.0,waterfall (incl linear processing & ssadm),3,0,0,0,0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
10151,1994,banking,banking,transaction/production system,easytrieve,174.0,2288.0,2288.0,13.1,13.1,24.9,7.0,2,2.0,missing,5,4,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
10154,1999,insurance,insurance,financial transaction process/accounting,cobol,152.0,2569.0,2569.0,16.9,16.9,38.0,4.0,missing,7.0,waterfall (incl linear processing & ssadm),3,0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
10159,2000,banking,banking,financial transaction process/accounting,pl/i,4.0,145.0,145.0,36.3,36.3,40.0,0.1,missing,7.0,waterfall (incl linear processing & ssadm),3,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
10163,1994,manufacturing,manufacturing; transport & storage,transaction/production system,telon,55.0,503.0,648.0,9.1,11.8,9.2,6.0,3_4,4.0,missing,5,4,1,0,0,0,0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True
10164,2004,missing,missing,ms billing,cobol,68.0,12702.0,12702.0,186.8,186.8,26.8,6.0,missing,7.0,missing,2,0,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10169,2015,insurance,insurance,workflow support & management,oracle,168.0,137.0,137.0,0.8,0.8,93.3,1.8,1,1.0,missing,2,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
10171,2005,insurance,insurance,missing,pl/i,140.0,1000.0,1000.0,7.1,7.1,20.0,7.0,missing,7.0,waterfall (incl linear processing & ssadm),4,2,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10172,2005,manufacturing,manufacturing,missing,cpp,135.0,499.0,499.0,3.7,3.7,15.0,9.0,missing,7.0,missing,4,2,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10173,2004,missing,missing,financial application area,java,25.0,118.0,118.0,4.7,4.7,25.0,1.0,missing,7.0,missing,2,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
10174,2000,missing,missing,missing,spreadsheet,582.0,2632.0,2632.0,4.5,4.5,97.0,6.0,5_8,7.0,missing,4,2,0,0,0,0,1,0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
10176,2004,financial,"financial, property & business services",client server; financial transaction process/accounting,missing,139.0,81.0,81.0,11.2,11.6,26.8,1.9,missing,7.0,missing,3,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10178,2005,medical & health care,medical and health care,catalogue/register of things or events; complex process control; document management; online analysis and reporting; workflow support & management,java,826.0,2503.0,2503.0,3.0,3.0,18.8,44.0,3_4,4.0,missing,14,1,1,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
10180,2001,insurance,insurance,financial transaction process/accounting,visual basic,309.0,2516.0,2516.0,8.1,8.1,103.0,3.0,missing,7.0,waterfall (incl linear processing & ssadm),3,0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True
10181,1998,communication,communications,transaction/production system,cool:gen,338.0,1009.0,1009.0,3.0,3.0,135.2,2.5,missing,7.0,missing,4,1,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
10184,2012,medical & health care,medical and health care,not recorded,missing,13.0,2565.0,2565.0,197.3,197.3,0.9,15.0,21_30,28.0,missing,2,0,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10189,1996,insurance,insurance,missing,cobol,250.0,1593.0,4150.0,11.2,16.6,14.7,17.0,missing,7.0,joint application development (jad); multifunctional teams,6,8,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
10196,2003,missing,missing,missing,java,69.0,2915.0,2915.0,42.2,42.2,7.7,9.0,missing,7.0,missing,2,0,0,0,0,0,1,0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
10200,2009,electronics & computers,computers & software,"job, case, incident, project management",java,90.0,1112.0,1112.0,12.4,12.4,22.5,4.0,3_4,4.0,waterfall (incl linear processing & ssadm),12,2,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
10203,1999,missing,missing,transaction/production system,cobol,80.0,3199.0,3199.0,40.0,40.0,5.8,13.7,3_4,3.5,missing,2,1,1,0,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
10205,2007,electronics & computers,computers & software,missing,abap,71.0,2035.0,2035.0,28.7,28.7,11.8,6.0,9_14,14.0,waterfall (incl linear processing & ssadm),4,2,0,0,0,0,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10214,2000,insurance,insurance,missing,visual basic,261.0,2175.0,2175.0,8.3,8.3,43.5,6.0,missing,7.0,missing,4,2,0,0,0,0,1,0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10218,1995,utilities,"electricity, gas, water",management information system,pl/i,163.0,668.0,668.0,4.1,4.1,18.1,9.0,3_4,3.0,missing,4,3,1,0,0,0,0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
10220,2007,electronics & computers,computers & software,missing,visual basic,40.0,514.0,514.0,12.9,12.9,10.0,4.0,3_4,3.0,waterfall (incl linear processing & ssadm),4,2,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
