Unnamed_0,Project_PRF_Year_of_Project,External_EEF_Industry_Sector,External_EEF_Organisation_Type,Project_PRF_Application_Type,Tech_TF_Primary_Programming_Language,Project_PRF_Functional_Size,Project_PRF_Relative_Size,Project_PRF_Normalised_Work_Effort_Level_1,Project_PRF_Normalised_Level_1_PDR_ufp,Project_PRF_Normalised_PDR_ufp,Project_PRF_Speed_of_Delivery,Project_PRF_Project_Elapsed_Time,Project_PRF_Team_Size_Group,Project_PRF_Max_Team_Size,Process_PMF_Development_Methodologies,Process_PMF_Docs,Tech_TF_Tools_Used,External_EEF_Data_Quality_Rating_B,Project_PRF_Application_Group_Business Application; Infrastructure Software;,Project_PRF_Application_Group_Infrastructure Software,Project_PRF_Application_Group_Mathematically intensive application,Project_PRF_Application_Group_Mathematically-Intensive Application,Project_PRF_Application_Group_Missing,Project_PRF_Application_Group_Real-Time Application,Project_PRF_Development_Type_New Development,Project_PRF_Development_Type_Re-development,Tech_TF_Development_Platform_MF,Tech_TF_Development_Platform_MR,Tech_TF_Development_Platform_Missing,Tech_TF_Development_Platform_Multi,Tech_TF_Development_Platform_PC,Tech_TF_Development_Platform_Proprietary,Tech_TF_Language_Type_3GL,Tech_TF_Language_Type_4GL,Tech_TF_Language_Type_5GL,Tech_TF_Language_Type_APG,Tech_TF_Language_Type_ApG,Tech_TF_Language_Type_Missing,Project_PRF_CASE_Tool_Used_Missing,Project_PRF_CASE_Tool_Used_No,Project_PRF_CASE_Tool_Used_Yes,Tech_TF_Architecture_Missing,Tech_TF_Architecture_Multi-tier,Tech_TF_Architecture_Multi-tier / Client server,Tech_TF_Architecture_Multi-tier with web interface,Tech_TF_Architecture_Multi-tier with web public interface,Tech_TF_Architecture_Stand alone,Tech_TF_Architecture_Stand-alone,Tech_TF_Client_Server_Missing,Tech_TF_Client_Server_No,Tech_TF_Client_Server_Not Applicable,Tech_TF_Client_Server_Yes,Tech_TF_DBMS_Used_No,Tech_TF_DBMS_Used_Yes
13512,2005,Communication,Communications;,relatively complex application;,Missing,55.0,S,869.0,15.8,15.8,,,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
12729,2006,Government,Government;,Financial transaction process/accounting;,PL/I,144.0,M1,809.0,5.6,5.6,28.8,5.0,3-4,3.0,Missing,14,2.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
29351,2002,Construction,Engineering;,Customisation (Add-ons) to a Product Data Management System;,C++,5.0,XXS,20.0,4.0,4.0,0.5,11.0,Missing,,Missing,2,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
24043,2004,Missing,Missing,Financial application area;,Java,267.0,M1,1442.0,5.4,5.4,59.3,4.5,Missing,,Missing,2,,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
23740,2011,Medical & Health Care,Medical and Health Care;,not recorded;,Missing,179.0,M1,8060.0,45.0,45.0,35.8,5.0,61-70,63.0,Missing,2,,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10388,2009,Service Industry,Citizens and the Municipalities;,Stock control & order processing;,ASP.Net,139.0,M1,5062.0,36.4,36.4,12.6,11.0,9-14,10.0,Missing,16,2.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
32397,2002,Banking,Banking;,Financial transaction process/accounting;,C++,48.0,S,186.0,3.9,3.9,25.3,1.9,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True
26932,1994,Utilities,"Electricity, Gas, Water;",Complex process control;,C,1512.0,L,1200.0,0.8,0.8,91.6,16.5,3-4,3.0,Joint Application Development (JAD);Multifunctional Teams;Rapid Application Development (RAD);,6,,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
20086,2010,Manufacturing,Manufacturing;,Forecastselling;,Missing,116.0,M1,,,7.6,22.3,5.2,Missing,,Missing,8,2.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10281,2013,Insurance,Insurance;,Unknown;,Missing,60.0,S,323.0,5.4,5.4,40.0,1.5,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
26169,1999,Missing,Missing,Management Information System;,Oracle,313.0,M2,,,10.2,,,Missing,,Missing,2,,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
10659,1998,Insurance,Insurance;,Missing,PL/I,214.0,M1,2345.0,11.0,11.0,53.5,4.0,Missing,,Missing,3,3.0,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
25403,1999,Banking,Banking;,Missing,COBOL,454.0,M2,3522.0,7.8,7.8,37.8,12.0,Missing,,Missing,4,,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
32243,1995,Financial,"Financial, Property & Business Services;",Transaction/Production System;,NATURAL,46.0,S,338.0,7.3,7.3,15.3,3.0,Missing,,Missing,4,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
10621,2000,Banking,Banking;,Financial transaction process/accounting;,RPG,255.0,M1,185.0,0.7,0.7,75.0,3.4,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
17792,2013,Medical & Health Care,Medical and Health Care;,not recorded;,Missing,10.0,XS,561.0,56.1,56.1,1.3,8.0,9-14,12.0,Missing,2,0.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
20500,2015,Insurance,Insurance;,Electronic Data Interchange;,Java,205.0,M1,4232.0,20.6,20.6,102.5,2.0,9-14,13.0,Missing,2,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
13706,2005,Communication,Communications;,relatively complex application;,Missing,74.0,S,1293.0,17.5,17.5,,,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
13329,2011,Medical & Health Care,Medical and Health Care;,not recorded;,Missing,90.0,S,2246.0,25.0,25.0,8.2,11.0,9-14,12.0,Missing,2,0.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
17853,2000,Insurance,Insurance;,Missing,Missing,209.0,M1,953.0,4.6,4.6,69.7,3.0,Missing,,Missing,3,2.0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
26435,2001,Communication,Communications;,Financial transaction process/accounting;,Visual Basic,992.0,M2,7800.0,7.9,7.9,76.3,13.0,Missing,,Waterfall (incl Linear Processing & SSADM);,3,,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True
27547,2007,Banking,Banking;,Financial transaction process/accounting;,Java,366.0,M2,3633.0,9.9,9.9,43.6,8.4,Missing,,Missing,3,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
14878,1999,Electronics & Computers,Engineering;Research & Development;Software Development;Client/Server architecture for Language Services;,Management Information System;Linguistic Software;,Missing,111.0,M1,,,0.9,85.4,1.3,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
17374,1995,Financial,"Financial, Property & Business Services;",Advertising/Mailing Campaign;,NATURAL,40.0,S,338.0,8.5,8.5,10.0,4.0,Missing,,Waterfall (incl Linear Processing & SSADM);,4,2.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True
23742,1993,Government,Government;,Management Information System;,COBOL,146.0,M1,,,32.5,,,Missing,,Missing,5,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True
19334,2013,Communication,Telecommunications;,Customer relationship management;,Java,303.0,M2,1463.0,4.8,4.8,51.4,5.9,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
12689,2009,Manufacturing,Manufacturing;,Car production;,C++,78.0,S,,,6.6,9.2,8.5,Missing,,Missing,8,2.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
21024,2015,Communication,Telecommunications;,Customer relationship management;,Java,56.0,S,962.0,17.2,17.2,12.4,4.5,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
11771,1996,Communication,Communications;,Knowledge Based Multimedia;,Java,158.0,M1,,,5.7,26.3,6.0,Missing,,Rapid Application Development (RAD);,5,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
23619,2015,Insurance,Insurance;,Management or performance reporting;,Java,22.0,XS,758.0,34.5,34.5,14.7,1.5,3-4,3.0,Missing,2,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
16561,2001,Banking,Banking;,Financial transaction process/accounting;,PL/I,56.0,S,568.0,10.1,10.1,29.5,1.9,Missing,,Waterfall (incl Linear Processing & SSADM);,3,1.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
28145,2005,Communication,Communications;,relatively complex application;,Missing,300.0,M2,1430.0,4.8,4.8,,,Missing,,Waterfall (incl Linear Processing & SSADM);,3,,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
19950,2004,Missing,Missing,Financial application area;,Missing,,M2,11762.0,,,,10.1,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
23659,2005,Missing,Missing,Software development tool;,C++,,Missing,2091.0,,,,3.1,3-4,4.0,Missing,1,,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
28539,1997,Utilities,"Electricity, Gas, Water;",Trading;,Lotus Notes,147.0,M1,1327.0,9.0,9.0,16.0,9.2,Missing,,Waterfall (incl Linear Processing & SSADM);,3,,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True
13114,1998,Manufacturing,Manufacturing;,Missing,C,816.0,M2,1839.0,2.3,2.3,81.6,10.0,Missing,,Missing,3,0.0,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
29280,2000,Communication,Communications;,Management Information System;,Oracle,876.0,M2,6605.0,7.5,7.5,79.6,11.0,15-20,17.0,Joint Application Development (JAD);,6,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True
18528,2001,Wholesale & Retail,Wholesale & Retail Trade;,Management Information System;,Missing,117.0,M1,,,59.5,4.2,28.0,Missing,,Missing,4,0.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
24125,2001,Mining,Oil & Petroleum;,Complex process control;,COBOL,149.0,M1,1089.0,7.3,7.3,37.3,4.0,Missing,,Waterfall (incl Linear Processing & SSADM);,3,,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
15832,2014,Communication,Telecommunications;,Customer relationship management;,Java,420.0,M2,977.0,2.3,2.3,140.0,3.0,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
27317,2006,Manufacturing,Manufacturing;,Embedded system/real-time application;,Missing,,M1,1731.0,,,,,Missing,,Waterfall (incl Linear Processing & SSADM);,3,,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
23842,2010,Manufacturing,Manufacturing;,Provider management;,PHP,39.0,S,,,8.5,7.2,5.4,Missing,,Missing,8,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
23269,2006,Missing,Missing,Financial transaction process/accounting;,Java,,M1,1769.0,,,,6.0,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
22185,2005,Banking,Banking;,Financial transaction process/accounting;,COBOL,15.0,XS,1618.0,107.9,107.9,16.7,0.9,Missing,,Missing,3,0.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
30265,1999,Missing,Missing,Missing,Missing,336.0,M2,,,13.8,,,Missing,,Missing,3,,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
29855,2003,Insurance,Insurance;,Missing,Visual Basic,302.0,M2,1200.0,4.0,4.0,25.2,12.0,Missing,,Missing,4,,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
20193,1999,Manufacturing,Manufacturing;,Missing,SQL,91.0,S,147.0,1.6,1.6,11.4,8.0,Missing,,Missing,3,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
