isbsg_project_id,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,process_pmf_development_methodologies,process_pmf_docs,tech_tf_tools_used,people_prf_personnel_changes,project_prf_application_group_business_application,project_prf_application_group_infrastructure_software,project_prf_application_group_mathematically_intensive_application,project_prf_application_group_mathematically_intensive_application_1,project_prf_application_group_missing,project_prf_application_group_real_time_application,external_eef_data_quality_rating_B,external_eef_data_quality_rating_C,external_eef_data_quality_rating_D,project_prf_development_type_New_Development,project_prf_development_type_Not_Defined,project_prf_development_type_Other,project_prf_development_type_POC,project_prf_development_type_Porting,project_prf_development_type_Re_development,tech_tf_development_platform_MF,tech_tf_development_platform_MR,tech_tf_development_platform_Missing,tech_tf_development_platform_Multi,tech_tf_development_platform_PC,tech_tf_development_platform_Proprietary,tech_tf_language_type_3GL,tech_tf_language_type_4GL,tech_tf_language_type_5GL,tech_tf_language_type_APG,tech_tf_language_type_ApG,tech_tf_language_type_Missing,project_prf_relative_size_M1,project_prf_relative_size_M2,project_prf_relative_size_Missing,project_prf_relative_size_S,project_prf_relative_size_XL,project_prf_relative_size_XS,project_prf_relative_size_XXL,project_prf_relative_size_XXS,project_prf_relative_size_XXXL,project_prf_case_tool_used_Missing,project_prf_case_tool_used_No,project_prf_case_tool_used_Yes,tech_tf_architecture_Missing,tech_tf_architecture_Multi_tier,tech_tf_architecture_Multi_tier_Client_server,tech_tf_architecture_Multi_tier_with_web_interface,tech_tf_architecture_Multi_tier_with_web_public_interface,tech_tf_architecture_Stand_alone,tech_tf_architecture_Stand_alone_1,tech_tf_client_server_Missing,tech_tf_client_server_No,tech_tf_client_server_Not_Applicable,tech_tf_client_server_Yes,tech_tf_dbms_used_No,tech_tf_dbms_used_Yes
13695,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,surveillance and security,C#,2.0,6.0,6.0,3.0,3.0,2.9,0.2,0.2,12.0,1,1.0,agile development,6,2,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
13784,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,surveillance and security,C#,14.0,49.0,49.0,3.5,3.5,2.9,1.2,1.2,12.0,1,1.0,agile development,6,2,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
14319,2010,Banking,banking,auditing management,Proprietary Agile Platform,748.0,1518.0,1518.0,2.0,2.0,2.9,249.3,4.8,3.0,Missing,7.0,agile development,5,0,0.0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
14325,2009,Government,government,data warehouse system; financial transaction process/accounting; management or performance reporting,.Net,498.0,19795.0,19795.0,39.7,39.7,2.9,27.7,1.3,18.0,21-30,22.0,agile development; unified process,18,2,1.0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
14335,2011,Manufacturing,aerospace / automotive,mathematical modelling (finance or eng.); software development tool,C#,456.0,5408.0,5408.0,11.9,11.9,0.0,50.7,10.1,9.0,5-8,5.0,agile development,17,7,1.0,0,0,0,1,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True
14345,2009,Education,"education institution; electricity, gas, water; ieee",content management system; dynamic website,Java,114.0,429.0,429.0,3.8,3.8,2.9,38.0,9.5,3.0,3-4,4.0,agile development; personal software process (psp); unified process,18,4,0.0,1,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
14525,2010,Service Industry,community services; government; public administration,catalogue/register of things or events,C#,695.0,19606.0,19606.0,28.2,28.2,59.0,36.6,1.4,19.0,21-30,26.0,agile development; scrum,17,2,2.0,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
14535,2009,Education,education institution,catalogue/register of things or events; logistic or supply planning & control,C#,483.0,331.0,331.0,0.7,0.7,2.9,120.8,24.2,4.0,5-8,5.0,agile development,14,2,1.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
14621,2008,Service Industry,food processing,customer billing; financial transaction process/accounting,C++,23.0,248.0,248.0,10.8,10.8,173.9,15.3,5.1,1.5,3-4,3.0,agile development,15,2,0.0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
14928,2014,Government,government,business application,Oracle,88.0,551.0,551.0,6.3,6.3,0.0,220.0,4.8,0.4,Missing,7.0,agile development,3,0,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
15011,2010,Service Industry,transport & storage,auditing management,Proprietary Agile Platform,257.0,452.0,452.0,1.8,1.8,2.9,85.7,4.8,3.0,Missing,7.0,agile development,5,0,0.0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
15148,2014,Government,government,business application,Oracle,72.0,615.0,615.0,8.5,8.5,0.0,180.0,4.8,0.4,Missing,7.0,agile development,3,0,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
15558,2014,Government,government,business application,.Net,45.0,1271.0,1271.0,28.2,28.2,0.0,32.1,4.8,1.4,Missing,7.0,agile development,3,0,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
15723,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,surveillance and security,C#,12.0,34.0,34.0,2.8,2.8,2.9,1.0,1.0,12.0,1,1.0,agile development,6,2,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
16039,2010,Missing,all industry organization types,security/authentication,C#,47.0,1002.0,1002.0,21.3,21.3,21.3,9.4,3.1,5.0,3-4,3.0,agile development,19,4,0.0,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
16563,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,surveillance and security,C#,9.0,23.0,23.0,2.6,2.6,2.9,0.8,0.8,12.0,1,1.0,agile development,6,2,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
17137,2014,Government,government,business application,.Net,51.0,1222.0,1222.0,24.0,24.0,0.0,72.9,4.8,0.7,Missing,7.0,agile development,3,0,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
17275,2010,Service Industry,transport & storage,security controls,Proprietary Agile Platform,168.0,312.0,312.0,1.9,1.9,2.9,56.0,4.8,3.0,Missing,7.0,agile development,5,0,0.0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
17293,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,surveillance and security,C#,59.0,82.0,82.0,1.4,1.4,2.9,4.9,4.9,12.0,1,1.0,agile development,6,2,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
17548,2010,Medical & Health Care,medical and health care,clinical archive,Proprietary Agile Platform,116.0,112.0,112.0,1.0,1.0,2.9,58.0,4.8,2.0,Missing,7.0,agile development,5,0,0.0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
18118,2008,Financial,"financial, property & business services",customer billing/relationship management,C#,912.0,4110.0,4110.0,4.5,4.5,42.8,60.8,6.1,15.0,9-14,10.0,agile development,16,5,1.0,1,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
18119,2010,Government,government,idm,C#,109.0,2715.0,2715.0,24.9,24.9,9.2,12.1,2.4,9.0,5-8,5.0,agile development,18,3,0.0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True
18328,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,surveillance and security,C#,19.0,51.0,51.0,2.7,2.7,2.9,1.6,1.6,12.0,1,1.0,agile development,6,2,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
18820,2014,Government,government,business application,Oracle,49.0,601.0,601.0,12.3,12.3,0.0,122.5,4.8,0.4,Missing,7.0,agile development,3,0,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
19161,2005,Electronics & Computers,information technology,web-based application,Java,193.0,36593.0,60047.0,9.9,10.8,2.9,30.25,4.8,14.8,41-50,41.0,agile development; iterative,1,0,0.0,0,0,0,0,1,0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
19363,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,surveillance and security,C#,15.0,53.0,53.0,3.5,3.5,2.9,1.3,1.3,12.0,1,1.0,agile development,6,2,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
19859,2012,Service Industry,surveillance & security,electronic data interchange,C#,82.0,225.0,225.0,2.7,2.7,2.9,30.25,4.8,7.0,2,2.0,agile development,11,4,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
20465,2014,Government,government,business application,Oracle,95.0,632.0,632.0,6.7,6.7,0.0,237.5,4.8,0.4,Missing,7.0,agile development,3,0,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
21719,2009,Education,"education institution; electricity, gas, water; ieee",content management system; dynamic website,Java,118.0,489.0,489.0,4.1,4.1,2.9,39.3,9.8,3.0,3-4,4.0,agile development; personal software process (psp); unified process,18,4,0.0,1,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
21837,2014,Government,government,business application,.Net,51.0,1102.0,1102.0,21.6,21.6,0.0,72.9,4.8,0.7,Missing,7.0,agile development,3,0,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
22069,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,surveillance and security,C#,37.0,125.0,125.0,3.4,3.4,2.9,3.1,1.5,12.0,2,2.0,agile development,6,2,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
22347,2010,Service Industry,community services,complex process control; workflow support & management,JavaScript,399.0,7037.0,7037.0,17.6,17.6,22.6,49.9,4.5,8.0,9-14,11.0,agile development,16,2,0.0,1,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
23265,2009,Education,"education institution; electricity, gas, water; ieee",content management system; dynamic website,Java,155.0,491.0,491.0,3.2,3.2,2.9,51.7,10.3,3.0,5-8,5.0,agile development; personal software process (psp); unified process,18,4,0.0,1,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
23319,2011,Manufacturing,aerospace / automotive,automated data acquisition,C#,113.0,1047.0,1047.0,9.3,9.3,0.0,14.1,3.5,8.0,3-4,4.0,agile development,17,5,0.0,0,0,0,0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
23552,2010,Wholesale & Retail,consumer goods,promotions,Proprietary Agile Platform,243.0,257.0,257.0,1.1,1.1,2.9,121.5,4.8,2.0,Missing,7.0,agile development,5,0,0.0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
23839,2008,Education,education institution,management information system,C#,1107.0,52743.0,52743.0,47.6,47.6,2.9,221.4,4.8,5.0,41-50,46.0,agile development; multifunctional teams; scrum,15,6,2.0,1,0,0,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
24701,2014,Government,government,business application,Oracle,33.0,667.0,667.0,20.2,20.2,0.0,82.5,4.8,0.4,Missing,7.0,agile development,3,0,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
25081,2009,Education,"education institution; electricity, gas, water; ieee",content management system; dynamic website,Java,135.0,600.0,600.0,4.4,4.4,2.9,45.0,9.0,3.0,5-8,5.0,agile development; personal software process (psp); unified process,18,4,0.0,1,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
25247,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,surveillance and security,C#,13.0,47.0,47.0,3.6,3.6,2.9,1.1,1.1,12.0,1,1.0,agile development,6,2,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
25415,2010,Service Industry,transport & storage,airport management,Proprietary Agile Platform,679.0,326.0,326.0,0.5,0.5,2.9,169.8,4.8,4.0,Missing,7.0,agile development,5,0,0.0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
25559,2012,Service Industry,surveillance & security,electronic data interchange,C#,45.0,125.0,125.0,2.8,2.8,2.9,30.25,4.8,7.0,2,2.0,agile development,11,4,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
26034,2010,Government,public sector,project management,Proprietary Agile Platform,143.0,98.0,98.0,0.7,0.7,2.9,28.6,4.8,5.0,Missing,7.0,agile development,5,0,0.0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
26195,2009,Service Industry,community services; institutions eg. kindergartens,online analysis and reporting,ABAP,211.0,4393.0,4393.0,20.8,20.8,2.9,26.4,4.8,8.0,Missing,7.0,agile development,16,2,0.0,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
26585,2010,Electronics & Computers,high tech,proposal builder,Proprietary Agile Platform,243.0,289.0,289.0,1.2,1.2,2.9,121.5,4.8,2.0,Missing,7.0,agile development,5,0,0.0,0,0,0,0,1,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
26608,2014,Government,government,business application,.Net,16.0,860.0,860.0,53.8,53.8,0.0,22.9,4.8,0.7,Missing,7.0,agile development,3,0,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
26861,2010,Electronics & Computers,high tech,course management,Proprietary Agile Platform,138.0,87.0,87.0,0.6,0.6,2.9,138.0,4.8,1.0,Missing,7.0,agile development,5,0,0.0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
27063,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,surveillance and security,C#,24.0,79.0,79.0,3.3,3.3,2.9,2.0,2.0,12.0,1,1.0,agile development,6,2,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
27281,2010,Medical & Health Care,biotech,analysis management,Proprietary Agile Platform,144.0,117.0,117.0,0.8,0.8,2.9,48.0,4.8,3.0,Missing,7.0,agile development,5,0,0.0,0,0,0,0,1,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
27333,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,surveillance and security,C#,18.0,47.0,47.0,2.6,2.6,2.9,1.5,1.5,12.0,1,1.0,agile development,6,2,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
27500,2014,Government,government,business application,.Net,25.0,1206.0,1206.0,48.2,48.2,0.0,15.6,4.8,1.6,Missing,7.0,agile development,3,0,0.0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
