isbsg_project_id,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_speed_of_delivery,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,process_pmf_development_methodologies,process_pmf_docs,tech_tf_tools_used,external_eef_data_quality_rating_b,project_prf_application_group_business_application,project_prf_application_group_business_application__infrastructure_software,project_prf_application_group_infrastructure_software,project_prf_application_group_mathematically_intensive_application,project_prf_application_group_mathematically_intensive_application_1,project_prf_application_group_real_time_application,project_prf_development_type_new_development,project_prf_development_type_re_development,tech_tf_development_platform_hand_held,tech_tf_development_platform_mf,tech_tf_development_platform_mr,tech_tf_development_platform_multi,tech_tf_development_platform_pc,tech_tf_development_platform_proprietary,tech_tf_language_type_3GL,tech_tf_language_type_4GL,tech_tf_language_type_5GL,tech_tf_language_type_APG,tech_tf_language_type_Missing,_case_tool_used_don_t_know,_case_tool_used_no,_case_tool_used_yes,tech_tf_architecture_don_t_know,tech_tf_architecture_no,tech_tf_architecture_not_applicable,tech_tf_architecture_yes,tech_tf_dbms_used_no,tech_tf_dbms_used_yes
10233,2001,communication,communications,complex process control,visual basic,226.0,m1,3901.0,3901,17.3,17.3,56.5,4.0,9-14,10.0,Missing,5,7.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True
10234,2006,Missing,Missing,financial transaction process/accounting,java,,m1,292.0,292,,,,3.2,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
10238,2014,communication,telecommunications,customer relationship management,siebel,284.0,m1,7109.0,7109,25.0,25.0,64.5,4.4,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10247,2009,manufacturing,manufacturing,cars selling,java,215.0,m1,,2704,,12.6,22.6,9.5,Missing,,Missing,8,2.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
10248,2012,communication,telecommunications,online analysis and reporting,java,302.0,m2,5829.0,5829,19.3,19.3,60.4,5.0,9-14,10.0,waterfall incl linear processing & ssadm,15,2.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
10249,2006,government,government,management of licences and permits,cool:gen,16.0,xs,657.0,657,41.1,41.1,1.5,10.8,Missing,,Missing,8,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
10251,1999,government,government,government,delphi,40.0,s,120.0,120,3.0,3.0,57.1,0.7,2,2.0,rapid application development rad,2,0.0,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10252,2014,communication,telecommunications,online. esales,Missing,63.0,s,1161.0,1161,18.4,18.4,7.6,8.3,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10257,1999,communication,communications,transaction/production system,c,307.0,m2,2994.0,3607,9.8,11.7,23.6,13.0,9-14,11.0,Missing,4,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10261,2004,Missing,Missing,financial application area,java,166.0,m1,946.0,946,5.7,5.7,55.3,3.0,Missing,,Missing,2,0.0,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
10265,1999,communication,communications,management information system,oracle,87.0,s,1606.0,1606,18.5,18.5,21.8,4.0,3-4,4.0,Missing,4,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10268,2015,communication,telecommunications,workflow support & management,Missing,139.0,m1,2010.0,2010,14.5,14.5,57.9,2.4,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10273,2009,manufacturing,manufacturing,warranty management,java,271.0,m1,,2536,,9.4,54.2,5.0,Missing,,Missing,8,4.0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True
10276,1999,manufacturing,manufacturing,Missing,c++,459.0,m2,3876.0,3876,8.4,8.4,14.3,32.0,Missing,,Missing,4,2.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10278,2015,communication,telecommunications,online. esales,Missing,427.0,m2,5190.0,5190,12.2,12.2,125.6,3.4,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10279,2013,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,surveillance and security,c#,26.0,xs,52.0,52,2.0,2.0,2.2,12.0,1,1.0,agile development,6,2.0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
10281,2013,insurance,insurance,unknown,Missing,60.0,s,323.0,323,5.4,5.4,40.0,1.5,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10283,2008,financial,"financial, property & business services",financial transaction process/accounting,pl/i,224.0,m1,12548.0,12548,56.0,56.0,18.7,12.0,5-8,8.0,waterfall incl linear processing & ssadm,11,2.0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
10289,1998,wholesale & retail,wholesale & retail trade,Missing,visual basic,694.0,m2,6337.0,6337,9.1,9.1,69.4,10.0,Missing,,Missing,3,0.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10302,2002,insurance,insurance,Missing,Missing,1053.0,l,757.0,757,0.7,0.7,526.5,2.0,Missing,,waterfall incl linear processing & ssadm,4,2.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10305,2015,communication,telecommunications,customer relationship management,java,110.0,m1,1037.0,1037,9.4,9.4,22.4,4.9,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10306,2004,Missing,Missing,telecom & network management,c,745.0,m2,15112.0,15112,20.3,20.3,,,Missing,,Missing,2,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10307,2000,wholesale & retail,wholesale & retail trade,management information system,cobol,221.0,m1,,21739,,98.4,55.3,4.0,Missing,,Missing,4,2.0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
10313,2015,insurance,insurance,workflow support & management,cobol,402.0,m2,1073.0,1073,2.7,2.7,62.8,6.4,1,1.0,Missing,2,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10317,2015,government,government,business application,.net,8.0,xxs,816.0,816,102.0,102.0,7.3,1.1,Missing,,agile development,3,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10318,1999,communication,communications,transaction/production system,cobol,77.0,s,1936.0,1936,25.1,25.1,12.8,6.0,5-8,6.0,Missing,4,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10323,2002,insurance,insurance,financial transaction process/accounting,cobol,647.0,m2,8459.0,8459,13.1,13.1,71.9,9.0,21-30,21.0,Missing,15,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
